year,loc,lat,lon,irrigation,str_emmean,srad_mean_growingseason,srad_sum_growingseason,tmax_mean_growingseason,tmin_mean_growingseason,tamp_mean_growingseason,gdd_mean_growingseason,gdd_sum_growingseason,vp_mean_growingseason,dayl_mean_growingseason,prcp_sum_growingseason,srad_mean_April,srad_sum_April,tmax_mean_April,tmin_mean_April,tamp_mean_April,gdd_mean_April,gdd_sum_April,vp_mean_April,dayl_mean_April,prcp_sum_April,srad_mean_May,srad_sum_May,tmax_mean_May,tmin_mean_May,tamp_mean_May,gdd_mean_May,gdd_sum_May,vp_mean_May,dayl_mean_May,prcp_sum_May,srad_mean_June,srad_sum_June,tmax_mean_June,tmin_mean_June,tamp_mean_June,gdd_mean_June,gdd_sum_June,vp_mean_June,dayl_mean_June,prcp_sum_June,srad_mean_July,srad_sum_July,tmax_mean_July,tmin_mean_July,tamp_mean_July,gdd_mean_July,gdd_sum_July,vp_mean_July,dayl_mean_July,prcp_sum_July,srad_mean_August,srad_sum_August,tmax_mean_August,tmin_mean_August,tamp_mean_August,gdd_mean_August,gdd_sum_August,vp_mean_August,dayl_mean_August,prcp_sum_August,srad_mean_September,srad_sum_September,tmax_mean_September,tmin_mean_September,tamp_mean_September,gdd_mean_September,gdd_sum_September,vp_mean_September,dayl_mean_September,prcp_sum_September,srad_mean_October,srad_sum_October,tmax_mean_October,tmin_mean_October,tamp_mean_October,gdd_mean_October,gdd_sum_October,vp_mean_October,dayl_mean_October,prcp_sum_October,srad_mean_November,srad_sum_November,tmax_mean_November,tmin_mean_November,tamp_mean_November,gdd_mean_November,gdd_sum_November,vp_mean_November,dayl_mean_November,prcp_sum_November,srad_mean_April_May,srad_sum_April_May,tmax_mean_April_May,tmin_mean_April_May,tamp_mean_April_May,gdd_mean_April_May,gdd_sum_April_May,vp_mean_April_May,dayl_mean_April_May,prcp_sum_April_May,srad_mean_June_July,srad_sum_June_July,tmax_mean_June_July,tmin_mean_June_July,tamp_mean_June_July,gdd_mean_June_July,gdd_sum_June_July,vp_mean_June_July,dayl_mean_June_July,prcp_sum_June_July,srad_mean_August_September,srad_sum_August_September,tmax_mean_August_September,tmin_mean_August_September,tamp_mean_August_September,gdd_mean_August_September,gdd_sum_August_September,vp_mean_August_September,dayl_mean_August_September,prcp_sum_August_September,srad_mean_October_November,srad_sum_October_November,tmax_mean_October_November,tmin_mean_October_November,tamp_mean_October_November,gdd_mean_October_November,gdd_sum_October_November,vp_mean_October_November,dayl_mean_October_November,prcp_sum_October_November,srad_mean_April_May_June_July,srad_sum_April_May_June_July,tmax_mean_April_May_June_July,tmin_mean_April_May_June_July,tamp_mean_April_May_June_July,gdd_mean_April_May_June_July,gdd_sum_April_May_June_July,vp_mean_April_May_June_July,dayl_mean_April_May_June_July,prcp_sum_April_May_June_July,srad_mean_August_September_October_November,srad_sum_August_September_October_November,tmax_mean_August_September_October_November,tmin_mean_August_September_October_November,tamp_mean_August_September_October_November,gdd_mean_August_September_October_November,gdd_sum_August_September_October_November,vp_mean_August_September_October_November,dayl_mean_August_September_October_November,prcp_sum_August_September_October_November,region,state
1980,"Altus, OK",34.6378,99.334,irrigated,25.32304737365894,387.676598360656,94593.09,30.5470491803279,14.7740163934426,15.7730327868852,8.93944672131148,2181.225,1539.70823770492,45796.9897131148,424.53,455.118666666667,13653.56,24.4676666666667,6.57166666666667,17.896,4.44883333333333,133.465,690.057333333333,46395.5593333333,44.87,399.756129032258,12392.44,27.7183870967742,13.6183870967742,14.1,6.40435483870968,198.535,1438.36096774194,49741.8509677419,287.26,423.001666666667,12690.05,36.1656666666667,21.1136666666667,15.052,12.3125,369.375,2515.35666666667,51414.734,20.71,409.078387096774,12681.43,40.5622580645161,23.7648387096774,16.7974193548387,15.0872580645161,467.705,2955.95225806452,50627.0877419355,0,396.206774193548,12282.41,38.2458064516129,23.0093548387097,15.2364516129032,14.5804838709677,451.995,2454.05741935484,47724.8503225806,13.87,381.882666666667,11456.48,32.483,18.6923333333333,13.7906666666667,10.3493333333333,310.48,933.424666666667,43864.6123333333,34.9,378.902580645161,11745.98,26.25,8.58903225806452,17.6609677419355,5.42741935483871,168.25,641.497419354839,39881.4770967742,8.82,256.358,7690.74,18.1306666666667,2.50333333333333,15.6273333333333,2.714,81.42,644.591333333333,36566.169,14.1,426.983606557377,26046,26.1196721311475,10.1527868852459,15.9668852459016,5.44262295081967,332,1070.34278688525,48096.1337704918,332.13,415.925901639344,25371.48,38.4,22.4609836065574,15.9390163934426,13.7226229508197,837.08,2739.26590163934,51014.4547540984,20.71,389.162131147541,23738.89,35.4116393442623,20.8862295081967,14.5254098360656,12.4995901639344,762.475,1706.20524590164,45826.3726229508,48.77,318.634754098361,19436.72,22.2568852459016,5.59606557377049,16.6608196721311,4.09295081967213,249.67,643.019016393443,38250.997704918,22.92,421.454754098361,51417.48,32.2598360655738,16.3068852459016,1946.26,9.58262295081967,1169.08,1904.8043442623,49555.2942622951,352.84,353.898442622951,43175.61,28.834262295082,13.2411475409836,1902.36,8.29627049180328,1012.145,1174.61213114754,42038.6851639344,71.69,Southwest,Oklahoma
1981,"Altus, OK",34.6378,99.334,irrigated,26.123065701173736,375.033073770492,91508.0700000001,29.5459836065574,14.8761475409836,14.6698360655738,8.14264344262295,1986.805,1736.27573770492,45833.7365983607,580.98,400.313666666667,12009.41,26.7146666666667,11.6133333333333,15.1013333333333,5.64866666666667,169.46,1120.049,46269.9483333333,115.58,424.288064516129,13152.93,27.6374193548387,13.2858064516129,14.3516129032258,6.28241935483871,194.755,1543.52967741935,49652.6041935484,117.69,410.494333333333,12314.83,33.7446666666667,19.6036666666667,14.141,11.1291666666667,333.875,2311.303,51397.3386666667,113.59,400.843870967742,12426.16,37.5816129032258,22.8554838709677,14.7261290322581,13.9901612903226,433.695,2795.71935483871,50690.6080645161,40.97,397.133870967742,12311.15,34.8948387096774,19.9651612903226,14.9296774193548,11.7106451612903,363.03,2354.56193548387,47840.32,50.57,397.866333333333,11935.99,32.6456666666667,16.7233333333333,15.9223333333333,9.70883333333333,291.265,1589.148,43997.1796666667,8.16,288.696451612903,8949.59,23.6190322580645,10.7374193548387,12.8816129032258,4.34774193548387,134.78,1312.62129032258,40006.3564516129,101.8,280.267,8408.01,19.345,3.98033333333333,15.3646666666667,2.19816666666667,65.945,827.896,36653.706,32.62,412.49737704918,25162.34,27.183606557377,12.4632786885246,14.7203278688525,5.97073770491803,364.215,1335.26049180328,47989.0029508197,233.27,405.59,24740.99,35.6945901639344,21.2562295081967,14.4383606557377,12.5831147540984,767.57,2557.48180327869,51038.1804918033,154.56,397.494098360656,24247.14,33.7886885245902,18.3708196721311,15.417868852459,10.7261475409836,654.295,1978.12885245902,45950.2509836066,58.73,284.550819672131,17357.6,21.5170491803279,7.41426229508197,14.1027868852459,3.2905737704918,200.725,1074.23180327869,38357.5119672131,134.42,409.04368852459,49903.33,31.4390983606557,16.8597540983607,1778.68,9.2769262295082,1131.785,1946.37114754098,49513.5917213115,387.83,341.022459016393,41604.74,27.652868852459,12.8925409836066,1800.76,7.0083606557377,855.02,1526.18032786885,42153.8814754098,193.15,Southwest,Oklahoma
1982,"Altus, OK",34.6378,99.334,irrigated,26.91163185884124,383.713893442623,93626.19,28.6776639344262,14.3285245901639,14.3491393442623,7.74590163934426,1890,1670.39331967213,45833.7365983607,564.11,446.913,13407.39,23.2086666666667,8.166,15.0426666666667,3.81116666666667,114.335,830.372333333333,46269.9483333333,15.38,397.37,12318.47,27.1067741935484,14.2396774193548,12.8670967741935,6.00870967741935,186.27,1542.4,49652.6041935484,236.19,411.932666666667,12357.98,30.0833333333333,17.3756666666667,12.7076666666667,8.258,247.74,2001.45066666667,51397.3386666667,154.44,410.913870967742,12738.33,35.6412903225806,22.0167741935484,13.6245161290323,13.1238709677419,406.84,2652.26419354839,50690.6080645161,48.78,415.567096774194,12882.58,37.03,21.7409677419355,15.2890322580645,13.4704838709677,417.585,2606.96483870968,47840.32,9.03,382.746333333333,11482.39,32.555,17.0156666666667,15.5393333333333,9.55233333333333,286.57,1831.998,43997.1796666667,40.44,354.265806451613,10982.24,26.1087096774194,9.79322580645161,16.3154838709677,5.52274193548387,171.205,1115.12096774194,40006.3564516129,3.15,248.560333333333,7456.81,17.315,3.931,13.384,1.98183333333333,59.455,741.403,36653.706,56.7,421.735409836066,25725.86,25.1896721311475,11.2526229508197,13.9370491803279,4.92795081967213,300.605,1192.22245901639,47989.0029508197,251.57,411.414918032787,25096.31,32.907868852459,19.734262295082,13.173606557377,10.7308196721311,654.58,2332.19196721311,51038.1804918033,203.22,399.425737704918,24364.97,34.8291803278689,19.4170491803279,15.412131147541,11.5435245901639,704.155,2225.83360655738,45950.2509836066,49.47,302.279508196721,18439.05,21.7839344262295,6.91016393442623,14.8737704918033,3.78131147540984,230.66,931.325245901639,38357.5119672131,59.85,416.575163934426,50822.17,29.0487704918033,15.4934426229508,1653.75,7.82938524590164,955.185,1762.20721311475,49513.5917213115,454.79,350.85262295082,42804.02,28.3065573770492,13.1636065573771,1847.44,7.66241803278689,934.815,1578.57942622951,42153.8814754098,109.32,Southwest,Oklahoma
1983,"Altus, OK",34.6378,99.334,irrigated,28.632311983168407,392.373155737705,95739.05,29.1965573770492,14.1522131147541,15.0443442622951,7.8668237704918,1919.505,1513.71610655738,45833.7365983607,585.89,454.581333333333,13637.44,20.7106666666667,6.07633333333333,14.6343333333333,3.08433333333333,92.53,860.659666666667,46269.9483333333,36.41,436.615806451613,13535.09,27.7987096774194,11.7345161290323,16.0641935483871,6.15387096774194,190.77,1183.63935483871,49652.6041935484,96.44,418.405666666667,12552.17,30.9983333333333,16.2713333333333,14.727,8.559,256.77,1836.023,51397.3386666667,84.96,437.424516129032,13560.16,37.1029032258065,21.2906451612903,15.8122580645161,13.155,407.805,2362.99483870968,50690.6080645161,0,412.750322580645,12795.26,38.7667741935484,22.4558064516129,16.3109677419355,14.271935483871,442.43,2333.43064516129,47840.32,15.13,410.346,12310.38,34.1796666666667,17.394,16.7856666666667,10.7303333333333,321.91,1254.103,43997.1796666667,35.99,291.983548387097,9051.49,24.8212903225806,12.148064516129,12.6732258064516,4.74241935483871,147.015,1266.58806451613,40006.3564516129,281.08,276.568666666667,8297.06,18.804,5.47966666666667,13.3243333333333,2.00916666666667,60.275,975.897333333333,36653.706,35.88,445.45131147541,27172.53,24.3127868852459,8.95180327868852,15.3609836065574,4.64426229508197,283.3,1024.7968852459,47989.0029508197,132.85,428.070983606557,26112.33,34.1006557377049,18.822131147541,15.2785245901639,10.8946721311475,664.575,2103.82836065574,51038.1804918033,84.96,411.567868852459,25105.64,36.5108196721311,19.966393442623,16.5444262295082,12.5301639344262,764.34,1802.6137704918,45950.2509836066,51.12,284.402459016393,17348.55,21.8619672131148,8.86852459016393,12.9934426229508,3.39819672131148,207.29,1123.62540983607,38357.5119672131,316.96,436.761147540984,53284.86,29.2067213114754,13.8869672131148,1869.01,7.76946721311475,947.875,1564.31262295082,49513.5917213115,217.81,347.985163934426,42454.19,29.186393442623,14.4174590163934,1801.81,7.96418032786885,971.630000000001,1463.11959016393,42153.8814754098,368.08,Southwest,Oklahoma
1984,"Altus, OK",34.6378,99.334,irrigated,28.18807029781185,397.33143442623,96948.87,29.382131147541,14.1678278688525,15.2143032786885,8.12848360655738,1983.35,1275.04356557377,45796.9897131148,258.83,473.363,14200.89,23.036,6.85433333333333,16.1816666666667,3.79516666666667,113.855,759.404,46395.5593333333,27.25,460.9,14287.9,30.4441935483871,13.7058064516129,16.7383870967742,7.84370967741936,243.155,1037.75612903226,49741.8509677419,8.28,416.563333333333,12496.9,35.5786666666667,20.2796666666667,15.299,12.2963333333333,368.89,1809.114,51414.734,85.72,444.257741935484,13771.99,37.1270967741935,21.1874193548387,15.9396774193548,13.2314516129032,410.175,1710.61161290323,50627.0877419355,19.51,412.831612903226,12797.78,36.7270967741935,21.211935483871,15.5151612903226,13.038064516129,404.18,1998.86322580645,47724.8503225806,26.08,379.588666666667,11387.66,30.669,15.8913333333333,14.7776666666667,8.68083333333333,260.425,1311.26166666667,43864.6123333333,6.46,320.783548387097,9944.29,23.2548387096774,9.77,13.4848387096774,3.97887096774194,123.345,821.881935483871,39881.4770967742,29.53,268.715333333333,8061.46,17.886,4.13533333333333,13.7506666666667,1.9775,59.325,735.824666666667,36566.169,56,467.029344262295,28488.79,26.8008196721311,10.3362295081967,16.4645901639344,5.85262295081967,357.01,900.861639344262,48096.1337704918,35.53,430.637540983607,26268.89,36.3655737704918,20.7409836065574,15.6245901639344,12.7715573770492,779.065,1759.05540983607,51014.4547540984,105.23,396.48262295082,24185.44,33.7477049180328,18.5952459016393,15.1524590163934,10.8951639344262,664.605,1660.69852459016,45826.3726229508,32.54,295.176229508197,18005.75,20.6144262295082,6.99885245901639,13.6155737704918,2.99459016393443,182.67,779.55868852459,38250.997704918,85.53,448.833442622951,54757.68,31.5831967213115,15.538606557377,1957.44,9.31209016393443,1136.075,1329.95852459016,49555.2942622951,140.76,345.829426229508,42191.19,27.1810655737705,12.7970491803279,1754.85,6.94487704918033,847.275,1220.12860655738,42038.6851639344,118.07,Southwest,Oklahoma
1985,"Altus, OK",34.6378,99.334,irrigated,29.82443393417549,377.974508196721,92225.78,29.0703278688525,14.7438114754098,14.3265163934426,7.98848360655738,1949.19,1779.16643442623,45833.7365983607,684.91,441.687666666667,13250.63,25.1936666666667,9.89233333333333,15.3013333333333,4.8065,144.195,1212.818,46269.9483333333,76.2,448.316774193548,13897.82,30.1912903225806,14.7996774193548,15.3916129032258,7.64064516129032,236.86,1660.79193548387,49652.6041935484,39.82,394.612333333333,11838.37,33.1053333333333,18.68,14.4253333333333,10.3838333333333,311.515,2166.866,51397.3386666667,198.96,425.84935483871,13201.33,36.4854838709677,20.6164516129032,15.8690322580645,12.7859677419355,396.365,2435.43290322581,50690.6080645161,25.83,390.628709677419,12109.49,37.3793548387097,21.4325806451613,15.9467741935484,13.4129032258065,415.8,2560.31903225806,47840.32,56.93,351.238,10537.14,31.9726666666667,17.8813333333333,14.0913333333333,9.84466666666667,295.34,2018.90466666667,43997.1796666667,118.15,306.015806451613,9486.49,22.968064516129,11.09,11.878064516129,3.75209677419355,116.315,1354.64709677419,40006.3564516129,129.99,263.483666666667,7904.51,14.9086666666667,3.25933333333333,11.6493333333333,1.09333333333333,32.8,793.734333333333,36653.706,39.03,445.056557377049,27148.45,27.7334426229508,12.3862295081967,15.3472131147541,6.24680327868852,381.055,1440.4768852459,47989.0029508197,116.02,410.486885245902,25039.7,34.8231147540984,19.6640983606557,15.1590163934426,11.6045901639344,707.88,2303.35081967213,51038.1804918033,224.79,371.256229508197,22646.63,34.7203278688525,19.6860655737705,15.034262295082,11.6580327868852,711.14,2294.04967213115,45950.2509836066,175.08,285.098360655738,17391,19.0044262295082,7.23885245901639,11.7655737704918,2.44450819672131,149.115,1078.78836065574,38357.5119672131,169.02,427.771721311475,52188.15,31.2782786885246,16.0251639344262,1860.88,8.92569672131147,1088.935,1871.91385245902,49513.5917213115,340.81,328.177295081967,40037.63,26.8623770491803,13.4624590163934,1634.79,7.05127049180328,860.255,1686.41901639344,42153.8814754098,344.1,Southwest,Oklahoma
1986,"Altus, OK",34.6378,99.334,irrigated,28.960797570539132,369.786680327869,90227.95,28.3594262295082,14.9896721311475,13.3697540983607,7.71391393442623,1882.195,1714.33344262295,45833.7365983607,906.76,438.125666666667,13143.77,25.7696666666667,10.7013333333333,15.0683333333333,5.14366666666667,154.31,644.954,46269.9483333333,59.67,411.344516129032,12751.68,28.7477419354839,14.7083870967742,14.0393548387097,7.04532258064516,218.405,1377.83709677419,49652.6041935484,132.41,404.514333333333,12135.43,32.607,19.4286666666667,13.1783333333333,10.4046666666667,312.14,2257.51566666667,51397.3386666667,93.62,418.692258064516,12979.46,37.2187096774194,22.2125806451613,15.0061290322581,13.6225806451613,422.3,2682.60032258065,50690.6080645161,48.91,356.889677419355,11063.58,34.7777419354839,20.8983870967742,13.8793548387097,12.0353225806452,373.095,2487.32161290323,47840.32,130.65,342.73,10281.9,29.5736666666667,18.095,11.4786666666667,8.4065,252.195,2097.56066666667,43997.1796666667,191.1,312.679032258065,9693.05,22.6890322580645,11.048064516129,11.6409677419355,3.80048387096774,117.815,1365.60193548387,40006.3564516129,183.77,272.636,8179.08,15.1586666666667,2.528,12.6306666666667,1.0645,31.935,766.075333333333,36653.706,66.63,424.515573770492,25895.45,27.2831147540984,12.7377049180328,14.5454098360656,6.11008196721312,372.715,1017.40278688525,47989.0029508197,192.08,411.719508196721,25114.89,34.9506557377049,20.8434426229508,14.1072131147541,12.04,734.44,2473.54229508197,51038.1804918033,142.53,349.925901639344,21345.48,32.2183606557377,19.5196721311475,12.6986885245902,10.2506557377049,625.29,2295.63590163934,45950.2509836066,321.75,292.985737704918,17872.13,18.9855737704918,6.85786885245902,12.1277049180328,2.45491803278689,149.75,1070.75278688525,38357.5119672131,250.4,418.117540983607,51010.3399999999,31.1168852459016,16.7905737704918,1747.81,9.07504098360656,1107.155,1745.47254098361,49513.5917213115,334.61,321.455819672131,39217.61,25.6019672131148,13.1887704918033,1514.41,6.3527868852459,775.04,1683.1943442623,42153.8814754098,572.15,Southwest,Oklahoma
1987,"Altus, OK",34.6378,99.334,irrigated,27.411772030461037,383.214221311475,93504.27,28.7303278688525,14.0583196721311,14.6720081967213,7.68881147540984,1876.07,1680.8731557377,45833.7365983607,653.2,485.22,14556.6,24.935,6.58933333333333,18.3456666666667,4.75433333333333,142.63,879.109,46269.9483333333,0,386.361935483871,11977.22,29.3503225806452,15.3141935483871,14.0361290322581,7.22306451612903,223.915,1401.77677419355,49652.6041935484,259.69,411.778,12353.34,32.1043333333333,19.086,13.0183333333333,10.025,300.75,2221.825,51397.3386666667,123.68,411.823548387097,12766.53,34.0477419354839,20.8264516129032,13.2212903225806,11.8488709677419,367.315,2476.06870967742,50690.6080645161,56.04,383.928064516129,11901.77,35.4583870967742,21.3361290322581,14.1222580645161,12.7540322580645,395.375,2567.28258064516,47840.32,74.21,375.754666666667,11272.64,30.3446666666667,15.9403333333333,14.4043333333333,7.92483333333333,237.745,1825.694,43997.1796666667,83.6,346.806451612903,10751,24.9951612903226,8.71677419354839,16.2783870967742,4.69758064516129,145.625,1149.11870967742,40006.3564516129,48.62,264.172333333333,7925.17,18.3093333333333,4.32533333333333,13.984,2.0905,62.715,897.085333333333,36653.706,7.36,434.980655737705,26533.82,27.1788524590164,11.0232786885246,16.1555737704918,6.00893442622951,366.545,1144.72704918033,47989.0029508197,259.69,411.801147540984,25119.87,33.0919672131148,19.9704918032787,13.1214754098361,10.9518852459016,668.065,2351.03081967213,51038.1804918033,179.72,379.908360655738,23174.41,32.9434426229508,18.6824590163934,14.2609836065574,10.3790163934426,633.12,2202.5668852459,45950.2509836066,157.81,306.166721311475,18676.17,21.7070491803279,6.55704918032787,15.15,3.41540983606557,208.34,1025.16786885246,38357.5119672131,55.98,423.390901639344,51653.69,30.1354098360656,15.4968852459016,1785.9,8.48040983606557,1034.61,1747.87893442623,49513.5917213115,439.41,343.037540983607,41850.58,27.3252459016393,12.6197540983607,1794.07,6.8972131147541,841.46,1613.86737704918,42153.8814754098,213.79,Southwest,Oklahoma
1988,"Altus, OK",34.6378,99.334,irrigated,25.41934778803681,386.34737704918,94268.76,29.2469262295082,13.8518442622951,15.3950819672131,7.89717213114754,1926.91,1556.86893442623,45796.9897131148,477.21,434.067333333333,13022.02,23.9576666666667,6.41633333333333,17.5413333333333,4.19983333333333,125.995,831.482333333333,46395.5593333333,85.88,427.212903225806,13243.6,28.9283870967742,13.8245161290323,15.1038709677419,6.92709677419355,214.74,1482.29548387097,49741.8509677419,25.9,432.992333333333,12989.77,34.272,18.608,15.664,10.8001666666667,324.005,1757.45533333333,51414.734,86.76,399.798064516129,12393.74,35.1761290322581,21.4945161290323,13.6816129032258,12.7287096774194,394.59,2390.49225806452,50627.0877419355,44.23,415.401935483871,12877.46,36.828064516129,21.5106451612903,15.3174193548387,13.3704838709677,414.485,2201.24838709677,47724.8503225806,11.07,358.506,10755.18,30.833,16.213,14.62,8.2435,247.305,1788.604,43864.6123333333,198.19,337.792258064516,10471.56,23.9990322580645,9.17129032258065,14.8277419354839,4.19951612903226,130.185,1170.00935483871,39881.4770967742,11.92,283.847666666667,8515.43,19.7163333333333,3.22333333333333,16.493,2.52016666666667,75.605,799.478666666667,36566.169,13.26,430.58393442623,26265.62,26.4837704918033,10.1811475409836,16.3026229508197,5.58581967213115,340.735,1162.22344262295,48096.1337704918,111.78,416.123114754098,25383.51,34.7314754098361,20.0749180327869,14.6565573770492,11.7802459016393,718.595,2079.16262295082,51014.4547540984,130.99,387.420327868852,23632.64,33.8796721311475,18.9052459016393,14.9744262295082,10.8490163934426,661.79,1998.30852459016,45826.3726229508,209.26,311.262131147541,18986.99,21.8927868852459,6.24606557377049,15.6467213114754,3.37360655737705,205.79,987.781147540984,38250.997704918,25.18,423.353524590164,51649.13,30.6076229508197,15.1280327868852,1888.51,8.68303278688525,1059.33,1620.69303278689,49555.2942622951,242.77,349.341229508197,42619.63,27.8862295081967,12.5756557377049,1867.89,7.11131147540984,867.58,1493.04483606557,42038.6851639344,234.44,Southwest,Oklahoma
1990,"Altus, OK",34.6378,99.334,irrigated,29.61232326134772,379.869098360656,92688.06,28.9644262295082,14.5276639344262,14.436762295082,7.92493852459017,1933.685,1790.19004098361,45833.7365983607,605.38,412.329666666667,12369.89,22.7126666666667,8.693,14.0196666666667,3.70533333333333,111.16,1162.678,46269.9483333333,98.34,448.493870967742,13903.31,27.9996774193548,13.6335483870968,14.3661290322581,6.71774193548387,208.25,1610.99225806452,49652.6041935484,92.33,406.465333333333,12193.96,35.9196666666667,21.3326666666667,14.587,12.8191666666667,384.575,2567.90566666667,51397.3386666667,64.3,384.060322580645,11905.87,34.1803225806452,20.418064516129,13.7622580645161,11.6448387096774,360.99,2414.74129032258,50690.6080645161,124.73,406.406129032258,12598.59,33.9583870967742,20.2661290322581,13.6922580645161,11.4933870967742,356.295,2373.23129032258,47840.32,84.28,359.85,10795.5,32.291,18.0413333333333,14.2496666666667,9.81733333333333,294.52,2098.00566666667,43997.1796666667,42.75,359.103548387097,11132.21,24.66,8.4041935483871,16.2558064516129,4.59483870967742,142.44,1152.37741935484,40006.3564516129,23.82,259.624333333333,7788.73,19.829,5.27866666666667,14.5503333333333,2.51516666666667,75.455,928.569333333333,36653.706,74.83,430.708196721311,26273.2,25.3995081967213,11.2037704918033,14.195737704918,5.23622950819672,319.41,1390.50983606557,47989.0029508197,190.67,395.079180327869,24099.83,35.035737704918,20.867868852459,14.167868852459,12.2223770491803,745.565,2490.06803278689,51038.1804918033,189.03,383.509672131148,23394.09,33.1383606557377,19.1719672131148,13.966393442623,10.6690983606557,650.815,2237.87442622951,45950.2509836066,127.03,310.179344262295,18920.94,22.2840983606557,6.86704918032787,15.4170491803279,3.5720491803278702,217.895,1042.30786885246,38357.5119672131,98.65,412.89368852459,50373.03,30.2176229508197,16.0358196721311,1730.18,8.72930327868852,1064.975,1940.28893442623,49513.5917213115,379.7,346.844508196721,42315.03,27.7112295081967,13.0195081967213,1792.39,7.1205737704918,868.71,1640.09114754098,42153.8814754098,225.68,Southwest,Oklahoma
