year,loc,loccode,lat,lon
1980,"Altus, OK",16,34.6378,-99.334
1981,"Altus, OK",16,34.6378,-99.334
1982,"Altus, OK",16,34.6378,-99.334
1983,"Altus, OK",16,34.6378,-99.334
1984,"Altus, OK",16,34.6378,-99.334
1985,"Altus, OK",16,34.6378,-99.334
1986,"Altus, OK",16,34.6378,-99.334
1987,"Altus, OK",16,34.6378,-99.334
1988,"Altus, OK",16,34.6378,-99.334
1990,"Altus, OK",16,34.6378,-99.334
1993,"Altus, OK",16,34.6378,-99.334
1994,"Altus, OK",16,34.6378,-99.334
1996,"Altus, OK",16,34.6378,-99.334
1997,"Altus, OK",16,34.6378,-99.334
1998,"Altus, OK",16,34.6378,-99.334
1999,"Altus, OK",16,34.6378,-99.334
2000,"Altus, OK",16,34.6378,-99.334
2001,"Altus, OK",16,34.6378,-99.334
2002,"Altus, OK",16,34.6378,-99.334
2003,"Altus, OK",16,34.6378,-99.334
2004,"Altus, OK",16,34.6378,-99.334
2005,"Altus, OK",16,34.6378,-99.334
2006,"Altus, OK",16,34.6378,-99.334
2007,"Altus, OK",16,34.6378,-99.334
2008,"Altus, OK",16,34.6378,-99.334
2009,"Altus, OK",16,34.6378,-99.334
2014,"Altus, OK",16,34.6378,-99.334
2016,"Altus, OK",16,34.6378,-99.334
2017,"Altus, OK",16,34.6378,-99.334
2018,"Altus, OK",16,34.6378,-99.334
1980,"Ames Plantation, TN",167,35.1151,-89.2157
1981,"Ames Plantation, TN",167,35.1151,-89.2157
1983,"Anthony, NM",183,32.004,-106.6058
1984,"Anthony, NM",183,32.004,-106.6058
1980,"Artesia, NM",40,32.8423,-104.4033
1981,"Artesia, NM",40,32.8423,-104.4033
1983,"Artesia, NM",40,32.8423,-104.4033
1984,"Artesia, NM",40,32.8423,-104.4033
1985,"Artesia, NM",40,32.8423,-104.4033
1986,"Artesia, NM",40,32.8423,-104.4033
1987,"Artesia, NM",40,32.8423,-104.4033
1988,"Artesia, NM",40,32.8423,-104.4033
