"","loc","year","srad_mean_growingseason","srad_sum_growingseason","tmax_mean_growingseason","tmin_mean_growingseason","vp_mean_growingseason","dayl_mean_growingseason","prcp_sum_growingseason","srad_mean_April","srad_sum_April","tmax_mean_April","tmin_mean_April","vp_mean_April","dayl_mean_April","prcp_sum_April","srad_mean_May","srad_sum_May","tmax_mean_May","tmin_mean_May","vp_mean_May","dayl_mean_May","prcp_sum_May","srad_mean_June","srad_sum_June","tmax_mean_June","tmin_mean_June","vp_mean_June","dayl_mean_June","prcp_sum_June","srad_mean_July","srad_sum_July","tmax_mean_July","tmin_mean_July","vp_mean_July","dayl_mean_July","prcp_sum_July","srad_mean_August","srad_sum_August","tmax_mean_August","tmin_mean_August","vp_mean_August","dayl_mean_August","prcp_sum_August","srad_mean_September","srad_sum_September","tmax_mean_September","tmin_mean_September","vp_mean_September","dayl_mean_September","prcp_sum_September","srad_mean_October","srad_sum_October","tmax_mean_October","tmin_mean_October","vp_mean_October","dayl_mean_October","prcp_sum_October","srad_mean_November","srad_sum_November","tmax_mean_November","tmin_mean_November","vp_mean_November","dayl_mean_November","prcp_sum_November","srad_mean_April_May","srad_sum_April_May","tmax_mean_April_May","tmin_mean_April_May","vp_mean_April_May","dayl_mean_April_May","prcp_sum_April_May","srad_mean_June_July","srad_sum_June_July","tmax_mean_June_July","tmin_mean_June_July","vp_mean_June_July","dayl_mean_June_July","prcp_sum_June_July","srad_mean_August_September","srad_sum_August_September","tmax_mean_August_September","tmin_mean_August_September","vp_mean_August_September","dayl_mean_August_September","prcp_sum_August_September","srad_mean_October_November","srad_sum_October_November","tmax_mean_October_November","tmin_mean_October_November","vp_mean_October_November","dayl_mean_October_November","prcp_sum_October_November","srad_mean_April_May_June_July","srad_sum_April_May_June_July","tmax_mean_April_May_June_July","tmin_mean_April_May_June_July","vp_mean_April_May_June_July","dayl_mean_April_May_June_July","prcp_sum_April_May_June_July","srad_mean_August_September_October_November","srad_sum_August_September_October_November","tmax_mean_August_September_October_November","tmin_mean_August_September_October_November","vp_mean_August_September_October_November","dayl_mean_August_September_October_November","prcp_sum_August_September_October_November"
"1","Altus, OK",1980,387.676598360656,94593.09,30.5470491803279,14.7740163934426,1539.70823770492,45796.9897131148,424.53,455.118666666667,13653.56,24.4676666666667,6.57166666666667,690.057333333333,46395.5593333333,44.87,399.756129032258,12392.44,27.7183870967742,13.6183870967742,1438.36096774194,49741.8509677419,287.26,423.001666666667,12690.05,36.1656666666667,21.1136666666667,2515.35666666667,51414.734,20.71,409.078387096774,12681.43,40.5622580645161,23.7648387096774,2955.95225806452,50627.0877419355,0,396.206774193548,12282.41,38.2458064516129,23.0093548387097,2454.05741935484,47724.8503225806,13.87,381.882666666667,11456.48,32.483,18.6923333333333,933.424666666667,43864.6123333333,34.9,378.902580645161,11745.98,26.25,8.58903225806452,641.497419354839,39881.4770967742,8.82,256.358,7690.74,18.1306666666667,2.50333333333333,644.591333333333,36566.169,14.1,426.983606557377,26046,26.1196721311475,10.1527868852459,1070.34278688525,48096.1337704918,332.13,415.925901639344,25371.48,38.4,22.4609836065574,2739.26590163934,51014.4547540984,20.71,389.162131147541,23738.89,35.4116393442623,20.8862295081967,1706.20524590164,45826.3726229508,48.77,318.634754098361,19436.72,22.2568852459016,5.59606557377049,643.019016393443,38250.997704918,22.92,421.454754098361,51417.48,32.2598360655738,16.3068852459016,1904.8043442623,49555.2942622951,352.84,353.898442622951,43175.61,28.834262295082,13.2411475409836,1174.61213114754,42038.6851639344,71.69
"2","Ames Plantation, TN",1980,362.400327868852,88425.68,27.0884426229508,13.7346721311475,1703.97282786885,45842.7490983607,781.95,397.874666666667,11936.24,20.431,7.39,1053.50366666667,46450.8813333333,198.67,401.465161290323,12445.42,26.1332258064516,13.1587096774194,1554.2,49856.7329032258,87.82,407.385,12221.55,30.807,18.1493333333333,2126.23233333333,51560.547,66.67,410.568064516129,12727.61,35.6341935483871,22.1067741935484,2588.23516129032,50758.2170967742,61.16,403.490967741935,12508.22,35.0761290322581,20.8087096774194,2375.75903225806,47803.5438709677,41.96,322.580333333333,9677.41,31.07,17.701,2034.68633333333,43876.0686666667,104.04,327.759032258065,10160.53,21.8558064516129,7.16709677419355,1072.85161290323,39824.0009677419,82.01,224.956666666667,6748.7,15.3553333333333,3.119,800.476,36449.6176666667,139.62,399.699344262295,24381.66,23.3288524590164,10.3216393442623,1307.95590163934,48181.7239344262,286.49,409.00262295082,24949.16,33.2601639344262,20.1604918032787,2361.0206557377,51152.8055737705,127.83,363.698852459016,22185.63,33.1059016393443,19.2803278688525,2208.01836065574,45871.9986885246,146,277.200491803279,16909.23,18.6588524590164,5.17622950819672,938.896393442623,38164.4681967213,221.63,404.350983606557,49330.82,28.2945081967213,15.2410655737705,1834.48827868852,49667.2647540984,414.32,320.449672131148,39094.86,25.8823770491803,12.2282786885246,1573.45737704918,42018.233442623,367.63
"3","Artesia, NM",1980,433.616352459016,105802.39,29.0629098360656,11.7102868852459,818.379098360656,45624.8021311475,343.66,491.028,14730.84,24.3393333333333,3.982,335.470666666667,46186.9356666667,28.22,479.725806451613,14871.5,28.4990322580645,11.0409677419355,554.758709677419,49309.3761290323,38.03,507.660666666667,15229.82,38.3823333333333,18.5333333333333,923.630666666667,50866.5553333333,7.9,487.538387096774,15113.69,38.0832258064516,20.31,960.149677419355,50133.7758064516,1.64,446.453225806452,13840.05,33.9270967741936,18.3325806451613,861.834193548387,47428.2532258065,36.59,378.270666666667,11348.12,29.5486666666667,15.581,1294.98,43821.384,192.3,391.846129032258,12147.23,23.7345161290323,6.27838709677419,999.548709677419,40098.2148387097,11.26,284.038,8521.14,15.7226666666667,-0.68,613.234333333333,37004.9083333333,27.72,485.284262295082,29602.34,26.4532786885246,7.56934426229508,446.912131147541,47773.7496721311,66.25,497.434590163934,30343.51,38.2303278688525,19.4362295081967,942.189508196721,50494.1591803279,9.54,412.920819672131,25188.17,31.7737704918033,16.9793442622951,1074.85672131148,45654.3831147541,228.89,338.825737704918,20668.37,19.794262295082,2.85622950819672,809.558032786885,38576.916557377,38.98,491.359426229508,59945.85,32.3418032786885,13.5027868852459,694.550819672131,49133.9544262295,75.79,375.873278688525,45856.54,25.7840163934426,9.9177868852459,942.20737704918,42115.6498360656,267.87
"4","Auburn, AL",1980,371.593524590164,90668.82,27.7449590163934,14.47,1763.05905737705,45603.1468852459,818.72,422.840666666667,12685.22,22.9436666666667,8.683,1152.63633333333,46160.6486666667,143.76,379.766774193548,11772.77,26.8432258064516,14.4964516129032,1681.87419354839,49254.964516129,199.56,416.884333333333,12506.53,31.3756666666667,18.3423333333333,2125.94733333333,50797.6656666667,68.27,404.639032258065,12543.81,34.1322580645161,20.8522580645161,2474.32193548387,50071.7470967742,75.14,401.173225806452,12436.37,33.9525806451613,20.2238709677419,2365.44032258064,47390.8996774194,39.1,353.372666666667,10601.18,31.8853333333333,18.733,2166.217,43815.9356666667,99.13,328.627096774194,10187.44,22.6758064516129,9.30967741935484,1213.16870967742,40125.5241935484,107.13,264.516666666667,7935.5,17.9303333333333,4.886,902.114333333333,37060.1046666667,86.63,400.950655737705,24457.99,24.9254098360656,11.6373770491803,1421.59327868852,47733.1698360656,343.32,410.66131147541,25050.34,32.7765573770492,19.617868852459,2302.99016393443,50428.7562295082,143.41,377.664754098361,23037.55,32.9359016393443,19.4906557377049,2267.46163934426,45632.7206557377,138.23,297.09737704918,18122.94,20.3419672131148,7.13409836065574,1060.19114754098,38617.9408196721,193.76,405.805983606557,49508.33,28.8509836065574,15.6276229508197,1862.29172131148,49080.9630327869,486.73,337.38106557377,41160.49,26.6389344262295,13.3123770491803,1663.82639344262,42125.3307377049,331.99
"5","Beeville, TX",1980,387.180942622951,94472.15,31.199631147541,18.4584426229508,2053.03942622951,45222.7742213115,682.54,475.457333333333,14263.72,27.5493333333333,12.5296666666667,1273.89966666667,45697.2916666667,8.27,367.242580645161,11384.52,30.4690322580645,19.4712903225806,1963.56193548387,48298.5941935484,125.54,454.653,13639.59,35.549,22.9166666666667,2368.16533333333,49589.4343333333,0,434.965483870968,13483.93,38.0290322580645,23.6564516129032,2353.31838709677,48982.6493548387,58.51,363.154838709677,11257.8,34.35,23.3225806451613,2832.00967741935,46733.0625806452,238.79,351.646666666667,10549.4,33.6596666666667,22.3433333333333,2703.09866666667,43719.8036666667,151.99,354.71064516129,10996.03,27.9729032258065,15.0051612903226,1767.47967741935,40606.8390322581,35.28,296.572,8897.16,21.8173333333333,8.16833333333333,1139.30833333333,38030.184,64.16,420.462950819672,25648.24,29.0331147540984,16.0573770491803,1624.3837704918,47019.2650819672,133.81,444.647868852459,27123.52,36.8093442622951,23.2926229508197,2360.62016393443,49281.0681967213,58.51,357.495081967213,21807.2,34.0104918032787,22.8409836065574,2768.61081967213,45251.1319672131,390.78,326.117868852459,19893.19,24.9455737704918,11.6427868852459,1458.54295081967,39339.6316393443,99.44,432.555409836066,52771.76,32.9212295081967,19.675,1992.50196721311,48150.1666393443,192.32,341.806475409836,41700.39,29.4780327868852,17.2418852459016,2113.5768852459,42295.3818032787,490.22
"6","Belle Mina, AL",1980,367.585819672131,89690.94,27.3891393442623,13.5013114754098,1682.99360655738,45796.9897131148,960.5,425.943666666667,12778.31,21.936,7.49166666666667,1058.94766666667,46395.5593333333,135.84,388.46064516129,12042.28,26.2987096774194,13.6229032258065,1596.40967741935,49741.8509677419,202.24,418.883333333333,12566.5,30.9916666666667,17.9103333333333,2083.343,51414.734,60.68,405.863548387097,12581.77,34.9725806451613,20.9606451612903,2494.23967741935,50627.0877419355,87.32,389.807419354839,12084.03,34.7874193548387,20.0677419354839,2341.58774193548,47724.8503225806,94.26,348.625,10458.75,31.5813333333333,17.2216666666667,1989.91866666667,43864.6123333333,175.66,329.834193548387,10224.86,22.0793548387097,7.08387096774194,1056.91258064516,39881.4770967742,69.18,231.814666666667,6954.44,16.18,3.394,817.350666666667,36566.169,135.32,406.894918032787,24820.59,24.1531147540984,10.6075409836066,1332.08409836066,48096.1337704918,338.08,412.266721311475,25148.27,33.0147540983607,19.4604918032787,2292.1593442623,51014.4547540984,148,369.553770491803,22542.78,33.2106557377049,18.6680327868852,2168.63573770492,45826.3726229508,269.92,281.627868852459,17179.3,19.1780327868852,5.26918032786885,939.095245901639,38250.997704918,204.5,409.580819672131,49968.86,28.5839344262295,15.0340163934426,1812.12172131148,49555.2942622951,486.08,325.590819672131,39722.08,26.1943442622951,11.968606557377,1553.86549180328,42038.6851639344,474.42
"7","Bossier City, LA",1980,375.082418032787,91520.11,29.9418032786885,15.832868852459,1876.76995901639,45592.3649180328,622.78,415.701333333333,12471.04,23.6743333333333,9.189,1192.50733333333,46147.557,140.77,388.873225806452,12055.07,28.29,16.4887096774194,1904.80806451613,49227.8725806452,130.12,409.288333333333,12278.65,33.7013333333333,21.2523333333333,2555.69666666667,50763.372,75,423.876774193548,13140.18,37.5093548387097,22.9138709677419,2784.55387096774,50040.8648387097,32.86,409.524516129032,12695.26,37.0148387096774,22.0629032258065,2352.01741935484,47372.2967741935,34.81,342.187333333333,10265.62,34.647,20.676,2169.474,43813.2223333333,48.08,358.551612903226,11115.1,25.7712903225806,9.12838709677419,1129.09451612903,40139.1241935484,75.22,249.973,7499.19,18.6323333333333,4.70966666666667,903.894666666667,37087.5863333333,85.92,402.06737704918,24526.11,26.02,12.8986885245902,1554.4962295082,47712.9632786885,270.89,416.702131147541,25418.83,35.6365573770492,22.0967213114754,2672.00114754098,50396.1962295082,107.86,376.407868852459,22960.88,35.8503278688525,21.3808196721311,2262.24196721311,45621.932295082,82.89,305.152295081967,18614.29,22.2603278688525,6.95524590163934,1018.34049180328,38638.3678688525,161.14,409.384754098361,49944.94,30.8282786885246,17.4977049180328,2113.24868852459,49054.5797540984,378.75,340.780081967213,41575.17,29.0553278688525,14.1680327868852,1640.2912295082,42130.1500819672,244.03
"8","Chickasha, OK",1980,381.23356557377,93020.99,29.8576229508197,14.6425819672131,1631.12008196721,45836.9974180328,430.99,456.935666666667,13708.07,23.4093333333333,6.47833333333333,767.696,46443.9303333333,43.46,397.707419354839,12328.93,27.5264516129032,13.6816129032258,1468.08258064516,49842.2951612903,214.77,415.797666666667,12473.93,34.579,20.8403333333333,2481.098,51542.217,60.95,419.03064516129,12989.95,39.8,23.1641935483871,2857.29193548387,50741.7351612903,0,390.763870967742,12113.68,37.9048387096774,22.7254838709677,2536.66774193548,47793.6558064516,11.67,359.390666666667,10781.72,32.4766666666667,18.6806666666667,1315.91833333333,43874.6293333333,48.57,362.141612903226,11226.39,25.2612903225806,8.45032258064516,825.248387096774,39831.2212903226,27.2,246.610666666667,7398.32,17.5346666666667,2.80466666666667,758.197333333333,36464.2646666667,24.37,426.83606557377,26037,25.5016393442623,10.1390163934426,1123.63016393443,48170.9681967213,258.23,417.440655737705,25463.88,37.2322950819672,22.0213114754098,2672.27852459016,51135.4147540984,60.95,375.334426229508,22895.4,35.2352459016393,20.7362295081967,1936.29918032787,45866.2657377049,60.24,305.323114754098,18624.71,21.4613114754098,5.67377049180328,792.272459016393,38175.3409836066,51.57,422.138360655738,51500.88,31.3669672131148,16.0801639344262,1897.9543442623,49653.1914754098,319.18,340.328770491803,41520.11,28.3482786885246,13.205,1364.28581967213,42020.8033606557,111.81
"9","Clarkdale, LA",1980,463.837213114754,113176.28,21.7491393442623,2.70233606557377,504.276885245902,45865.8435245902,186.73,545.949666666667,16378.49,15.1113333333333,-3.564,484.486,46478.7816666667,38.45,492.002580645161,15252.08,16.7054838709677,-0.368709677419355,536.146129032258,49914.705483871,16.33,564.288,16928.64,26.7636666666667,4.796,388.265,51634.16,0,481.970967741936,14941.1,28.9945161290323,10.1574193548387,531.968064516129,50824.4022580645,64.7,488.817419354839,15153.34,27.6741935483871,9.93322580645161,590.538709677419,47843.2390322581,8.25,456.334,13690.02,25.3136666666667,5.577,649.514,43881.846,31.42,365.668064516129,11335.71,19.0264516129032,-0.340322580645161,467.865161290323,39795.0129032258,27.58,316.563333333333,9496.9,14.2236666666667,-4.85766666666667,381.785,36390.8013333333,0,518.53393442623,31630.57,15.9214754098361,-1.94016393442623,510.739508196721,48224.9068852459,54.78,522.454754098361,31869.74,27.8973770491803,7.52065573770492,461.294426229508,51222.6437704918,64.7,472.841967213115,28843.36,26.5132786885246,7.79081967213115,619.542950819672,45895.0129508197,39.67,341.518196721311,20832.61,16.6644262295082,-2.56196721311475,425.530655737705,38120.8104918033,27.58,520.494344262295,63500.31,21.9094262295082,2.79024590163934,486.016967213115,49723.7753278689,119.48,407.180081967213,49675.97,21.5888524590164,2.6144262295082,522.536803278688,42007.9117213115,67.25
"10","College Station, TX",1980,385.384016393443,94033.7,30.4926229508197,17.354631147541,1860.29020491803,45418.6802868852,503.06,449.230333333333,13476.91,24.7313333333333,10.7153333333333,1321.998,45936.312,44.66,360.867741935484,11186.9,28.6983870967742,17.9338709677419,2088.0164516129,48791.3096774194,162.63,433.439333333333,13003.18,34.6446666666667,22.2416666666667,2686.76133333333,50211.3106666667,10.68,419.423870967742,13002.14,38.04,23.378064516129,2752.78870967742,49543.4764516129,18.8,434.848064516129,13480.29,36.8825806451613,23.2367741935484,1777.67806451613,47072.2670967742,6.34,362.266333333333,10867.99,34.169,21.9736666666667,1779.18666666667,43769.413,104.08,350.054838709677,10851.7,26.4874193548387,12.1990322580645,1402.99903225806,40358.564516129,68.42,272.153,8164.59,20.0163333333333,6.91433333333333,1053.54933333333,37530.4256666667,87.45,404.324754098361,24663.81,26.7473770491803,14.3837704918033,1711.28606557377,47387.2124590164,207.29,426.316721311475,26005.32,36.3701639344262,22.8191803278689,2720.3162295082,49871.9195081967,29.48,399.152131147541,24348.28,35.5480327868852,22.6155737704918,1778.42,45447.9126229508,110.42,311.742459016393,19016.29,23.3049180327869,9.6,1231.13852459016,38967.676557377,155.87,415.320737704918,50669.13,31.5587704918033,18.6014754098361,2215.80114754098,48629.5659836066,236.77,355.447295081967,43364.57,29.4264754098361,16.1077868852459,1504.77926229508,42207.7945901639,266.29
