"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","uhm_mot","ui_mot","str_mot","rd_mot","b_mot","mic_mot"
82,11,"PLA",12,"Lubbock, TX",498,1,"160",1.07,0.5,46,"223",6.4,4.5,1.01,82,28,76.5,8.2,4.3
82,11,"PLA",12,"Lubbock, TX",498,2,"158",1.05,0.5,48,"206",6.7,4.4,1.02,82,28,79,8.4,4.2
82,11,"PLA",12,"Lubbock, TX",532,1,"122",0.94,0.43,45,"173",6.3,4.4,0.92,81,24,77.5,9,4.3
82,11,"PLA",12,"Lubbock, TX",532,2,"125",1.01,0.47,46,"180",6.4,4.2,0.92,81,24,79.5,8.4,4.2
82,11,"PLA",12,"Lubbock, TX",574,1,"129",1.01,0.48,47,"183",6.4,4.8,0.96,81,25,77.5,8.8,4.8
82,11,"PLA",12,"Lubbock, TX",574,2,"129",1.02,0.47,46,"184",6.5,4.4,0.99,81,23,77.5,8.6,4.5
82,11,"PLA",12,"Lubbock, TX(irri)",80,1,"116",0.98,0.45,46,"185",7.1,5,0.92,81,24,79,8.8,4.8
82,11,"PLA",12,"Lubbock, TX(irri)",80,2,"122",1,0.47,47,"167",7.1,5,0.97,82,21,77.5,8.8,5
82,11,"PLA",12,"Lubbock, TX(irri)",402,1,"131",1,0.46,46,"178",7.2,4.5,1,81,24,76.5,8.8,4.4
82,11,"PLA",12,"Lubbock, TX(irri)",402,2,"129",1.04,0.47,45,"181",6.7,4.3,1.02,81,24,79.5,8.6,4.2
82,11,"PLA",12,"Lubbock, TX(irri)",683,1,"125",0.94,0.43,45,"175",6.9,4.6,0.91,81,21,78,8.4,4.4
82,11,"PLA",12,"Lubbock, TX(irri)",683,2,"125",0.95,0.43,45,"183",6.4,4.3,0.88,80,23,78.5,9.2,4.2
82,11,"PLA",12,"Lubbock, TX(irri)",634,1,"121",1.04,0.49,46,"184",7.2,5.2,1,82,27,79,9,4.9
82,11,"PLA",12,"Lubbock, TX(irri)",634,2,"134",1.04,0.49,47,"186",7,4.9,1.02,82,27,79,8.6,4.9
82,11,"PLA",12,"Lubbock, TX(irri)",566,1,"121",0.93,0.45,48,"178",7.4,4.9,0.89,81,25,73.5,9.2,4.7
82,11,"PLA",12,"Lubbock, TX(irri)",566,2,"111",0.92,0.43,46,"170",8,4.8,0.85,80,23,78,8.8,4.5
82,11,"PLA",12,"Lubbock, TX(irri)",400,1,"114",0.96,0.45,46,"161",7.5,4.6,0.95,81,23,75.5,9.6,4.5
82,11,"PLA",12,"Lubbock, TX(irri)",400,2,"111",0.99,0.46,46,"167",7.6,4.6,0.95,81,22,78,8.8,4.7
82,11,"PLA",12,"Lubbock, TX(irri)",635,1,"120",0.99,0.47,48,"182",6.2,4.9,0.94,82,25,77.5,8.4,4.8
82,11,"PLA",12,"Lubbock, TX(irri)",635,2,"125",1,0.47,47,"184",6.4,4.9,0.94,81,26,78,8.4,4.9
82,11,"PLA",12,"Lubbock, TX(irri)",499,1,"119",0.98,0.45,46,"168",6.5,4.6,0.91,80,25,78.5,9,4.7
82,11,"PLA",12,"Lubbock, TX(irri)",499,2,"118",0.99,0.45,45,"172",6.4,4.5,0.92,81,26,78,9.2,4.5
