"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","uhm_mot","ui_mot","str_mpt","rd_mot","b_mot","mic_mot"
"85",11,"PLA",12,"Lubbock, TX","80",1,107,0.97,0.44,44,17.4,6.9,4.3,1,79,22,74.5,8.4,4.3
"85",11,"PLA",12,"Lubbock, TX","80",2,112,0.97,0.46,47,17.1,7.7,4,0.95,79,23,73,8.8,4.1
"85",11,"PLA",12,"Lubbock, TX","400",1,114,1.01,0.45,43,17.6,6.4,3.6,1.04,79,22,76.5,8.8,3.7
"85",11,"PLA",12,"Lubbock, TX","400",2,118,1.02,0.47,45,17.4,6.6,3.8,1.01,79,22,77,8,3.8
"85",11,"PLA",12,"Lubbock, TX","566",1,121,1.01,0.48,47,17.8,6.8,3.9,1.03,79,23,75.5,8.8,3.9
"85",11,"PLA",12,"Lubbock, TX","566",2,121,1,0.46,46,18.5,5.9,3.6,1.02,79,24,76.5,8.6,3.6
"85",11,"PLA",12,"Lubbock, TX","574",1,128,1,0.44,44,19,6.7,4,1.01,78,23,76,8,4.1
"85",11,"PLA",12,"Lubbock, TX","574",2,130,0.99,0.44,43,17.4,5.8,4,1.03,79,24,74,8,3.9
"85",11,"PLA",12,"Lubbock, TX","634",1,142,1.09,0.51,46,20.4,5.7,3.8,1.11,80,29,77,8,3.8
"85",11,"PLA",12,"Lubbock, TX","634",2,139,1.05,0.5,47,20.5,5.8,3.9,1.1,81,29,75.5,8,3.9
"85",11,"PLA",12,"Lubbock, TX","635",1,138,1,0.49,48,18.4,5.7,4,0.99,80,23,74,9,4.1
"85",11,"PLA",12,"Lubbock, TX","635",2,120,0.98,0.44,44,18.3,6.4,3.8,0.97,78,22,72.5,8.6,3.8
"85",11,"PLA",12,"Lubbock, TX","636",1,120,0.97,0.44,45,17.6,6.3,3.5,0.98,79,22,78,9,3.4
"85",11,"PLA",12,"Lubbock, TX","636",2,124,0.97,0.44,44,18.9,6.1,3.4,1.01,79,23,78,8.8,3.4
"85",11,"PLA",12,"Lubbock, TX","679",1,154,1.05,0.5,46,22.9,6.3,4.1,1.06,82,27,75.5,7.6,4.2
"85",11,"PLA",12,"Lubbock, TX","679",2,152,1.04,0.5,47,22,6.4,4,1.06,80,27,75.5,7.8,4
"85",11,"PLA",12,"Lubbock, TX","693",1,139,1.02,0.49,47,19.5,5.8,4.6,1.06,81,25,78,8.2,4.7
"85",11,"PLA",12,"Lubbock, TX","693",2,134,1.01,0.48,46,21,6.6,5,1.06,81,25,77.5,9,4.8
"85",11,"PLA",12,"Lubbock, TX","694",1,127,1.03,0.45,43,18.6,6.4,3.6,1.05,79,22,75,8.6,3.7
"85",11,"PLA",12,"Lubbock, TX","694",2,125,1.03,0.44,42,17.7,6.6,3.6,1.04,78,22,75.5,8.6,3.5
"85",11,"PLA",12,"Lubbock, TX","695",1,125,0.99,0.46,45,19.2,6.2,3.9,0.99,79,25,76,8.4,3.9
"85",11,"PLA",12,"Lubbock, TX","695",2,122,0.96,0.45,46,19.1,6.3,3.7,0.99,80,22,78,8.6,3.8
"85",11,"PLA",163,"Lamesa, TX(dry)","80",1,111,0.96,0.46,47,17.5,6.6,4.5,0.98,81,25,75,9.2,4.4
