"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","x25sl_star","ui_star","str_star","elg_star","rd_star","b_star","mic_star"
88,11,"PLA",12,"Lubbock, TX",400,1,96,1.04,0.52,50,183,8.3,5,1.03,47.6,18.7,7.1,80.5,9.4,5
88,11,"PLA",12,"Lubbock, TX",400,2,93,1.08,0.55,50.9,170,7.8,4.7,1.06,48.1,17.1,7,80.9,9.2,4.8
88,11,"PLA",12,"Lubbock, TX",409,1,114,1,0.52,52,206,6.5,5,0.98,48.7,19.3,7.1,80.9,9,5
88,11,"PLA",12,"Lubbock, TX",409,2,112,1.04,0.54,51.9,213,6.3,4.5,1.03,48.8,20.8,7.2,81.6,8.9,4.6
88,11,"PLA",12,"Lubbock, TX",477,1,132,1.1,0.57,51.8,225,7.3,4.6,1.1,49.4,22.9,7.1,81.9,8.4,4.5
88,11,"PLA",12,"Lubbock, TX",477,2,132,1.09,0.57,52.3,224,7,4.7,1.11,49.6,22.4,7.2,82.1,8.6,4.6
88,11,"PLA",12,"Lubbock, TX",571,1,89,1.01,0.51,50.5,195,8,4.7,0.98,45.4,16.6,6.8,81.2,8.7,4.6
88,11,"PLA",12,"Lubbock, TX",571,2,96,1.06,0.52,49.1,172,8.5,4.3,1.06,47.7,17.7,7.2,83.8,8.5,4.2
88,11,"PLA",12,"Lubbock, TX",576,1,101,1.04,0.52,50,172,7.3,5,1.03,46.5,18.7,7.1,79.7,9.8,4.8
88,11,"PLA",12,"Lubbock, TX",576,2,88,1.06,0.52,49.1,175,7.3,5,1.01,45.9,18.2,7.1,78.5,9.4,5
88,11,"PLA",12,"Lubbock, TX",577,1,93,1.05,0.52,49.5,176,7.8,4.3,1.04,45.5,18.1,7,81,8.8,4.4
88,11,"PLA",12,"Lubbock, TX",577,2,86,1.08,0.53,49.1,166,7.8,4.6,1.05,45.9,17,7.1,81.9,8.9,4.5
88,11,"PLA",12,"Lubbock, TX",578,1,103,1.07,0.55,51.4,215,9.3,5.4,1.03,47.9,21,7.6,81.4,8.8,5.3
88,11,"PLA",12,"Lubbock, TX",578,2,118,1.1,0.56,50.9,210,9,4.8,1.11,49,20.2,7.7,81.4,8.4,4.9
88,11,"PLA",12,"Lubbock, TX",635,1,93,0.97,0.49,50.5,191,7,5.2,0.97,48,19.2,7.3,80.2,8.7,5.2
88,11,"PLA",12,"Lubbock, TX",635,2,101,1.06,0.54,50.9,190,7,4.8,1.07,47.5,18,7.1,80.3,8.6,4.9
88,11,"PLA",12,"Lubbock, TX",689,1,99,1.06,0.55,51.9,180,8.3,5.4,1.05,49.8,17.8,7.6,80.3,8.7,5.3
88,11,"PLA",12,"Lubbock, TX",689,2,94,1.05,0.53,50.5,196,9,5.3,1.04,48.5,18.1,7.9,82.1,8.9,5.3
88,11,"PLA",12,"Lubbock, TX",693,1,111,1.02,0.53,52,217,8,5.4,1,48.5,21.3,7.2,80.6,9.3,5.5
88,11,"PLA",12,"Lubbock, TX",693,2,114,1.07,0.54,50.5,220,7.5,5.2,1.04,48,20.2,7.2,80.3,9,5.3
88,11,"PLA",12,"Lubbock, TX",748,1,108,1.07,0.55,51.4,196,7,5.1,1.07,48.9,18.9,7.3,81.6,8.9,5.3
88,11,"PLA",12,"Lubbock, TX",748,2,100,1.09,0.53,48.6,188,6.5,5.4,1.08,48.7,18.1,7.3,80.4,8.8,5.3
88,11,"PLA",163,"Lamesa, TX(dry)",400,1,95,1.07,0.54,50.5,178,7,4.9,1.05,46.7,16.8,6.9,80.8,8.7,5.2
88,11,"PLA",163,"Lamesa, TX(dry)",400,2,96,1.07,0.54,50.5,186,7,4.7,1.04,45.3,17.4,7.1,81.6,8.6,4.8
88,11,"PLA",163,"Lamesa, TX(dry)",409,1,110,1.04,0.53,51,211,5.8,4.7,1.05,48.2,19.8,6.8,81.6,8.6,4.9
88,11,"PLA",163,"Lamesa, TX(dry)",409,2,106,1.06,0.55,51.9,213,5.5,4.6,1.04,47.8,19.9,6.7,82.1,8.5,4.8
88,11,"PLA",163,"Lamesa, TX(dry)",477,1,130,1.16,0.57,49.1,253,6.5,4.3,1.14,47.2,22.7,7.1,79.9,8.3,4.3
88,11,"PLA",163,"Lamesa, TX(dry)",477,2,146,1.19,0.6,50.4,244,7,4.1,1.18,50.4,22.9,6.9,81.5,8.2,4.2
88,11,"PLA",163,"Lamesa, TX(dry)",571,1,91,1.05,0.53,50.5,185,7,4.4,1.02,46.5,19.1,7.4,83.2,7.9,4.2
88,11,"PLA",163,"Lamesa, TX(dry)",571,2,87,1.06,0.53,50,182,7.5,4.4,1.05,45.9,18.2,7.3,82.8,8.2,4.3
88,11,"PLA",163,"Lamesa, TX(dry)",576,1,93,1.06,0.52,49.1,189,7.5,4.7,1.03,44.1,17.8,7.2,81.6,9.1,4.8
88,11,"PLA",163,"Lamesa, TX(dry)",576,2,91,1.07,0.53,49.5,185,7.5,4.8,1.05,45.2,18.1,7,78.9,9.3,4.8
88,11,"PLA",163,"Lamesa, TX(dry)",577,1,90,1.04,0.49,47.1,179,7,4.5,1.05,45.8,17.4,7.1,82,8.6,4.5
88,11,"PLA",163,"Lamesa, TX(dry)",577,2,98,1.09,0.53,48.6,177,6.5,4.4,1.07,44.5,17.3,7,82.4,8.1,4.3
88,11,"PLA",163,"Lamesa, TX(dry)",578,1,107,1.04,0.54,51.9,217,8.5,4.8,1,47.6,21.8,7.7,78.6,8.5,4.9
88,11,"PLA",163,"Lamesa, TX(dry)",578,2,107,1.06,0.56,52.8,209,8.5,5,1.04,50.2,20.2,7.3,80.9,8.1,5
88,11,"PLA",163,"Lamesa, TX(dry)",635,1,94,1.04,0.53,51,196,6.3,4.9,1.01,47.7,18.2,6.7,81.7,8.1,5
88,11,"PLA",163,"Lamesa, TX(dry)",635,2,104,1.03,0.49,47.6,189,6.8,4.7,1.03,48.7,20.3,6.8,81.6,7.7,4.8
88,11,"PLA",163,"Lamesa, TX(dry)",689,1,98,1.1,0.53,48.2,180,8.5,5,1.07,46.1,17.5,7.1,81,9.1,4.9
88,11,"PLA",163,"Lamesa, TX(dry)",689,2,105,1.1,0.54,49.1,188,8.3,4.9,1.09,48.4,17.6,7.6,84.4,8.3,4.9
88,11,"PLA",163,"Lamesa, TX(dry)",693,1,108,1.05,0.53,50.5,226,6.8,5.2,1.05,48.4,19.8,7,81.6,8.7,5.2
88,11,"PLA",163,"Lamesa, TX(dry)",693,2,116,1.07,0.54,50.5,216,6.8,5,1.05,48.6,20.8,6.8,81.2,8.6,4.9
88,11,"PLA",163,"Lamesa, TX(dry)",748,1,101,1.11,0.55,49.5,203,6.5,5.4,1.07,46,18,6.9,80.5,8.5,5.4
88,11,"PLA",163,"Lamesa, TX(dry)",748,2,108,1.12,0.53,47.3,208,6.5,5,1.14,49.4,19.2,6.9,82.2,8.3,5
88,12,"PLA",16,"Altus, OK(irri)",400,1,114,1.13,0.59,52.2,206,9,3.8,1.08,47.1,22.7,6.6,77.8,8.2,4.1
88,12,"PLA",16,"Altus, OK(irri)",400,2,116,1.07,0.54,50.5,195,8.8,3.9,1.05,50.2,22.9,6.7,79.1,8.1,3.8
