"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","elg_star","ui_spin","str_spin","rd_spin","b_spin","mic_spin"
89,11,"PLA",12,"Lubbock, TX",400,1,"102",1.02,0.48,47.1,"174",8.3,3.4,6.3,80.3,26.1,83,9.2,3.4
89,11,"PLA",12,"Lubbock, TX",400,2,"100",1.04,0.51,48.8,"167",6.8,3.4,6.5,80.7,26.1,81.9,9.2,3.3
89,11,"PLA",12,"Lubbock, TX",409,1,"120",1.03,0.52,50,"203",8,3.3,6,80.1,25.1,83.7,8.8,3.5
89,11,"PLA",12,"Lubbock, TX",409,2,"118",1.05,0.51,48.4,"194",7,3.4,6,80.6,27.6,82.5,9.1,3.5
89,11,"PLA",12,"Lubbock, TX",477,1,"144",1.13,0.54,48,"242",7.8,3.5,6.3,80.9,30.6,83.4,8.8,3.6
89,11,"PLA",12,"Lubbock, TX",477,2,"144",1.17,0.57,48.7,"227",8,3.6,6.4,83,31,83,8.7,3.6
89,11,"PLA",12,"Lubbock, TX",571,1,"96",1.05,0.5,47.7,"177",9.3,3,6.2,78.1,24.6,84.4,8.6,2.9
89,11,"PLA",12,"Lubbock, TX",571,2,"104",1.05,0.51,48.6,"179",9.8,3.1,6.4,80.1,25,84.7,8.6,3
89,11,"PLA",12,"Lubbock, TX",576,1,"98",1.03,0.48,46.4,"177",8,3.1,6.2,79,25.1,81.7,9.5,3
89,11,"PLA",12,"Lubbock, TX",576,2,"101",1.06,0.51,47.7,"176",8,2.8,6.6,78.7,26.2,82.9,9.3,2.8
89,11,"PLA",12,"Lubbock, TX",577,1,"98",1.02,0.49,47.8,"169",8.3,3.1,6.4,78.7,24.8,84,8.7,3
89,11,"PLA",12,"Lubbock, TX",577,2,"103",1.04,0.48,46.2,"163",8,3.2,6.5,80.3,24.8,83.7,8.9,3.1
89,11,"PLA",12,"Lubbock, TX",578,1,"115",1.06,0.54,50.7,"213",9.8,4.4,7.2,82.8,28.1,82.6,8.7,4.4
89,11,"PLA",12,"Lubbock, TX",578,2,"122",1.1,0.58,52.3,"200",9.5,4.4,7.1,82.5,26.3,83.3,8.7,4.4
89,11,"PLA",12,"Lubbock, TX",635,1,"100",0.97,0.47,48.8,"183",7,4,6.2,80.3,23.9,82.6,8.7,4.1
89,11,"PLA",12,"Lubbock, TX",635,2,"110",1.04,0.51,49.1,"177",7.5,3.7,6.3,81.7,26.1,83.2,8.6,3.6
89,11,"PLA",12,"Lubbock, TX",689,1,"101",1.07,0.51,47.9,"167",8.3,3.4,6.3,80.4,25,83.4,8.9,3.3
89,11,"PLA",12,"Lubbock, TX",689,2,"101",1.07,0.49,45.5,"176",9,3.2,6.8,81.1,26.2,84.3,9,3.2
89,11,"PLA",12,"Lubbock, TX",693,1,"108",1.05,0.51,48.8,"204",7.5,4.3,6.7,81.6,28.1,82.5,9.2,4.3
89,11,"PLA",12,"Lubbock, TX",693,2,"117",1.08,0.56,51.6,"204",7.8,4.4,6.1,82.9,26.2,81.6,9.1,4.4
89,11,"PLA",12,"Lubbock, TX",748,1,"103",1.09,0.53,48.2,"184",6.8,3.9,6.1,80.2,25.3,82.7,9.1,3.8
89,11,"PLA",12,"Lubbock, TX",748,2,"112",1.12,0.55,49.3,"178",7.5,3.7,6.3,80.9,25.3,81.8,9.2,3.7
89,11,"PLA",163,"Lamesa, TX(dry)",400,1,"100",0.98,0.48,48.5,"180",9.3,3.8,7.1,80.3,25.7,77.2,0,3.9
89,11,"PLA",163,"Lamesa, TX(dry)",400,2,"84",0.97,0.47,48.2,"170",8.8,3.7,7.5,80.3,24,76.9,0,3.7
89,11,"PLA",163,"Lamesa, TX(dry)",409,1,"128",1.02,0.51,50.3,"206",8,3.9,7,82.1,28.1,80.8,9.1,3.8
89,11,"PLA",163,"Lamesa, TX(dry)",409,2,"126",1,0.49,48.8,"205",8,3.8,6.5,82.3,28.3,81.2,9,3.7
89,11,"PLA",163,"Lamesa, TX(dry)",477,1,"147",1.15,0.58,50,"236",7.5,4.1,6.4,85,30.9,80.7,8.8,4.1
89,11,"PLA",163,"Lamesa, TX(dry)",477,2,"144",1.14,0.58,51.1,"217",7.5,4,6.4,84,29.5,80.1,9.5,4.2
89,11,"PLA",163,"Lamesa, TX(dry)",571,1,"93",1,0.49,48.5,"175",9.3,3.6,6.8,79.5,24.6,82,9.2,3.7
89,11,"PLA",163,"Lamesa, TX(dry)",571,2,"93",1,0.49,49,"175",8.8,3.7,6.6,80.9,24.7,81.8,9.3,3.5
89,11,"PLA",163,"Lamesa, TX(dry)",576,1,"106",1.02,0.49,48.3,"190",8.5,3.5,7.1,81.6,27.9,79,9.7,3.6
89,11,"PLA",163,"Lamesa, TX(dry)",576,2,"96",1.01,0.47,46.8,"182",8.5,3.2,6.5,79.8,28.1,79.6,9.8,3
89,11,"PLA",163,"Lamesa, TX(dry)",577,1,"89",0.99,0.49,49.3,"174",8.8,3.8,6.4,80,22.7,80.1,9.5,3.7
89,11,"PLA",163,"Lamesa, TX(dry)",577,2,"98",1.01,0.49,48.3,"169",8.5,3.7,6.5,79,23.8,80.3,9.4,3.7
89,11,"PLA",163,"Lamesa, TX(dry)",578,1,"121",1.02,0.52,50.8,"220",9.8,4.7,7.8,82.8,28,78.6,9.2,4.9
89,11,"PLA",163,"Lamesa, TX(dry)",578,2,"120",1.06,0.55,51.7,"209",10.8,4.4,7.2,83,29.3,76.7,0,4.6
89,11,"PLA",163,"Lamesa, TX(dry)",635,1,"102",0.99,0.5,50.8,"192",8.5,4.3,6.5,79.6,24.1,77.5,0,4.3
89,11,"PLA",163,"Lamesa, TX(dry)",635,2,"99",0.96,0.47,48.7,"183",8,4.5,6.7,81.5,25,78.1,0,4.4
89,11,"PLA",163,"Lamesa, TX(dry)",689,1,"111",1.05,0.5,47.7,"208",9,4.2,7.1,83,26.6,80.7,9.3,4.1
89,11,"PLA",163,"Lamesa, TX(dry)",689,2,"99",1.04,0.52,49.8,"192",9.3,4.5,7.3,81.4,25.1,76.7,0,4.6
89,11,"PLA",163,"Lamesa, TX(dry)",693,1,"120",1.03,0.53,51.2,"223",8,4.7,6.8,82.8,29.2,79.3,9.6,4.6
89,11,"PLA",163,"Lamesa, TX(dry)",693,2,"113",1,0.52,51.5,"219",8.8,4.9,7,82.8,28.5,77.3,0,5
89,11,"PLA",163,"Lamesa, TX(dry)",748,1,"107",1.07,0.53,49.8,"200",7.5,4.5,6.5,82.1,25.5,78.9,9.8,4.5
89,11,"PLA",163,"Lamesa, TX(dry)",748,2,"108",1.04,0.54,51.7,"184",8,4.6,6.4,81.2,24.3,77.3,0,4.8
89,12,"PLA",38,"Chickasha, OK(dry)",400,1,"125",1.12,0.57,50.5,"197",8.5,4.4,6.3,84.2,27.1,74.6,8.3,4.5
89,12,"PLA",38,"Chickasha, OK(dry)",400,2,"124",1.14,0.59,51.4,"197",8.5,4.5,6.4,85,25.6,76.3,8.5,4.4
89,12,"PLA",38,"Chickasha, OK(dry)",409,1,"130",1.11,0.59,52.8,"223",6.8,4.7,6,85.3,29.9,77.5,8.2,4.4
89,12,"PLA",38,"Chickasha, OK(dry)",409,2,"130",1.1,0.55,49.8,"216",7.3,4.5,5.8,82.8,26.4,74.1,8.2,4.8
89,12,"PLA",38,"Chickasha, OK(dry)",477,1,"148",1.2,0.62,51.3,"252",8,4,6.2,86.7,32,74.1,7.9,4.1
89,12,"PLA",38,"Chickasha, OK(dry)",477,2,"157",1.21,0.63,52.3,"261",7.8,4.1,6.4,84.8,34.3,76.7,7.8,4.1
89,12,"PLA",38,"Chickasha, OK(dry)",571,1,"129",1.12,0.57,50.5,"208",9.3,3.6,6.3,85.6,27.1,79.7,7.8,3.5
89,12,"PLA",38,"Chickasha, OK(dry)",571,2,"135",1.08,0.54,50.3,"190",9.5,3.5,6.3,83.8,28.6,79.8,7.8,3.4
89,12,"PLA",38,"Chickasha, OK(dry)",576,1,"124",1.11,0.56,50.7,"193",8.3,3.8,6.4,84.5,29.2,76.4,8.2,3.9
89,12,"PLA",38,"Chickasha, OK(dry)",576,2,"121",1.12,0.56,49.8,"187",9,4.2,6.7,85.2,27.5,78.7,8.2,4
89,12,"PLA",38,"Chickasha, OK(dry)",577,1,"130",1.12,0.57,50.5,"178",9,4.2,6.7,84.7,25.6,77.6,7.9,4.1
89,12,"PLA",38,"Chickasha, OK(dry)",577,2,"125",1.14,0.57,50.3,"184",8.5,3.6,6.2,82.5,25,74.3,7.7,3.9
89,12,"PLA",38,"Chickasha, OK(dry)",578,1,"132",1.1,0.57,51.4,"203",9.8,4.1,6.9,85.2,30.5,76.6,8.1,4.1
89,12,"PLA",38,"Chickasha, OK(dry)",578,2,"136",1.1,0.59,53.6,"225",10.3,4.5,6.8,83.9,30.6,74.4,8.1,4.5
89,12,"PLA",38,"Chickasha, OK(dry)",635,1,"124",1.04,0.54,51.7,"214",8.5,4.6,6.2,81.9,25.9,75,7.7,4.5
89,12,"PLA",38,"Chickasha, OK(dry)",635,2,"130",1.04,0.55,52.7,"225",8.5,4.8,6.4,83.6,26.7,72.9,7.4,4.8
89,12,"PLA",38,"Chickasha, OK(dry)",689,1,"128",1.15,0.58,50,"208",9,4.3,6.7,85.7,28,76,8.6,4.4
89,12,"PLA",38,"Chickasha, OK(dry)",689,2,"134",1.2,0.62,51.5,"210",8.8,4.5,6.6,86.9,28.8,77.1,8,4.3
89,12,"PLA",38,"Chickasha, OK(dry)",693,1,"142",1.06,0.55,51.9,"232",7.5,4.4,6.3,84.1,29.4,76.4,9,4.6
89,12,"PLA",38,"Chickasha, OK(dry)",693,2,"136",1.06,0.56,52.6,"239",8.5,4.7,6.2,85.2,30.6,75,8.1,4.5
89,12,"PLA",38,"Chickasha, OK(dry)",748,1,"130",1.15,0.57,49.1,"214",7.3,4.4,6.1,83.6,25.8,73.2,7.9,4.7
89,12,"PLA",38,"Chickasha, OK(dry)",748,2,"134",1.15,0.57,49.8,"215",7.8,4.4,6.1,85,28.5,75.4,7.8,4.3
89,12,"PLA",41,"Chickasha, OK(irri)",400,1,"125",1.11,0.56,50.7,"189",8.5,4.1,6.2,85.3,29,75.4,8.3,3.7
89,12,"PLA",41,"Chickasha, OK(irri)",400,2,"130",1.12,0.57,50.7,"178",8.3,4,6.3,83.9,26.4,76.9,8.4,4
89,12,"PLA",41,"Chickasha, OK(irri)",409,1,"133",1.09,0.57,52.3,"226",7.5,4.4,6.3,84.9,27.6,78.2,8.6,4.5
89,12,"PLA",41,"Chickasha, OK(irri)",409,2,"129",1.1,0.57,51.9,"213",7.3,4.5,6.4,85,28.2,73.5,9.7,4.3
89,12,"PLA",41,"Chickasha, OK(irri)",477,1,"156",1.15,0.61,53.3,"274",8,3.6,6.4,85.6,33,76.8,8.7,3.7
89,12,"PLA",41,"Chickasha, OK(irri)",477,2,"156",1.16,0.61,52.8,"257",8.8,3.6,6.2,85.1,32.9,74.1,8.8,3.5
89,12,"PLA",41,"Chickasha, OK(irri)",571,1,"131",1.09,0.55,50.5,"213",9,3.8,6.2,84.5,26.9,80.2,8.3,3.4
89,12,"PLA",41,"Chickasha, OK(irri)",571,2,"135",1.11,0.57,50.9,"214",9.5,3.1,6.4,85.1,28.7,81.2,7.8,3
89,12,"PLA",41,"Chickasha, OK(irri)",576,1,"121",1.11,0.55,49.8,"188",9,4.3,6.5,84.8,26.5,76.6,8.7,4.1
