"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","t1","e1","mic","elg_star","ui_spin","str_spin","rd_spin","b_spin","mic_spin"
92,10,"PLA",41,"Chickasha, OK(irri)",400,1,112,1.13,0.57,171,8.5,3.2,7.7,87.5,24.6,71.3,7.7,3.4
92,10,"PLA",41,"Chickasha, OK(irri)",400,2,113,1.14,0.55,157,9.5,3.4,7.2,84.7,25.7,75.9,6.1,3.7
92,10,"PLA",41,"Chickasha, OK(irri)",576,1,106,1.15,0.57,178,8.5,3.5,7.2,85.9,25.6,72.5,6.5,3.5
92,10,"PLA",41,"Chickasha, OK(irri)",576,2,103,1.15,0.55,177,9,3.3,7.2,84.7,28.4,73.3,7.1,3.6
92,10,"PLA",41,"Chickasha, OK(irri)",578,1,119,1.13,0.58,189,10.8,4.2,8.1,84.8,28.6,75.3,6.6,4.4
92,10,"PLA",41,"Chickasha, OK(irri)",578,2,120,1.1,0.58,201,9.8,4.1,8.2,86,28.8,72.4,7.3,4.3
92,10,"PLA",41,"Chickasha, OK(irri)",635,1,122,1.07,0.55,189,9,4,7.1,86.2,30.2,73.9,5.9,3.8
92,10,"PLA",41,"Chickasha, OK(irri)",635,2,116,1.06,0.57,215,8.5,4,7.1,85.6,29.1,76.2,6.3,4
92,10,"PLA",41,"Chickasha, OK(irri)",657,1,105,1.13,0.54,175,9,3.5,7.1,86.1,26.6,73.8,6.6,3.1
92,10,"PLA",41,"Chickasha, OK(irri)",657,2,106,1.13,0.55,159,9,3.3,7.1,84.9,24.6,74.5,6.6,3.5
92,10,"PLA",41,"Chickasha, OK(irri)",689,1,116,1.13,0.53,182,10,3.2,7.3,84.2,23.6,70.7,8.3,3.4
92,10,"PLA",41,"Chickasha, OK(irri)",689,2,110,1.12,0.6,200,10,4.2,7.5,84,24.2,71.5,6.1,3.5
92,10,"PLA",41,"Chickasha, OK(irri)",693,1,124,1.11,0.58,217,9,4.3,7.1,85,28.8,71.1,9.3,4.5
