"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","t1","e1","mic","elg_hvi","ui","str","rd","b","mic_hvi"
95,11,"PLA",12,"Lubbock, TX",578,1,127,1.05,0.53,225,8.5,4.5,10,82.4,32.7,76.6,8,4.7
95,11,"PLA",12,"Lubbock, TX",578,2,136,1.07,0.54,229,9,4.5,11,83.2,30,77.8,7.9,4.5
95,11,"PLA",12,"Lubbock, TX",649,1,153,1.11,0.54,241,8,3.6,10,81.9,31.9,78.3,8,3.6
95,11,"PLA",12,"Lubbock, TX",649,2,148,1.14,0.53,225,8,3.6,10,81.8,32.5,79.3,7.4,3.6
95,11,"PLA",12,"Lubbock, TX",689,1,123,1.09,0.53,200,8.5,3.7,10,80.9,27.8,77.4,8,3.9
95,11,"PLA",12,"Lubbock, TX",689,2,124,1.1,0.5,193,9.5,3.7,10,81.5,27.2,78.3,7.9,3.9
95,11,"PLA",12,"Lubbock, TX",731,1,166,1.15,0.55,231,7.3,3.4,9.8,82.2,34.8,76.5,8,3.5
95,11,"PLA",12,"Lubbock, TX",731,2,158,1.15,0.56,243,7,3.5,10,82.3,34.2,75.7,7.9,3.6
95,11,"PLA",12,"Lubbock, TX",812,1,127,1.04,0.5,204,7,4,9.5,80.9,29.3,74.4,7.7,3.9
95,11,"PLA",12,"Lubbock, TX",812,2,138,1.06,0.51,202,8,3.6,9.7,81.7,29.4,76.8,8.1,3.6
95,11,"PLA",12,"Lubbock, TX",813,1,136,1.12,0.54,213,7.5,4,10,82.3,32,76.4,8.6,3.9
95,11,"PLA",12,"Lubbock, TX",813,2,124,1.01,0.49,178,8,3.6,9.7,80.2,25.8,78.1,8.3,3.7
95,11,"PLA",12,"Lubbock, TX",902,1,119,1.01,0.49,193,8,4.3,9.7,80.5,27.6,75.8,8.6,4.2
95,11,"PLA",12,"Lubbock, TX",902,2,123,1.07,0.49,198,8,3.5,9.8,81,27.8,76.9,8.1,3.5
95,11,"PLA",12,"Lubbock, TX",903,1,129,1.08,0.52,203,7.8,3.6,10,81.1,28.2,76.6,8.5,3.7
95,11,"PLA",12,"Lubbock, TX",903,2,131,1.07,0.52,198,7.8,3.7,10,82,29.1,77.8,8.1,3.8
95,11,"PLA",12,"Lubbock, TX",904,1,114,1.04,0.5,192,8.5,3.7,10,82.1,26.4,75.9,8.2,3.8
95,11,"PLA",12,"Lubbock, TX",904,2,110,1.01,0.5,181,7.5,4.1,9.8,80.5,25.4,75.2,8.8,4.2
95,11,"PLA",12,"Lubbock, TX",905,1,111,1.01,0.49,174,7.5,4,9.8,80.2,26.1,76.1,8.6,4.1
95,11,"PLA",12,"Lubbock, TX",905,2,137,1.12,0.54,206,8,4.2,10,81.7,30.6,75.9,8.3,4.3
95,11,"PLA",12,"Lubbock, TX",906,1,131,1.06,0.52,210,7,4.3,9.9,82.3,32.7,76.2,8.4,4.4
95,11,"PLA",12,"Lubbock, TX",906,2,136,1.06,0.52,203,6.8,4.2,9.9,82.7,32.7,76.1,8.2,4.3
95,11,"PLA",12,"Lubbock, TX",941,1,114,1.07,0.5,191,7.8,3.9,9.8,81,26.5,77.1,8.2,3.7
95,11,"PLA",12,"Lubbock, TX",941,2,118,1.09,0.51,185,7.5,3.8,9.8,81.5,25.8,77.8,7.8,3.8
95,11,"PLA",163,"Lamesa, TX(dry)",578,1,133,1.03,0.51,228,8.5,4.4,10,82.4,32.5,77,8.3,4.3
95,11,"PLA",163,"Lamesa, TX(dry)",578,2,138,1.05,0.52,239,9,4.6,10,82.5,32.8,78.1,8.2,4.7
95,11,"PLA",163,"Lamesa, TX(dry)",649,1,136,1.07,0.52,243,7.5,3.6,10,81.5,32.3,79.4,8.9,3.6
95,11,"PLA",163,"Lamesa, TX(dry)",649,2,143,1.09,0.51,232,8.3,3.8,10,81.2,31.9,79.8,8.5,3.8
95,11,"PLA",163,"Lamesa, TX(dry)",689,1,119,1.09,0.5,192,8.8,3.8,9.9,81.4,26.7,79.5,8.6,4
95,11,"PLA",163,"Lamesa, TX(dry)",689,2,117,1.09,0.51,206,9,3.7,10,81.9,26.4,75.8,8.9,3.8
95,11,"PLA",163,"Lamesa, TX(dry)",731,1,156,1.13,0.52,233,7.3,3.6,9.9,82.5,34.4,78.8,8.5,3.8
