"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","t1","e1","mic","elg_hvi","ui","str","rd","b","mic_hvi","x20","x21","x22","x23"
96,11,"PLA",12,"Lubbock, TX",578,1,110,1.05,0.53,190,9.5,4.6,NA,NA,NA,NA,NA,NA,".",".",".","."
96,11,"PLA",12,"Lubbock, TX",578,2,114,1.05,0.54,198,10.5,4.4,NA,NA,NA,NA,NA,NA,".",".",".","."
96,11,"PLA",12,"Lubbock, TX",773,1,131,1.08,0.54,220,8.3,3.4,NA,NA,NA,NA,NA,NA,".",".",".","."
96,11,"PLA",12,"Lubbock, TX",773,2,128,1.1,0.54,212,8,3.4,NA,NA,NA,NA,NA,NA,".",".",".","."
96,11,"PLA",12,"Lubbock, TX",893,1,106,1.08,0.53,188,7.8,4.1,NA,NA,NA,NA,NA,NA,".",".",".","."
96,11,"PLA",12,"Lubbock, TX",893,2,104,1.07,0.51,175,8.3,3.6,NA,NA,NA,NA,NA,NA,".",".",".","."
96,11,"PLA",12,"Lubbock, TX",906,1,117,1.05,0.52,216,6.5,4.7,NA,NA,NA,NA,NA,NA,".",".",".","."
96,11,"PLA",12,"Lubbock, TX",906,2,125,1.06,0.53,198,6,4.5,NA,NA,NA,NA,NA,NA,".",".",".","."
96,11,"PLA",12,"Lubbock, TX",953,1,97,1.07,0.53,168,9,4.3,NA,NA,NA,NA,NA,NA,".",".",".","."
96,11,"PLA",12,"Lubbock, TX",953,2,101,1.06,0.5,154,8.8,3.7,NA,NA,NA,NA,NA,NA,".",".",".","."
96,11,"PLA",12,"Lubbock, TX",1018,1,126,1.08,0.53,200,6.8,4.7,NA,NA,NA,NA,NA,NA,".",".",".","."
96,11,"PLA",12,"Lubbock, TX",1018,2,111,1.05,0.53,181,7.8,4.9,NA,NA,NA,NA,NA,NA,".",".",".","."
96,11,"PLA",12,"Lubbock, TX",1019,1,114,1.06,0.54,197,10,4.6,NA,NA,NA,NA,NA,NA,".",".",".","."
96,11,"PLA",12,"Lubbock, TX",1019,2,113,1.06,0.54,193,10.3,4.3,NA,NA,NA,NA,NA,NA,".",".",".","."
96,11,"PLA",12,"Lubbock, TX",1020,1,108,1.03,0.5,186,9,4.2,NA,NA,NA,NA,NA,NA,".",".",".","."
96,11,"PLA",12,"Lubbock, TX",1020,2,113,1.05,0.51,188,8,4,NA,NA,NA,NA,NA,NA,".",".",".","."
96,11,"PLA",12,"Lubbock, TX",1021,1,108,1.01,0.53,191,12,4.7,NA,NA,NA,NA,NA,NA,".",".",".","."
96,11,"PLA",12,"Lubbock, TX",1021,2,110,1,0.53,198,11,4.5,NA,NA,NA,NA,NA,NA,".",".",".","."
96,11,"PLA",12,"Lubbock, TX",1022,1,111,1.08,0.53,195,7.5,3.9,NA,NA,NA,NA,NA,NA,".",".",".","."
96,11,"PLA",12,"Lubbock, TX",1022,2,125,1.07,0.53,194,7,3.7,NA,NA,NA,NA,NA,NA,".",".",".","."
96,11,"PLA",12,"Lubbock, TX",1023,1,100,0.98,0.51,181,7,5.2,NA,NA,NA,NA,NA,NA,".",".",".","."
96,11,"PLA",12,"Lubbock, TX",1023,2,99,0.98,0.51,177,7.3,4.8,NA,NA,NA,NA,NA,NA,".",".",".","."
96,12,"PLA",16,"Altus, OK(irri)",578,1,122,1.08,0.57,210,10.5,4.1,10,83.7,25.2,71.5,8.4,4.3,".",".",".","."
96,12,"PLA",16,"Altus, OK(irri)",578,2,122,1.11,0.58,212,11.5,4.3,11,84.9,26.2,72,7.8,4.2,".",".",".","."
96,12,"PLA",16,"Altus, OK(irri)",773,1,130,1.1,0.55,220,9.8,3.2,10,82.9,24.1,74.5,8.3,3.4,".",".",".","."
96,12,"PLA",16,"Altus, OK(irri)",773,2,136,1.11,0.57,215,9,3.3,10,83.3,27.4,73.9,8,3.3,".",".",".","."
96,12,"PLA",16,"Altus, OK(irri)",893,1,115,1.13,0.56,205,9.8,3.1,10,83.3,23,73,9.1,3.1,".",".",".","."
96,12,"PLA",16,"Altus, OK(irri)",893,2,128,1.13,0.56,192,10,3.4,10,84.1,26.2,70.4,8.7,3.3,".",".",".","."
96,12,"PLA",16,"Altus, OK(irri)",906,1,131,1.1,0.56,186,8.8,4.4,10,84.7,29.1,73.3,8.5,4.4,".",".",".","."
96,12,"PLA",16,"Altus, OK(irri)",906,2,128,1.12,0.56,198,8.5,3.8,9.7,83.3,25.8,73.5,8.6,4.1,".",".",".","."
96,12,"PLA",16,"Altus, OK(irri)",953,1,108,1.09,0.56,166,9.3,3.7,10,81.5,21.6,72.2,8.8,3.6,".",".",".","."
