"yr","regcode","reg","lococde","loc","vcode","rep","yt","x25sl","x50sl","t1","e1","mic","elg_hvi","uhml","ui","str","rd","b","mic_hvi"
97,11,"PLA",12,"Lubbock, TX",578,1,136,1.11,0.58,244,11,5,11,1.1,84.6,30,76,9.9,4.8
97,11,"PLA",12,"Lubbock, TX",578,3,129,1.11,0.56,231,11,5,11,1,83.9,31,761,0,4.8
97,11,"PLA",12,"Lubbock, TX",773,1,151,1.15,0.57,257,7.8,3.7,12,0.96,84.6,33,78,9.5,3.6
97,11,"PLA",12,"Lubbock, TX",773,3,160,1.15,0.57,246,7,3.8,11,0.95,83.3,33,77,9.9,3.8
97,11,"PLA",12,"Lubbock, TX",893,1,134,1.12,0.56,214,8.5,3.9,11,0.98,82.8,31,731,1,3.9
97,11,"PLA",12,"Lubbock, TX",893,3,135,1.13,0.56,224,9,4.2,11,1,83.7,31,741,1,4.1
97,11,"PLA",12,"Lubbock, TX",906,1,128,1.07,0.53,211,6.5,4.9,10,0.98,82.2,32,77,9.9,5
97,11,"PLA",12,"Lubbock, TX",906,3,135,1.07,0.52,224,7,5.1,11,0.97,81.7,32,77,9.3,4.7
97,11,"PLA",12,"Lubbock, TX",953,1,120,1.11,0.56,210,9.5,4.4,11.08,1,3.2,7,7,1,4.3
97,11,"PLA",12,"Lubbock, TX",953,3,124,1.11,0.54,213,10,4.4,11,0.98,82.8,26,751,1,4.3
97,11,"PLA",12,"Lubbock, TX",1018,1,138,1.09,0.54,223,6.5,5.1,11,0.99,83.3,30,741,0,5
97,11,"PLA",12,"Lubbock, TX",1018,3,127,1.09,0.54,213,7.3,5.3,11,0.98,83.2,31,78,9.3,5.2
97,11,"PLA",12,"Lubbock, TX",1019,1,127,1.11,0.56,223,9.3,5.1,11,1.1,83.5,31,771,0,5
97,11,"PLA",12,"Lubbock, TX",1019,3,124,1.11,0.58,217,10,5.2,11,1,83.6,30,79,8.5,4.9
97,11,"PLA",12,"Lubbock, TX",1020,1,129,1.1,0.53,205,9,4.6,11,1,82.4,29,78,8.9,4.4
97,11,"PLA",12,"Lubbock, TX",1020,3,129,1.11,0.55,210,8.3,4.3,12,0.99,82.3,29,77,9.4,4.2
97,11,"PLA",12,"Lubbock, TX",1021,1,125,1.07,0.55,223,10,5.1,10,1,83.3,31,761,0,5
97,11,"PLA",12,"Lubbock, TX",1021,3,125,1.09,0.56,220,11,5.2,10,1,84.1,31,77,9.1,5.1
97,11,"PLA",12,"Lubbock, TX",1022,1,130,1.08,0.53,218,7,4.6,11,0.97,82.6,31,77,9.4,4.4
97,11,"PLA",12,"Lubbock, TX",1022,3,139,1.11,0.56,218,8,4.6,11,0.97,82.7,30,78,9.3,4.5
97,11,"PLA",12,"Lubbock, TX",1023,1,113,1.01,0.54,198,6.5,5.4,9,1,81.7,30,77,9.8,5.2
97,11,"PLA",12,"Lubbock, TX",1023,3,109,1,0.52,208,7.3,5.5,10,0.99,82.3,30,78,9.1,5.4
97,11,"PLA",163,"Lamesa, TX(dry)",578,1,138,1.1,0.57,231,10,5.1,11,1,83.2,32,79,8.2,4.9
97,11,"PLA",163,"Lamesa, TX(dry)",578,3,129,1.11,0.56,238,10,5,11,1,82.7,31,79,8.2,5.1
97,11,"PLA",163,"Lamesa, TX(dry)",773,1,153,1.17,0.55,252,7,4.1,12,0.94,84.2,33,78,8.9,3.9
97,11,"PLA",163,"Lamesa, TX(dry)",773,3,167,1.17,0.57,257,6.3,4.2,12,0.97,84.5,35,80,8.2,4.1
97,11,"PLA",163,"Lamesa, TX(dry)",893,1,129,1.15,0.57,230,9.5,4.6,11,1,83.5,32,78,9,4.5
97,11,"PLA",163,"Lamesa, TX(dry)",893,3,143,1.15,0.57,241,9.5,4.5,12,1,83.8,32,78,8.7,4.4
97,11,"PLA",163,"Lamesa, TX(dry)",906,1,143,1.11,0.55,244,7,4.7,11,0.99,82.6,33,78,9,4.8
97,11,"PLA",163,"Lamesa, TX(dry)",906,3,132,1.11,0.53,222,7.5,4.8,11,1,82.2,33,78,8.8,4.9
97,11,"PLA",163,"Lamesa, TX(dry)",953,1,122,1.13,0.55,216,11,4.2,11,0.99,83.7,26,77,8.9,4.1
97,11,"PLA",163,"Lamesa, TX(dry)",953,3,121,1.13,0.56,214,10,4.8,11,1,82.8,27,77,8.7,4.6
97,11,"PLA",163,"Lamesa, TX(dry)",1018,1,136,1.12,0.54,227,7,5.3,11,0.97,83.4,32,78,8.6,5.1
97,11,"PLA",163,"Lamesa, TX(dry)",1018,3,145,1.12,0.55,243,7.5,5.2,11,0.99,83.8,32,78,8.5,5.1
97,11,"PLA",163,"Lamesa, TX(dry)",1019,1,135,1.09,0.56,235,9.5,4.8,11,1,84.1,31,79,8.2,4.9
97,11,"PLA",163,"Lamesa, TX(dry)",1019,3,134,1.09,0.54,229,9,4.7,11,1,83.1,32,77,8.4,4.7
97,11,"PLA",163,"Lamesa, TX(dry)",1020,1,135,1.13,0.54,216,8.3,4.8,11,0.96,82.8,29,79,8.4,4.6
97,11,"PLA",163,"Lamesa, TX(dry)",1020,3,123,1.13,0.56,222,9.5,4.9,11,0.99,83.1,29,79,8.5,4.8
97,11,"PLA",163,"Lamesa, TX(dry)",1021,1,129,1.05,0.54,234,11,5.1,10,1,83,32,78,8.3,5.1
97,11,"PLA",163,"Lamesa, TX(dry)",1021,3,124,1.06,0.56,234,11,5.2,10,1,83.9,31,77,8.5,5.1
97,11,"PLA",163,"Lamesa, TX(dry)",1022,1,143,1.12,0.55,238,8,4.3,11,0.95,82.4,31,79,8.4,4.2
97,11,"PLA",163,"Lamesa, TX(dry)",1022,3,141,1.12,0.54,220,8,4.8,11,0.98,82.2,32,79,8.5,4.8
97,11,"PLA",163,"Lamesa, TX(dry)",1023,1,108,1.01,0.53,212,7.5,5.2,10,0.98,81.5,29,78,9.1,5.2
97,11,"PLA",163,"Lamesa, TX(dry)",1023,3,112,1.01,0.53,198,7,5.2,10,0.97,82.2,28,78,9.1,5.4
97,12,"PLA",16,"Altus, OK(iir)",578,1,134,1.1,0.57,227,9.3,4,11,1,83.1,31,71,6.9,3.6
97,12,"PLA",16,"Altus, OK(iir)",578,2,135,1.09,0.56,234,9,4.4,11,1,84,30,72,7.6,4.3
97,12,"PLA",16,"Altus, OK(iir)",773,1,155,1.13,0.57,217,8.3,3.3,11,0.88,82.9,30,71,7.6,3.2
97,12,"PLA",16,"Altus, OK(iir)",773,2,150,1.13,0.53,242,7.8,3.6,11,0.9,85.2,29,69,7,3.3
