"breeder","samples","yr","regcode","reg","loccode","loc","vcode","var","rep","length","ui","str","elg","mic_hvi","rd","b","mic_st","e1","t1","x50sl","x25sl","yt","x24","x25","x26","x27","x28","x29","x30","x31","x32","x33","x34","x35","a","d","i","m_percent","p","w","t","oil","nitro","gossy","sdyield","x47"
"65","17",99,8,"SAN JOAQUIN",1,"Shafter, CA",380,"acala sj-2",1,1.1,83.6,32,9.2,4.6,72,9.9,"4.5999999999999996","6.3","23.4","0.59","1.17","132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,".",".",".",".",".",".",".","18.010000000000002","3.71","0.57999999999999996","1729.5","229.6"
"65","18",99,8,"SAN JOAQUIN",1,"Shafter, CA",380,"acala sj-2",2,1.2,84.7,31,9.2,4.6,74,9.8,"4.5","6.5","21.3","0.59","1.17","132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,".",".",".",".",".",".",".","18.21","3.61","0.67","1590.1","209"
"65","1",99,8,"SAN JOAQUIN",1,"Shafter, CA",773,"acala maxxa",1,1.1,84.2,35,10,4,75,9.5,"4","6","26.4","0.56999999999999995","1.1499999999999999","144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"490","39.5","1.94","77","49.78","3.93","2.4","19.329999999999998","3.87","0.53","861.2","259"
"65","2",99,8,"SAN JOAQUIN",1,"Shafter, CA",773,"acala maxxa",2,1.2,84.2,33,9.4,3.6,75,9.4,"3.6","8","21.7","0.56999999999999995","1.19","135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"518","39.5","1.94","77","47.04","3.51","2.2999999999999998","19.41","3.97","0.57999999999999996","1686.2","212.9"
"65","11",99,8,"SAN JOAQUIN",1,"Shafter, CA",900,"dpl 5461",1,1.1,85.1,36,9.6,3.9,73,8.8,"4","7","26.4","0.56999999999999995","1.19","143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,".",".",".",".",".",".",".","19.64","3.94","0.57999999999999996","856.9","259"
"65","12",99,8,"SAN JOAQUIN",1,"Shafter, CA",900,"dpl 5461",2,1.2,84.7,35,9.8,3.7,74,9.7,"3.6","6","25.8","0.57999999999999996","1.19","137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,".",".",".",".",".",".",".","19.59","4.05","0.64","1423.7","253.1"
"65","15",99,8,"SAN JOAQUIN",1,"Shafter, CA",947,"phy 33",1,1.2,85,31,9.6,3.7,73,9.8,"3.8","6.5","24","0.59","1.19","139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,".",".",".",".",".",".",".","18.350000000000001","3.52","0.33","1883.4","235.4"
"65","16",99,8,"SAN JOAQUIN",1,"Shafter, CA",947,"phy 33",2,1.2,85.3,33,10,4.5,72,10,"4.4000000000000004","7","25.5","0.59","1.19","138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,".",".",".",".",".",".",".","19.79","3.56","0.47","1813","250.2"
"65","13",99,8,"SAN JOAQUIN",1,"Shafter, CA",996,"c 143",1,1.2,85,33,10,4.4,73,9.6,"4.3","6.3","25.1","0.59","1.19","143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,".",".",".",".",".",".",".","20.85","4.32","0.69","925.5","246.2"
"65","14",99,8,"SAN JOAQUIN",1,"Shafter, CA",996,"c 143",2,1.2,84.8,32,10,3.7,74,9.6,"3.8","7.3","24.4","0.56999999999999995","1.19","140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,".",".",".",".",".",".",".","20.21","4.16","0.6","1194.8","239.4"
