"breeder","samples","yr","regcode","reg","loccode","loc","vcode","var","rep","length","ui","str","elg","mic_hvi","rd","b","mic_st","e1","t1","x50sl","x25sl","yt"
"60","1",0,11,"PLA",12,"Lubbock, TX",773,"acala maxxa",1,"1.2","82.3","35","7.7","3.7","76","9.6999999999999993","3.7","7","25.7","0.53","1.19","153"
"60","2",0,11,"PLA",12,"Lubbock, TX",773,"acala maxxa",2,"1.2","82.3","35","7.5","3.7","75","9.5","3.7","7","25.7","0.53","1.1499999999999999","153"
"60","21",0,11,"PLA",12,"Lubbock, TX",906,"southland 400",1,"1.1000000000000001","80.7","31","8.6","4.3","72","8.5","4.2","8.8000000000000007","22","0.49","1.06","127"
"60","22",0,11,"PLA",12,"Lubbock, TX",906,"southland 400",2,"1.1000000000000001","82","31","8.6999999999999993","4.0999999999999996","77","9.6","4","7.5","21","0.53","1.1000000000000001","130"
"60","23",0,11,"PLA",12,"Lubbock, TX",971,"stv 474",1,"1.1000000000000001","81.2","28","7.9","4.2","72","11","4","7.8","21.3","0.51","1.1000000000000001","124"
"60","24",0,11,"PLA",12,"Lubbock, TX",971,"stv 474",2,"1.1000000000000001","81","29","7.5","4.5","73","11","4.5","7.5","22.3","0.49","1.0900000000000001","118"
"60","5",0,11,"PLA",12,"Lubbock, TX",1009,"nu 33b",1,"1.1000000000000001","81","30","8.9","3.9","77","9.5","3.8","9.5","21.2","0.52","1.1100000000000001","121"
"60","6",0,11,"PLA",12,"Lubbock, TX",1009,"nu 33b",2,"1.1000000000000001","81.900000000000006","28","8.5","3.7","78","8.8000000000000007","3.6","9","21.1","0.52","1.1299999999999999","124"
"60","25",0,11,"PLA",12,"Lubbock, TX",1018,"tamcot sphinx",1,"1.1000000000000001","81.400000000000006","31","8.3000000000000007","4.0999999999999996","75","9.6","4","6.8","23.3","0.51","1.07","138"
"60","26",0,11,"PLA",12,"Lubbock, TX",1018,"tamcot sphinx",2,"1.1000000000000001","81.599999999999994","32","8.5","4.2","76","9.6","4.2","7.8","22.4","0.5","1.0900000000000001","122"
"60","3",0,11,"PLA",12,"Lubbock, TX",1019,"all tex atlas",1,"1.1000000000000001","81.8","33","8.6999999999999993","4.2","78","9.4","4.2","7.8","22.6","0.52","1.0900000000000001","130"
"60","4",0,11,"PLA",12,"Lubbock, TX",1019,"all tex atlas",2,"1.1000000000000001","81.900000000000006","31","8.6999999999999993","4.4000000000000004","77","8.8000000000000007","4.2","7.5","22.2","0.51","1.1000000000000001","125"
"60","7",0,11,"PLA",12,"Lubbock, TX",1104,"sg 747",1,"1.1000000000000001","81.599999999999994","27","8.6999999999999993","4.3","74","11","4.2","8.8000000000000007","19","0.54","1.1100000000000001","110"
"60","8",0,11,"PLA",12,"Lubbock, TX",1104,"sg 747",2,"1.1000000000000001","82","28","8.9","4.0999999999999996","75","10","4","9.5","18.8","0.52","1.1299999999999999","114"
"60","9",0,11,"PLA",12,"Lubbock, TX",1131,"all tex excess",1,"1.1000000000000001","80","28","7.4","4.2","74","9.4","4.0999999999999996","7.8","20.2","0.52","1.0900000000000001","117"
"60","10",0,11,"PLA",12,"Lubbock, TX",1131,"all tex excess",2,"1.1000000000000001","81","28","7.5","4","76","9.1999999999999993","3.8","7","19.600000000000001","0.52","1.0900000000000001","124"
"60","11",0,11,"PLA",12,"Lubbock, TX",1132,"dp 2156",1,"1.1000000000000001","79.400000000000006","28","8.6999999999999993","4.3","75","9.6999999999999993","4.0999999999999996","7","19.100000000000001","0.5","1.06","112"
