"breeder","sample","yr","regcode","reg","loccode","loc","vcode","var","rep","length","ui","str","elg","mic_hvi","rd","b","mic_st","e1","t1","x21","x50sl","yt"
"60","23",3,11,"PLA",12,"Lubbock, TX",971,"stv 474",1,NA,NA,NA,NA,NA,NA,NA,"4.9000000000000004","9","17.899999999999999","17.5","0.51","110"
"60","24",3,11,"PLA",12,"Lubbock, TX",971,"stv 474",2,NA,NA,NA,NA,NA,NA,NA,"4.7","7.5","18.100000000000001","17.7","0.5","113"
"60","3",3,11,"PLA",12,"Lubbock, TX",1019,"all tex atlas",1,NA,NA,NA,NA,NA,NA,NA,"4.7","11","19.399999999999999","18.95","0.5","121"
"60","4",3,11,"PLA",12,"Lubbock, TX",1019,"all tex atlas",2,NA,NA,NA,NA,NA,NA,NA,"4.0999999999999996","9.3000000000000007","20.3","19.899999999999999","0.51","131"
"60","1",3,11,"PLA",12,"Lubbock, TX",1128,"acala 1517-99",1,NA,NA,NA,NA,NA,NA,NA,"4.0999999999999996","8.8000000000000007","22.7","22.2","0.54","142"
"60","2",3,11,"PLA",12,"Lubbock, TX",1128,"acala 1517-99",2,NA,NA,NA,NA,NA,NA,NA,"3.9","8.8000000000000007","22.7","22.2","0.55000000000000004","138"
"60","19",3,11,"PLA",12,"Lubbock, TX",1135,"pm 2326rr",1,NA,NA,NA,NA,NA,NA,NA,"4.9000000000000004","9","19.899999999999999","19.5","0.5","115"
"60","20",3,11,"PLA",12,"Lubbock, TX",1135,"pm 2326rr",2,NA,NA,NA,NA,NA,NA,NA,"4.5999999999999996","9.3000000000000007","20.5","20.05","0.5","122"
"60","5",3,11,"PLA",12,"Lubbock, TX",1152,"dpl 458br",1,NA,NA,NA,NA,NA,NA,NA,"4.5","10","19.899999999999999","19.5","0.5","103"
"60","6",3,11,"PLA",12,"Lubbock, TX",1152,"dpl 458br",2,NA,NA,NA,NA,NA,NA,NA,"4.5","10","18.3","17.850000000000001","0.5","99"
"60","11",3,11,"PLA",12,"Lubbock, TX",1169,"fm 958",1,NA,NA,NA,NA,NA,NA,NA,"4.5","7.3","20.5","20.100000000000001","0.5","119"
"60","12",3,11,"PLA",12,"Lubbock, TX",1169,"fm 958",2,NA,NA,NA,NA,NA,NA,NA,"4.4000000000000004","7.5","20.100000000000001","19.7","0.5","121"
"60","7",3,11,"PLA",12,"Lubbock, TX",1196,"stv 4892br",1,NA,NA,NA,NA,NA,NA,NA,"4.9000000000000004","8","17.8","17.399999999999999","0.51","105"
"60","8",3,11,"PLA",12,"Lubbock, TX",1196,"stv 4892br",2,NA,NA,NA,NA,NA,NA,NA,"4.2","8.3000000000000007","17.8","17.399999999999999","0.5","108"
"60","9",3,11,"PLA",12,"Lubbock, TX",1212,"all tex atlas rr",1,NA,NA,NA,NA,NA,NA,NA,"4.7","8.8000000000000007","18.399999999999999","18","0.51","114"
"60","10",3,11,"PLA",12,"Lubbock, TX",1212,"all tex atlas rr",2,NA,NA,NA,NA,NA,NA,NA,"4.3","9.5","19.2","18.8","0.52","114"
"60","13",3,11,"PLA",12,"Lubbock, TX",1213,"fm 5013",1,NA,NA,NA,NA,NA,NA,NA,"4.2","9.5","20.100000000000001","19.7","0.53","106"
"60","14",3,11,"PLA",12,"Lubbock, TX",1213,"fm 5013",2,NA,NA,NA,NA,NA,NA,NA,"4.0999999999999996","11","19.7","19.25","0.52","114"
"60","15",3,11,"PLA",12,"Lubbock, TX",1214,"pm 2167rr",1,NA,NA,NA,NA,NA,NA,NA,"4.7","8","17","16.7","0.52","105"
"60","16",3,11,"PLA",12,"Lubbock, TX",1214,"pm 2167rr",2,NA,NA,NA,NA,NA,NA,NA,"4.3","7.5","17.7","17.3","0.5","106"
"60","17",3,11,"PLA",12,"Lubbock, TX",1215,"pm 2266rr",1,NA,NA,NA,NA,NA,NA,NA,"4.2","9.3000000000000007","20.6","20.2","0.52","121"
"60","18",3,11,"PLA",12,"Lubbock, TX",1215,"pm 2266rr",2,NA,NA,NA,NA,NA,NA,NA,"4.4000000000000004","8.8000000000000007","19.8","19.350000000000001","0.5","116"
"60","21",3,11,"PLA",12,"Lubbock, TX",1216,"stv 2454rr",1,NA,NA,NA,NA,NA,NA,NA,"4.7","8.8000000000000007","20.2","19.8","0.51","104"
"60","22",3,11,"PLA",12,"Lubbock, TX",1216,"stv 2454rr",2,NA,NA,NA,NA,NA,NA,NA,"4.3","8.5","18.600000000000001","18.149999999999999","0.5","97"
"60","25",3,11,"PLA",12,"Lubbock, TX",1217,"tamcot kuxor",1,NA,NA,NA,NA,NA,NA,NA,"4.4000000000000004","8","18.5","18.05","0.5","109"
"60","26",3,11,"PLA",12,"Lubbock, TX",1217,"tamcot kuxor",2,NA,NA,NA,NA,NA,NA,NA,"4.3","7.8","17.5","17.100000000000001","0.5","112"
"60","49",3,11,"PLA",163,"Lamesa, TX(dry)",971,"stv 474",1,NA,NA,NA,NA,NA,NA,NA,"4.8","8.8000000000000007","21.3","20.85","0.54","133"
"60","50",3,11,"PLA",163,"Lamesa, TX(dry)",971,"stv 474",2,NA,NA,NA,NA,NA,NA,NA,"4.5999999999999996","9.3000000000000007","22.7","22.2","0.55000000000000004","133"
"60","29",3,11,"PLA",163,"Lamesa, TX(dry)",1019,"all tex atlas",1,NA,NA,NA,NA,NA,NA,NA,"4.9000000000000004","9","21.6","21.2","0.51","132"
"60","30",3,11,"PLA",163,"Lamesa, TX(dry)",1019,"all tex atlas",2,NA,NA,NA,NA,NA,NA,NA,"4.7","9.3000000000000007","22.9","22.45","0.53","130"
"60","27",3,11,"PLA",163,"Lamesa, TX(dry)",1128,"acala 1517-99",1,NA,NA,NA,NA,NA,NA,NA,"4","7.8","27.5","26.95","0.56999999999999995","168"
"60","28",3,11,"PLA",163,"Lamesa, TX(dry)",1128,"acala 1517-99",2,NA,NA,NA,NA,NA,NA,NA,"4.0999999999999996","7.8","28.6","27.95","0.57999999999999996","169"
"60","45",3,11,"PLA",163,"Lamesa, TX(dry)",1135,"pm 2326rr",1,NA,NA,NA,NA,NA,NA,NA,"5","8.5","23.1","22.6","0.52","134"
"60","46",3,11,"PLA",163,"Lamesa, TX(dry)",1135,"pm 2326rr",2,NA,NA,NA,NA,NA,NA,NA,"4.7","9.5","24.9","24.4","0.53","139"
"60","31",3,11,"PLA",163,"Lamesa, TX(dry)",1152,"dpl 458br",1,NA,NA,NA,NA,NA,NA,NA,"4.5","9","20.8","20.350000000000001","0.54","132"
"60","32",3,11,"PLA",163,"Lamesa, TX(dry)",1152,"dpl 458br",2,NA,NA,NA,NA,NA,NA,NA,"4.2","8.5","23.6","23.05","0.54","146"
