"breeder","samples","yr","regcode","reg","loccode","loc","vcode","var","rep","uhml","ui","str","elg","mic_hvi","rd","b","mic_str","e1","t1","x50sl","x25sl","yt"
"12","25",7,11,"PLA",12,"Lubbock",1135,"pm 2326rr",1,1.1,83.5,31,7.3,4.1,74,8.5,4.2,11,20,0.59,1.11,"121"
"60","26",7,11,"PLA",12,"Lubbock",1135,"pm 2326rr",2,1.1,82.2,30,7.1,4.5,72,8.7,4.5,7,19.7,0.53,1.07,"125"
"60","1",7,11,"PLA",12,"Lubbock",1166,"phy 72",1,1.2,81.7,31,7,3.4,77,8.8,3.3,10,24,0.56,1.17,"131"
"60","2",7,11,"PLA",12,"Lubbock",1166,"phy 72",2,1.2,82.5,33,7.1,3.9,76,8.8,3.8,11,23.4,0.56,1.18,"132"
"60","19",7,11,"PLA",12,"Lubbock",1169,"fm 958",1,1.2,81.4,31,6.4,3.7,76,8,3.8,8,19.8,0.54,1.15,"128"
"60","20",7,11,"PLA",12,"Lubbock",1169,"fm 958",2,1.1,82.5,31,6.1,4.2,74,7.4,4.1,7.3,20.2,0.55,1.15,"134"
"60","5",7,11,"PLA",12,"Lubbock",1196,"stv 4892br",1,1.1,81,27,6.7,3.6,74,8.9,3.4,11,19.6,0.54,1.09,"."
"60","6",7,11,"PLA",12,"Lubbock",1196,"stv 4892br",2,1.1,82.1,31,7.1,3.6,75,8.6,3.3,9.5,19.1,0.54,1.09,"121"
"60","13",7,11,"PLA",12,"Lubbock",1212,"all tex atlas rr",1,1.1,81.3,30,7.1,3.6,75,9.3,3.5,9.5,20,0.53,1.1,"123"
"60","14",7,11,"PLA",12,"Lubbock",1212,"all tex atlas rr",2,1.1,82.1,29,6.8,4.3,75,9.1,4.1,11,18.4,0.55,1.09,"119"
"60","3",7,11,"PLA",12,"Lubbock",1214,"pm 2167rr",1,1,80.9,29,7.1,4.8,73,9.3,4.8,8.3,19.2,0.51,0.99,"114"
"60","4",7,11,"PLA",12,"Lubbock",1214,"pm 2167rr",2,1,81,29,7.4,4.7,73,8.8,4.5,10,18.9,0.53,1.03,"122"
"60","23",7,11,"PLA",12,"Lubbock",1215,"pm 2266rr",1,1.1,82,31,6.7,4.1,76,8.3,4,10,20.4,0.53,1.11,"118"
"60","24",7,11,"PLA",12,"Lubbock",1215,"pm 2266rr",2,1.1,82.7,29,7.4,3.9,73,8.5,3.6,9.5,18.7,0.55,1.08,"126"
"60","7",7,11,"PLA",12,"Lubbock",1224,"dp 555rr",1,1.1,79.4,28,5.9,3.6,74,8.3,3.4,11,19,0.52,1.11,"117"
"60","8",7,11,"PLA",12,"Lubbock",1224,"dp 555rr",2,1.1,80.3,30,6.1,3.8,78,8.1,3.6,7.5,18.3,0.52,1.11,"113"
"60","9",7,11,"PLA",12,"Lubbock",1255,"fm 960b2r",1,1.1,80.5,31,6.2,3.4,77,7.7,3.2,7,21.1,0.55,1.17,"117"
