"breeder","samples","yr","regcode","reg","loccode","loc","vcode","var","rep","uhml","ui","str","elg","mic_hvi","rd","b","mic_st","e1","t1","x50sl","x25sl","yt"
"60","9",8,11,"PLA",12,"Lubbock",1166,"PHY72",1,1.2,84.9,31,7.3,4.8,76,8.8,4.8,8.5,23.6,0.59,1.22,131
"60","10",8,11,"PLA",12,"Lubbock",1166,"PHY72",2,1.2,84.8,31,7.3,4.7,73,9.7,4.6,7.3,25,0.58,1.23,133
"60","25",8,11,"PLA",12,"Lubbock",1169,"fm 958",1,1.2,84.5,30,6.4,4.8,77,7.7,4.6,5.8,21.6,0.56,1.22,124
"60","26",8,11,"PLA",12,"Lubbock",1169,"fm 958",2,1.2,83.9,29,5.9,5,79,6.6,4.8,5.3,21.2,0.57,1.2,128
"60","11",8,11,"PLA",12,"Lubbock",1212,"all tex atlas rr",1,1.1,82.5,29,7.6,5.1,74,8,4.8,6.8,21,0.54,1.08,112
"60","12",8,11,"PLA",12,"Lubbock",1212,"all tex atlas rr",2,1,82.4,28,7.1,5,74,8.3,4.8,7.5,22.9,0.53,1.05,110
"60","1",8,11,"PLA",12,"Lubbock",1270,"dp 555bgrr",1,1.2,83.2,27,6.4,4.4,78,7.3,4.1,7.5,20.5,0.54,1.18,117
"60","2",8,11,"PLA",12,"Lubbock",1270,"dp 555bgrr",2,1.1,82.7,27,6.2,4.3,78,7,4.1,7.5,21,0.52,1.18,116
"60","21",8,11,"PLA",12,"Lubbock",1322,"dpl 143b2rf",1,1.2,82.3,26,6.7,4,74,7.9,3.8,7.3,19.5,0.53,1.21,108
"60","22",8,11,"PLA",12,"Lubbock",1322,"dpl 143b2rf",2,1.2,82.5,27,6.7,4.3,77,7.7,4.1,7,20.1,0.52,1.2,106
"60","3",8,11,"PLA",12,"Lubbock",1323,"stv 4554b2rf",1,1.1,82.8,26,7.4,4.9,76,9.4,4.9,11,20.2,0.55,1.16,107
"60","4",8,11,"PLA",12,"Lubbock",1323,"stv 4554b2rf",2,1.2,83.6,27,7.9,5,76,9,4.8,10,20.2,0.55,1.17,111
"60","5",8,11,"PLA",12,"Lubbock",1326,"phy 375wrf",1,1.2,83.9,27,6.8,4.6,76,8.3,4.4,8,19.4,0.53,1.13,112
