"breeder","samples","yr","regcode","reg","loccode","loc","vcode","var","rep","uhml","ui","str","elg","mic_hvi","rd","d","mic_st","e1","t1","x50_sl","x25_sl","yt"
"60","9",10,11,"PLA",12,"LUB",1166,"phy72",1,"1.2","84","33","8.1","4.8","79","8.3000000000000007","4.5999999999999996",8.3,25,0.57,"1.2",115
"60","10",10,11,"PLA",12,"LUB",1166,"phy72",2,"1.2","83.5","34","7.9","4.5","78","8.3000000000000007","4.5",9,26,0.59,"1.2",123
"60","1",10,11,"PLA",12,"LUB",1270,"dp555bgrr",1,"1.2","82.7","30","7","4.5","82","7.2","4.5",6.8,21,0.56,"1.05",107
"60","2",10,11,"PLA",12,"LUB",1270,"dp555bgrr",2,"1.2","82.4","30","7","4.7","81","7.6","4.7",6.5,20,0.52,"1.1000000000000001",107
"60","3",10,11,"PLA",12,"LUB",1323,"stv4554b2rf",1,"1.1000000000000001","82.5","29","8.1999999999999993","5.0999999999999996","79","8.3000000000000007","5",8,20,0.59,"1.1000000000000001",93
"60","4",10,11,"PLA",12,"LUB",1323,"stv4554b2rf",2,"1.2","84","30","8.6999999999999993","5.0999999999999996","78","8.6999999999999993","5.0999999999999996",9,11,0.57,"1.1000000000000001",85
"60","5",10,11,"PLA",12,"LUB",1326,"phy375wrf",1,"1.2","82.9","29","7.3","4.4000000000000004","79","8.1","4.4000000000000004",7.3,18,0.55,"1.1000000000000001",94
"60","6",10,11,"PLA",12,"LUB",1326,"phy375wrf",2,"1.1000000000000001","80.900000000000006","29","7.3","4.4000000000000004","79","60","4.4000000000000004",6.5,9.5,0.5,"1.05",101
"60","7",10,11,"PLA",12,"LUB",1344,"fm9058f",1,NA,NA,NA,NA,NA,NA,NA,"4.5",5.5,21.5,0.57,"1.2",101
"60","8",10,11,"PLA",12,"LUB",1344,"fm9058f",2,"1.2","81.7","30","7","4.7","81","7.4","4.7",6.5,21.5,0.56,"1.05",105
"60","11",10,11,"PLA",12,"LUB",1352,"fm9180b2f",1,"1.2","82.6","32","7.4","4.5999999999999996","81","7.1","4.5999999999999996",7,2,0.57,"1.1000000000000001",95
"60","12",10,11,"PLA",12,"LUB",1352,"fm9180b2f",2,"1.2","83.1","32","7.1","4.8","80","7.4","4.8",6.5,23,0.59,"1.1000000000000001",93
"60","17",10,11,"PLA",12,"LUB",1376,"st5458b2rf",1,"1.2","80.599999999999994","30","7.6","5.2","78","8.5","5.2",6.3,21.5,0.57,"1",104
"60","18",10,11,"PLA",12,"LUB",1376,"st5458b2rf",2,"1.2","82","31","7.6","5.3","76","8.5","5.3",6.8,20.5,0.54,"1.1000000000000001",93
"60","13",10,11,"PLA",12,"LUB",1410,"ng3348b2f",1,"1.2","82.2","30","7.6","4.7","78","7.8","4.5999999999999996",7.8,20.5,0.56,"1.1000000000000001",98
"60","14",10,11,"PLA",12,"LUB",1410,"ng3348b2f",2,"1.2","82.4","31","7.3","4.7","77","8.1","4.5999999999999996",7.5,20,0.57,"1.1000000000000001",99
"60","15",10,11,"PLA",12,"LUB",1411,"at epic rf",1,"1.2","81.599999999999994","30","8.6999999999999993","4.8","79","8.3000000000000007","4.7",7.8,20.5,0.56,"1.1000000000000001",78
"60","16",10,11,"PLA",12,"LUB",1411,"at epic rf",2,"1.2","82.4","30","8.5","4.8","78","8.5","4.8",9,11.5,0.55,"1.1000000000000001",82
"60","19",10,11,"PLA",12,"LUB",1412,"dp0912b2rf",1,"1.1000000000000001","82.3","31","8.1","5.3","77","8.6","5.2",7.5,21.5,0.56,"1.1000000000000001",105
