"breeder","sample","yr","regcode","reg","loccode","loc","varcode","var","rep","uhml","ui","str","elg","mic_hvi","rd","b","mic_st","e1","t1","x50_sl","x25_sl","yt"
"60","3",11,11,"PLA",12,"Lubbock",1326,"phy375wrf",1,"1.1000000000000001","82.3","33","6.5","4.8","78","8.9","2.2999999999999998","8","22.1","0.51","1.1299999999999999","55"
"60","4",11,11,"PLA",12,"Lubbock",1326,"phy375wrf",2,"1.2","81.2","28","6.1","4.7","79","7.3","2.25","8","21.2","0.49","1.1299999999999999","55"
"60","5",11,11,"PLA",12,"Lubbock",1344,"fm9058f",1,"1.1000000000000001","82.9","33","5.6","4.7","79","8.3000000000000007","2.25","8","22.8","0.49","1.1399999999999999","58"
"60","6",11,11,"PLA",12,"Lubbock",1344,"fm9058f",2,"1.2","83.6","32","5.7","4.8","77","8.4","2.35","8","22.9","0.54","1.18","58"
"60","9",11,11,"PLA",12,"Lubbock",1352,"fm9180b2f",1,"1.2","83.8","37","6.5","4.5","80","7.8","2.25","8","24.5","0.55000000000000004","1.19","58"
"60","10",11,11,"PLA",12,"Lubbock",1352,"fm9180b2f",2,"1.1000000000000001","81.3","34","6.2","5.2","78","8.6","2.4500000000000002","8","23.7","0.53","1.1100000000000001","62"
"60","11",11,11,"PLA",12,"Lubbock",1376,"st5458b2rf",1,"1.2","83.1","34","6.5","5.6","76","9.1","2.7","8","24.5","0.54","1.1599999999999999","54"
"60","12",11,11,"PLA",12,"Lubbock",1376,"st5458b2rf",2,"1.2","83.2","32","6.7","5.6","75","9.1","2.7","8","23.8","0.51","1.1499999999999999","53"
"60","15",11,11,"PLA",12,"Lubbock",1410,"ng3348b2f",1,"1.2","82.7","33","6.4","4.5","76","8.6999999999999993","2.2000000000000002","8","22.9","0.54","1.1599999999999999","58"
"60","16",11,11,"PLA",12,"Lubbock",1410,"ng3348b2f",2,"1.1000000000000001","83.2","32","6.2","4.5999999999999996","76","8.5","2.2000000000000002","8","22.6","0.51","1.1100000000000001","57"
"60","13",11,11,"PLA",12,"Lubbock",1411,"at epic rf",1,"1.2","83.5","32","7.1","5.2","76","9.1999999999999993","2.5","8.5","24.4","0.51","1.1299999999999999","53"
"60","14",11,11,"PLA",12,"Lubbock",1411,"at epic rf",2,"1.1000000000000001","83","33","7.3","5.2","75","9.6","2.5499999999999998","8","24.3","0.51","1.1100000000000001","51"
"60","1",11,11,"PLA",12,"Lubbock",1412,"dp0912b2rf",1,"1.2","82.7","32","7","5.6","77","8.9","2.75","8.5","22.8","0.52","1.1299999999999999","54"
"60","2",11,11,"PLA",12,"Lubbock",1412,"dp0912b2rf",2,"1.1000000000000001","82.9","32","6.5","5.4","77","8.8000000000000007","2.65","8","21.8","0.5","1.1100000000000001","57"
"60","7",11,11,"PLA",12,"Lubbock",1426,"phy725rf",1,"1.2","83","36","7","4.8","76","8.9","2.2999999999999998","8","25.7","0.56000000000000005","1.2","60"
"60","8",11,11,"PLA",12,"Lubbock",1426,"phy725rf",2,"1.2","83.6","36","7","4.7","76","9","2.2999999999999998","8","26.9","0.56000000000000005","1.19","61"
"60","17",11,11,"PLA",12,"Lubbock",1427,"dp1044b2rf",1,"1.2","83.7","30","7","5","78","8.5","2.4","8","23.3","0.54","1.17","48"
"60","18",11,11,"PLA",12,"Lubbock",1427,"dp1044b2rf",2,"1.1000000000000001","83.6","31","7.4","4.9000000000000004","78","8.8000000000000007","2.4","8","22.6","0.53","1.1299999999999999","47"
"60","21",11,11,"PLA",163,"Lamesa, TX",1326,"phy375wrf",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","22",11,11,"PLA",163,"Lamesa, TX",1326,"phy375wrf",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",11,11,"PLA",163,"Lamesa, TX",1326,"phy375wrf",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",11,11,"PLA",163,"Lamesa, TX",1326,"phy375wrf",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","23",11,11,"PLA",163,"Lamesa, TX",1344,"fm9058f",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","24",11,11,"PLA",163,"Lamesa, TX",1344,"fm9058f",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",11,11,"PLA",163,"Lamesa, TX",1344,"fm9058f",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",11,11,"PLA",163,"Lamesa, TX",1344,"fm9058f",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","27",11,11,"PLA",163,"Lamesa, TX",1352,"fm9180b2f",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","28",11,11,"PLA",163,"Lamesa, TX",1352,"fm9180b2f",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",11,11,"PLA",163,"Lamesa, TX",1352,"fm9180b2f",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",11,11,"PLA",163,"Lamesa, TX",1352,"fm9180b2f",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","29",11,11,"PLA",163,"Lamesa, TX",1376,"st5458b2rf",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","30",11,11,"PLA",163,"Lamesa, TX",1376,"st5458b2rf",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",11,11,"PLA",163,"Lamesa, TX",1376,"st5458b2rf",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",11,11,"PLA",163,"Lamesa, TX",1376,"st5458b2rf",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","33",11,11,"PLA",163,"Lamesa, TX",1410,"ng3348b2f",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","34",11,11,"PLA",163,"Lamesa, TX",1410,"ng3348b2f",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",11,11,"PLA",163,"Lamesa, TX",1410,"ng3348b2f",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",11,11,"PLA",163,"Lamesa, TX",1410,"ng3348b2f",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","31",11,11,"PLA",163,"Lamesa, TX",1411,"at epic rf",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","32",11,11,"PLA",163,"Lamesa, TX",1411,"at epic rf",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",11,11,"PLA",163,"Lamesa, TX",1411,"at epic rf",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",11,11,"PLA",163,"Lamesa, TX",1411,"at epic rf",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","19",11,11,"PLA",163,"Lamesa, TX",1412,"dp0912b2rf",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","20",11,11,"PLA",163,"Lamesa, TX",1412,"dp0912b2rf",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",11,11,"PLA",163,"Lamesa, TX",1412,"dp0912b2rf",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",11,11,"PLA",163,"Lamesa, TX",1412,"dp0912b2rf",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","25",11,11,"PLA",163,"Lamesa, TX",1426,"phy725rf",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","26",11,11,"PLA",163,"Lamesa, TX",1426,"phy725rf",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",11,11,"PLA",163,"Lamesa, TX",1426,"phy725rf",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",11,11,"PLA",163,"Lamesa, TX",1426,"phy725rf",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","35",11,11,"PLA",163,"Lamesa, TX",1427,"dp1044b2rf",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","36",11,11,"PLA",163,"Lamesa, TX",1427,"dp1044b2rf",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",11,11,"PLA",163,"Lamesa, TX",1427,"dp1044b2rf",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",11,11,"PLA",163,"Lamesa, TX",1427,"dp1044b2rf",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","3",11,20,"EAS",33,"Auburn",1326,"phy375wrf",1,"1.2","83.4","28","6.2","3.7","73","8.9","1.9","7","19.3","0.51","1.1499999999999999","55"
"11","4",11,20,"EAS",33,"Auburn",1326,"phy375wrf",2,"1.1000000000000001","83.2","28","5.7","3.5","75","7.6","1.8","7.5","19.7","0.49","1.1499999999999999","56"
"11","5",11,20,"EAS",33,"Auburn",1344,"fm9058f",1,"1.2","83.7","30","5.4","3.4","74","9.3000000000000007","1.7","7","19.100000000000001","0.5","1.2","60"
"11","6",11,20,"EAS",33,"Auburn",1344,"fm9058f",2,"1.2","83","29","5.6","3.3","75","8.4","1.7","7.3","20","0.51","1.19","58"
"11","9",11,20,"EAS",33,"Auburn",1345,"americot 1550b2rf",1,"1.2","84.8","28","6.5","3.7","75","8.6999999999999993","1.9","8","20.3","0.52","1.1299999999999999","53"
"11","10",11,20,"EAS",33,"Auburn",1345,"americot 1550b2rf",2,"1.1000000000000001","81.8","28","5.7","3.3","74","8.6999999999999993","1.7","8","20.399999999999999","0.46","1.1200000000000001","53"
"11","23",11,20,"EAS",33,"Auburn",1365,"fm1740b2rf",1,"1.2","84.1","29","6.2","3.4","74","8.6","1.7","8","20.8","0.52","1.1599999999999999","51"
"11","24",11,20,"EAS",33,"Auburn",1365,"fm1740b2rf",2,"1.2","84.7","29","6.2","3","77","8.1","1.65","8","20.7","0.5","1.1399999999999999","56"
"11","29",11,20,"EAS",33,"Auburn",1376,"st5458b2rf",1,"1.2","84.9","33","6.4","3.7","72","9.6","1.8","7.5","19.399999999999999","0.5","1.1599999999999999","58"
"11","30",11,20,"EAS",33,"Auburn",1376,"st5458b2rf",2,"1.2","84.3","32","6.5","3.6","73","9.5","1.85","7.5","19.5","0.48","1.17","52"
"11","25",11,20,"EAS",33,"Auburn",1387,"st4288b2rf",1,"1.2","83.3","28","6.4","3.9","74","9.4","1.95","8","20.5","0.5","1.17","55"
"11","26",11,20,"EAS",33,"Auburn",1387,"st4288b2rf",2,"1.2","84.8","32","6.4","3.7","76","8.8000000000000007","1.95","8","20.3","0.5","1.17","56"
"11","35",11,20,"EAS",33,"Auburn",1389,"pgy565wrf",1,"1.2","83.4","33","7.1","3.4","73","9.3000000000000007","1.7","7","22.5","0.49","1.1599999999999999","54"
"11","36",11,20,"EAS",33,"Auburn",1389,"pgy565wrf",2,"1.2","82.9","30","7","3.6","75","9.1","1.8","7","21.7","0.55000000000000004","1.1499999999999999","54"
"11","31",11,20,"EAS",33,"Auburn",1390,"phy367wrf",1,"1.2","84.3","29","6.8","3.6","71","9.1999999999999993","1.9","7","19.2","0.55000000000000004","1.18","49"
"11","32",11,20,"EAS",33,"Auburn",1390,"phy367wrf",2,"1.2","82.9","30","6.5","3.2","74","9.1999999999999993","1.75","7","19.899999999999999","0.47","1.1499999999999999","53"
"11","27",11,20,"EAS",33,"Auburn",1391,"st5288b2rf",1,"1.2","82.2","29","6.5","3.3","77","9.5","1.7","7.5","19.2","0.5","1.1200000000000001","52"
"11","28",11,20,"EAS",33,"Auburn",1391,"st5288b2rf",2,"1.1000000000000001","82.8","29","6.5","3.3","77","8.5","1.7","7.5","18.7","0.49","1.1200000000000001","51"
".",".",11,20,"EAS",33,"Auburn",1391,"st5288b2rf",3,".",".",".",".",".",".",".",".",".",".",".",".","."
".",".",11,20,"EAS",33,"Auburn",1391,"st5288b2rf",4,".",".",".",".",".",".",".",".",".",".",".",".","."
"11","13",11,20,"EAS",33,"Auburn",1392,"dg2570b2rf",1,"1.1000000000000001","82","31","6.7","3.5","75","9.3000000000000007","1.8","8","21.1","0.45","1.1000000000000001","55"
"11","14",11,20,"EAS",33,"Auburn",1392,"dg2570b2rf",2,"1.1000000000000001","83.1","30","7.3","3.6","74","9.6","1.85","8.5","21.7","0.51","1.1299999999999999","53"
"11","15",11,20,"EAS",33,"Auburn",1396,"dp1048b2rf",1,"1.2","83.6","27","6.5","3.2","72","9.5","1.7","8","18.899999999999999","0.53","1.1499999999999999","51"
"11","16",11,20,"EAS",33,"Auburn",1396,"dp1048b2rf",2,"1.2","84","28","7.1","4.2","74","9.1999999999999993","2.0499999999999998","8","18.600000000000001","0.5","1.18","48"
"11","17",11,20,"EAS",33,"Auburn",1397,"dp1050b2rf",1,"1.2","82.7","27","6.8","4","73","9","2","8","18.3","0.47","1.1399999999999999","50"
"11","18",11,20,"EAS",33,"Auburn",1397,"dp1050b2rf",2,"1.2","81.900000000000006","26","5.9","3.6","75","9.3000000000000007","1.9","8","18.2","0.52","1.1299999999999999","49"
"11","33",11,20,"EAS",33,"Auburn",1404,"phy499wrf",1,"1.1000000000000001","84.1","33","7.1","3.9","74","9.1","2","8","20.9","0.52","1.1399999999999999","55"
"11","34",11,20,"EAS",33,"Auburn",1404,"phy499wrf",2,"1.2","84.7","30","7","4.0999999999999996","74","9","2.0499999999999998","7","20.8","0.5","1.1299999999999999","54"
"11","1",11,20,"EAS",33,"Auburn",1412,"dp0912b2rf",1,"1.1000000000000001","82.6","28","6.1","3.7","71","9.1999999999999993","1.85","7","19.5","0.47","1.1100000000000001","54"
"11","2",11,20,"EAS",33,"Auburn",1412,"dp0912b2rf",2,"1.1000000000000001","82.2","30","6.4","4.0999999999999996","74","9.5","2","7","19.600000000000001","0.5","1.1200000000000001","57"
"11","7",11,20,"EAS",33,"Auburn",1426,"phy725rf",1,"1.2","85.6","34","6.4","3.4","75","9.1999999999999993","1.75","7.5","27.1","0.54","1.23","59"
"11","8",11,20,"EAS",33,"Auburn",1426,"phy725rf",2,"1.2","84.9","32","6.2","3.7","74","8.9","1.85","8","25.4","0.5","1.18","59"
"11","11",11,20,"EAS",33,"Auburn",1428,"am1511b2rf",1,"1.1000000000000001","83.7","30","7.3","4.4000000000000004","73","8.4","2.25","8","21.7","0.51","1.1200000000000001","51"
"11","12",11,20,"EAS",33,"Auburn",1428,"am1511b2rf",2,"1.2","84.3","31","7.1","4.5","73","8.8000000000000007","2.15","7.5","20.7","0.51","1.1299999999999999","51"
"11","19",11,20,"EAS",33,"Auburn",1429,"dp1137b2rf",1,"1.2","84","28","7.3","3.7","74","8.6999999999999993","1.9","7.5","19.100000000000001","0.54","1.1399999999999999","47"
"11","20",11,20,"EAS",33,"Auburn",1429,"dp1137b2rf",2,"1.1000000000000001","83.2","28","7.1","4.3","75","9.3000000000000007","2.1","7.5","19.3","0.49","1.1299999999999999","49"
"11","21",11,20,"EAS",33,"Auburn",1430,"dp1133b2rf",1,"1.2","84.3","30","7.1","4.0999999999999996","72","8.9","2.0499999999999998","7.5","20.7","0.54","1.1599999999999999","49"
"11","22",11,20,"EAS",33,"Auburn",1430,"dp1133b2rf",2,"1.2","84.9","30","6.5","3.6","73","9.4","1.9","8","22.3","0.5","1.1399999999999999","52"
"58","3",11,20,"EAS",36,"Florence",1326,"phy375wrf",1,"1","82","27","5.9","4.8","58","7.6","2.35","7.5","20.6","0.5","1.05","49"
"58","4",11,20,"EAS",36,"Florence",1326,"phy375wrf",2,"1.1000000000000001","82.9","31","5.9","4.5999999999999996","63","6.9","2.2999999999999998","8.5","21.5","0.5","1.07","47"
"58","5",11,20,"EAS",36,"Florence",1344,"fm9058f",1,"1.1000000000000001","80.900000000000006","29","5.3","4.5","65","7.6","2.2000000000000002","6.5","22.2","0.5","1.1200000000000001","51"
"58","6",11,20,"EAS",36,"Florence",1344,"fm9058f",2,"1.2","82.4","31","5.3","4.5","58","6.6","2.2000000000000002","7","22.2","0.5","1.1399999999999999","52"
"58","9",11,20,"EAS",36,"Florence",1345,"americot 1550b2rf",1,"1.1000000000000001","80.099999999999994","25","5.4","4.7","61","7.6","2.2999999999999998","7","18.899999999999999","0.47","1.07","47"
"58","10",11,20,"EAS",36,"Florence",1345,"americot 1550b2rf",2,"1","81.400000000000006","27","5.9","4.9000000000000004","62","7.3","2.35","8.5","19.8","0.47","1.05","47"
"58","23",11,20,"EAS",36,"Florence",1365,"fm1740b2rf",1,"1.1000000000000001","82.5","30","5.9","4.7","63","7.1","2.35","7.5","21.7","0.49","1.05","48"
"58","24",11,20,"EAS",36,"Florence",1365,"fm1740b2rf",2,"1.1000000000000001","81.900000000000006","31","5.7","5","62","6.7","2.4500000000000002","6.5","21.2","0.49","1.05","47"
"58","29",11,20,"EAS",36,"Florence",1376,"st5458b2rf",1,"1.1000000000000001","81.7","31","6.5","5.4","60","7.5","2.6","8","20.7","0.47","1.0900000000000001","45"
"58","30",11,20,"EAS",36,"Florence",1376,"st5458b2rf",2,"1.1000000000000001","82","30","6.2","5.4","64","7.9","2.6","7.5","21.1","0.49","1.1100000000000001","46"
"58","25",11,20,"EAS",36,"Florence",1387,"st4288b2rf",1,"1.1000000000000001","82.3","27","5.7","5.2","62","7.2","2.4500000000000002","7","20.399999999999999","0.48","1.07","48"
"58","26",11,20,"EAS",36,"Florence",1387,"st4288b2rf",2,"1.1000000000000001","81.8","27","5.7","4.7","61","7.6","2.35","7","19.8","0.49","1.06","49"
"58","35",11,20,"EAS",36,"Florence",1389,"phy565wrf",1,"1.1000000000000001","83.5","33","6.8","4.5","60","7","2.25","8","22.1","0.48","1.1000000000000001","53"
"58","36",11,20,"EAS",36,"Florence",1389,"phy565wrf",2,"1.1000000000000001","82.7","33","6.8","4.8","59","7.2","2.35","8","23.1","0.48","1.0900000000000001","50"
"58","31",11,20,"EAS",36,"Florence",1390,"phy367wrf",1,"1.1000000000000001","80.8","29","6.5","4.9000000000000004","65","7.5","2.4","7.5","20.399999999999999","0.49","1.0900000000000001","46"
"58","32",11,20,"EAS",36,"Florence",1390,"phy367wrf",2,"1.1000000000000001","82","30","6.4","4.7","60","7.1","2.2999999999999998","7.5","20.5","0.49","1.0900000000000001","51"
"58","27",11,20,"EAS",36,"Florence",1391,"st5288b2rf",1,"1.1000000000000001","81.400000000000006","28","6.4","5.4","59","6.1","2.6","7.5","20.2","0.48","1.06","46"
"58","28",11,20,"EAS",36,"Florence",1391,"st5288b2rf",2,"1.1000000000000001","80.8","29","6.1","5.0999999999999996","60","7.3","2.5","7","19.899999999999999","0.49","1.07","48"
"58","13",11,20,"EAS",36,"Florence",1392,"dg2570b2rf",1,"1.1000000000000001","82","29","6.5","4.8","62","8.1","2.4","8","22.4","0.49","1.07","47"
"58","14",11,20,"EAS",36,"Florence",1392,"dg2570b2rf",2,"1.1000000000000001","82.4","30","6.5","4.7","61","8.1999999999999993","2.2999999999999998","8","21.8","0.49","1.07","50"
"58","15",11,20,"EAS",36,"Florence",1396,"dp1048b2rf",1,"1.1000000000000001","81.8","29","6.7","4.9000000000000004","62","7.4","2.4","8","21.2","0.5","1.1000000000000001","47"
"58","16",11,20,"EAS",36,"Florence",1396,"dp1048b2rf",2,"1.1000000000000001","83.9","28","6.7","4.9000000000000004","60","6.5","2.4","8","21.3","0.51","1.1000000000000001","47"
"58","17",11,20,"EAS",36,"Florence",1397,"dp1050b2rf",1,"1.1000000000000001","82.5","29","6.5","5","61","7","2.4","8","20.2","0.5","1.08","47"
"58","18",11,20,"EAS",36,"Florence",1397,"dp1050b2rf",2,"1.1000000000000001","83","30","6.8","4.7","61","6.8","2.2999999999999998","8","19.8","0.5","1.0900000000000001","48"
"58","33",11,20,"EAS",36,"Florence",1404,"phy499wrf",1,"1.1000000000000001","83","35","7.8","4.9000000000000004","61","7.1","2.4500000000000002","7.5","22","0.49","1.07","54"
"58","34",11,20,"EAS",36,"Florence",1404,"phy499wrf",2,"1.1000000000000001","81.8","33","7","5.0999999999999996","62","8.1","2.5","8","22.2","0.49","1.08","54"
"58","1",11,20,"EAS",36,"Florence",1412,"dp0912b2rf",1,"1.1000000000000001","82.4","30","6.4","5","59","7.5","2.4500000000000002","8.5","21.7","0.49","1.05","47"
"58","2",11,20,"EAS",36,"Florence",1412,"dp0912b2rf",2,"1","81","30","6.2","5.0999999999999996","63","7.3","2.5","8.5","22","0.5","1.05","45"
"58","7",11,20,"EAS",36,"Florence",1426,"phy725rf",1,"1.1000000000000001","81.900000000000006","36","6.4","4.8","62","8","2.2999999999999998","9","26.5","0.51","1.1200000000000001","59"
"58","8",11,20,"EAS",36,"Florence",1426,"phy725rf",2,"1.2","82.6","34","6.2","4.3","59","7.7","2.15","8.5","27.1","0.53","1.1499999999999999","55"
"58","11",11,20,"EAS",36,"Florence",1428,"am1511b2rf",1,"1.1000000000000001","82.1","30","6.5","4.9000000000000004","60","7.7","2.4","8","21.8","0.5","1.07","48"
"58","12",11,20,"EAS",36,"Florence",1428,"am1511b2rf",2,"1.1000000000000001","82.2","31","6.8","4.9000000000000004","60","7.2","2.4","8","22.4","0.5","1.0900000000000001","51"
"58","19",11,20,"EAS",36,"Florence",1429,"dp1137b2rf",1,"1.1000000000000001","83","29","6.5","5.0999999999999996","67","7.5","2.5","8","20.399999999999999","0.5","1.06","46"
"58","20",11,20,"EAS",36,"Florence",1429,"dp1137b2rf",2,"1.1000000000000001","82.6","30","6.5","5","65","7.6","2.5","8","21.5","0.49","1.07","49"
"58","21",11,20,"EAS",36,"Florence",1430,"dp1133b2rf",1,"1.1000000000000001","83.7","33","7.1","5","62","7","2.5","8","22","0.51","1.08","53"
"58","22",11,20,"EAS",36,"Florence",1430,"dp1133b2rf",2,"1.1000000000000001","83.9","30","6.5","5.3","62","7.3","2.6","8","21.8","0.51","1.1000000000000001","48"
"12","3",11,20,"EAS",67,"Starkville",1326,"phy375wrf",1,"1.2","84.9","31","6.8","4.2","77","6.4","2.15","7.3","21.1","0.56999999999999995","1.17","60"
"12","4",11,20,"EAS",67,"Starkville",1326,"phy375wrf",2,"1.2","84.5","32","6.8","4.0999999999999996","76","6.9","2.15","7.5","22.7","0.56999999999999995","1.19","56"
"12","5",11,20,"EAS",67,"Starkville",1344,"fm9058f",1,"1.3","86.8","31","5.9","4.3","79","6.6","2.2999999999999998","7","22.4","0.57999999999999996","1.3","60"
"12","6",11,20,"EAS",67,"Starkville",1344,"fm9058f",2,"1.3","86.7","34","6.5","4.4000000000000004","76","6.8","2.2999999999999998","7","21.8","0.6","1.3","63"
"12","9",11,20,"EAS",67,"Starkville",1345,"americot 1550b2rf",1,"1.2","85.3","30","7.1","4","78","7.3","2.0499999999999998","7","23.8","0.59","1.17","58"
"12","10",11,20,"EAS",67,"Starkville",1345,"americot 1550b2rf",2,"1.2","85.3","29","6.7","4","78","7.5","2.1","7","23.1","0.6","1.17","60"
"12","23",11,20,"EAS",67,"Starkville",1365,"fm1740b2rf",1,"1.2","86.2","31","6.4","4.3","79","6.7","2.2999999999999998","8","22.8","0.56999999999999995","1.19","62"
"12","24",11,20,"EAS",67,"Starkville",1365,"fm1740b2rf",2,"1.2","86.3","32","6.5","4.8","79","6.7","2.4","8","23.6","0.59","1.22","60"
"12","29",11,20,"EAS",67,"Starkville",1376,"st5458b2rf",1,"1.2","86","34","6.5","4.4000000000000004","78","7.5","2.2999999999999998","8","24.9","0.55000000000000004","1.23","58"
"12","30",11,20,"EAS",67,"Starkville",1376,"st5458b2rf",2,"1.2","85.1","33","7","4.9000000000000004","75","7.6","2.35","8","23","0.56999999999999995","1.23","57"
"12","25",11,20,"EAS",67,"Starkville",1387,"st4288b2rf",1,"1.3","86.6","32","6.7","4.3","77","6.9","2.25","8","22.7","0.61","1.24","51"
"12","26",11,20,"EAS",67,"Starkville",1387,"st4288b2rf",2,"1.3","85.7","32","6.7","4.4000000000000004","75","7.3","2.2000000000000002","8","23.1","0.55000000000000004","1.24","53"
"12","35",11,20,"EAS",67,"Starkville",1389,"phy565wrf",1,"1.2","86.1","34","7.3","4.4000000000000004","78","7.4","2.25","8","23.2","0.57999999999999996","1.21","53"
"12","36",11,20,"EAS",67,"Starkville",1389,"phy565wrf",2,"1.2","87","33","7.6","4.5","76","6.8","2.2999999999999998","8","23.7","0.57999999999999996","1.23","53"
"12","31",11,20,"EAS",67,"Starkville",1390,"phy367wrf",1,"1.2","85.8","32","7","4","75","6.7","2","8","23.3","0.6","1.22","55"
"12","32",11,20,"EAS",67,"Starkville",1390,"phy367wrf",2,"1.2","86.7","31","6.8","4.0999999999999996","75","7.4","2.1","8","24","0.56999999999999995","1.22","54"
"12","27",11,20,"EAS",67,"Starkville",1391,"st5288b2rf",1,"1.2","84.9","28","6.7","5","79","6.5","2.5","8","22.8","0.51","1.21","52"
"12","28",11,20,"EAS",67,"Starkville",1391,"st5288b2rf",2,"1.2","86.1","30","6.7","4.9000000000000004","79","6.1","2.4","8","22.2","0.57999999999999996","1.21","51"
"12","13",11,20,"EAS",67,"Starkville",1392,"dg2570b2rf",1,"1.2","84","29","7","3.8","76","7.5","1.95","7.5","21.7","0.55000000000000004","1.17","57"
"12","14",11,20,"EAS",67,"Starkville",1392,"dg2570b2rf",2,"1.2","85.2","31","7.6","4","75","7.6","2","7","21.7","0.54","1.1599999999999999","55"
"12","15",11,20,"EAS",67,"Starkville",1396,"dp1048b2rf",1,"1.2","85.7","30","7.6","4.5","77","7.4","2.2999999999999998","7.5","22.1","0.61","1.25","50"
"12","16",11,20,"EAS",67,"Starkville",1396,"dp1048b2rf",2,"1.3","86.8","29","7.3","4.5999999999999996","78","7.5","2.35","8","22.2","0.57999999999999996","1.26","50"
"12","17",11,20,"EAS",67,"Starkville",1397,"dp1050b2rf",1,"1.3","86.8","29","7.4","4.5","77","7.5","2.2999999999999998","7","20.6","0.61","1.26","50"
"12","18",11,20,"EAS",67,"Starkville",1397,"dp1050b2rf",2,"1.2","86.3","30","7.1","4.5","78","7.6","2.2999999999999998","7","20.8","0.56999999999999995","1.22","48"
"12","33",11,20,"EAS",67,"Starkville",1404,"phy499wrf",1,"1.2","86.6","34","7.6","4.8","74","6.7","2.4","8","23.2","0.59","1.22","52"
"12","34",11,20,"EAS",67,"Starkville",1404,"phy499wrf",2,"1.2","86.4","33","7.4","5","76","7.4","2.5","8","23.1","0.59","1.21","51"
"12","1",11,20,"EAS",67,"Starkville",1412,"dp0912b2rf",1,"1.2","84.2","31","7","4.5999999999999996","76","7.5","2.4","7","24.1","0.57999999999999996","1.1599999999999999","63"
"12","2",11,20,"EAS",67,"Starkville",1412,"dp0912b2rf",2,"1.2","85.2","33","6.8","4.4000000000000004","77","7","2.15","7","23.8","0.53","1.1599999999999999","59"
"12","7",11,20,"EAS",67,"Starkville",1426,"phy725rf",1,"1.2","85.6","39","7.6","4.5","73","7.7","2.25","7","27.2","0.61","1.25","58"
