"breeder","sample","yr","regcode","reg","loccode","loc","vcode","var","rep","mic_hvi","mr_hvi","uhml","ui","sfi","str","elg","rd","b","yt","nep","scn","len_n","sf_n","len_w","sfc_w","uql","fn","ifc","mat"
"60","3",13,11,"PLA",12,"Lubbock",1326,"PHY375wrf",1,"4.72","0.86","1.08","80.599999999999994","10","27.6","8","82.9","8.6","41.91","174","5","0.79","20","0.93","7","1.1000000000000001","181.3","2.7","0.98"
"60","4",13,11,"PLA",12,"Lubbock",1326,"PHY375wrf",2,"4.54","0.85","1.0760000000000001","81.599999999999994","10.5","28.3","8.3000000000000007","83.1","8.4","44.32","180","6","0.77","24","0.94","8.3000000000000007","1.1200000000000001","173.3","3.3","0.96"
"60","5",13,11,"PLA",12,"Lubbock",1344,"FM9058f",1,"4.46","0.86","1.1339999999999999","81.2","10.199999999999999","29.4","7.3","84.3","7.7","45.12","185","5","0.76","24","0.93","8.3000000000000007","1.1100000000000001","177","3.1","0.96"
"60","6",13,11,"PLA",12,"Lubbock",1344,"FM9058f",2,"4.37","0.85","1.133","81.400000000000006","11.1","30.2","7.6","83.6","8","49.28","177","11","0.8","24","0.98","7.9","1.17","170.7","3.6","0.97"
"60","9",13,11,"PLA",12,"Lubbock",1352,"FM9180b2f",1,"4.57","0.85","1.1000000000000001","80.400000000000006","10.5","31.7","8.3000000000000007","83.8","7.9","52.11","184","7","0.82","20","0.98","6.9","1.17","156.4","4.2","0.86"
"60","10",13,11,"PLA",12,"Lubbock",1352,"FM9180b2f",2,"4.38","0.85","1.1439999999999999","82","8.9","31.4","8","83.8","7.8","50.91","265","7","0.78","26","0.97","9.6999999999999993","1.18","159.4","4.5","0.86"
"60","11",13,11,"PLA",12,"Lubbock",1376,"ST5458b2rf",1,"5.19","0.87","1.095","81.5","9.8000000000000007","30.9","7.8","80.099999999999994","8.6999999999999993","47.65","117","3","0.83","20","0.99","6.8","1.18","180","2.7","0.91"
"60","12",13,11,"PLA",12,"Lubbock",1376,"ST5458b2rf",2,"5.04","0.87","1.0960000000000001","80.7","10.4","30.7","8.3000000000000007","80.400000000000006","8.9","45.35","131","5","0.83","22","0.99","7.5","1.19","171.4","3.4","0.9"
"60","15",13,11,"PLA",12,"Lubbock",1410,"NG3348b2f",1,"4.68","0.86","1.0880000000000001","82.1","9.6999999999999993","28.1","8.1","81","8.6","43.56","228","9","0.8","22","0.95","7.8","1.1399999999999999","164.7","4.5","0.86"
"60","16",13,11,"PLA",12,"Lubbock",1410,"NG3348b2f",2,"4.2699999999999996","0.85","1.1160000000000001","82.4","9.1","30","7.8","82.1","8.5","48.6","216","5","0.81","23","0.99","7.7","1.18","153.6","4.7","0.85"
"60","13",13,11,"PLA",12,"Lubbock",1411,"AT Epic rf",1,"4.75","0.85","1.105","82.8","9.1","29.4","10","81.900000000000006","8.6999999999999993","45.48","155","3","0.82","20","0.97","6.8","1.1499999999999999","164.3","4.5","0.83"
"60","14",13,11,"PLA",12,"Lubbock",1411,"AT Epic rf",2,"4.71","0.84","1.095","82.3","8.4","28.3","10.4","80.900000000000006","8.9","44.91","182","5","0.81","21","0.96","7.6","1.1299999999999999","165","4.3","0.84"
"60","1",13,11,"PLA",12,"Lubbock",1412,"DP0912b2rf",1,"4.97","0.86","1.0860000000000001","83.2","9.3000000000000007","29.1","9.4","82","8.5","51.17","188","15","0.8","21","0.96","6.8","1.1200000000000001","191.7","2.6","0.99"
"60","2",13,11,"PLA",12,"Lubbock",1412,"DP0912b2rf",2,"5.09","0.86","1.0669999999999999","82.4","9.4","29","8.6999999999999993","81.7","8.4","46.93","141","3","0.83","16","0.96","5.2","1.1000000000000001","197.3","1.7","1.01"
"60","7",13,11,"PLA",12,"Lubbock",1426,"PHY725rf",1,"4.47","0.85","1.169","83","7.9","32.799999999999997","8.9","81.7","8.5","56.78","191","7","0.86","19","1.03","6","1.21","169","2.8","0.99"
"60","8",13,11,"PLA",12,"Lubbock",1426,"PHY725rf",2,"4.4800000000000004","0.85","1.1379999999999999","81.900000000000006","10.199999999999999","32.200000000000003","8.6","81","8.9","53.89","247","5","0.86","18","1.02","5.8","1.2","172.7","2.6","0.99"
"60","17",13,11,"PLA",12,"Lubbock",1427,"DP1044b2rf",1,"5","0.86","1.1120000000000001","82.6","8.9","28.6","9.6","82.6","8.3000000000000007","39.1","176","5","0.81","20","0.96","6.9","1.1299999999999999","171.4","3.7","0.84"
"60","18",13,11,"PLA",12,"Lubbock",1427,"DP1044b2rf",2,"4.82","0.85","1.0940000000000001","82.5","8.8000000000000007","28.7","9.6","81.8","8","43.27","164","5","0.8","22","0.96","7.6","1.1399999999999999","168.4","3.9","0.83"
"60","21",13,11,"PLA",163,"Lamesa",1326,"PHY375wrf",1,"4.3","0.85","1.0549999999999999","80.2","12.9","28.2","7.7","77.8","9.1999999999999993","45.12","259","5","0.75","27","0.92","9.6999999999999993","1.1200000000000001","150.9","4.7","0.83"
"60","22",13,11,"PLA",163,"Lamesa",1326,"PHY375wrf",2,"3.94","0.84","1.0469999999999999","80","13.4","27.8","8","78.099999999999994","9.6","45.63","330","11","0.71","31","0.89","11.9","1.0900000000000001","145.30000000000001","5.8","0.81"
"60","23",13,11,"PLA",163,"Lamesa",1344,"FM9058f",1,"4.3600000000000003","0.86","1.091","80.599999999999994","11.9","30.1","7.1","81.5","8.3000000000000007","45.43","269","13","0.73","30","0.93","11.1","1.1499999999999999","146.19999999999999","5.5","0.83"
"60","24",13,11,"PLA",163,"Lamesa",1344,"FM9058f",2,"4.33","0.86","1.0620000000000001","79.900000000000006","13.4","27.7","6.5","81.900000000000006","8.3000000000000007","45.91","301","2","0.72","30","0.91","11.5","1.1100000000000001","144.69999999999999","5.0999999999999996","0.83"
"60","27",13,11,"PLA",163,"Lamesa",1352,"FM9180f",1,"4.7","0.87","1.083","81.400000000000006","10.4","30.2","7.1","82","8.5","51.13","174","4","0.77","26","0.95","9.3000000000000007","1.1499999999999999","149.6","4.7","0.85"
"60","28",13,11,"PLA",163,"Lamesa",1352,"FM9180f",2,"4.63","0.86","1.095","81.599999999999994","9.6999999999999993","30.6","7.4","82.1","8.1","54.16","185","3","0.8","22","0.97","7.8","1.1499999999999999","155.1","4.3","0.86"
"60","29",13,11,"PLA",163,"Lamesa",1376,"ST5458b2rf",1,"5.01","0.87","1.0940000000000001","81.099999999999994","11.4","29.9","7.6","76.7","9.6999999999999993","42.84","187","7","0.79","24","0.96","8.4","1.1499999999999999","167.1","3.5","0.88"
"60","30",13,11,"PLA",163,"Lamesa",1376,"ST5458b2rf",2,"4.88","0.86","1.089","80.3","11.8","30.7","8","77.599999999999994","9.1999999999999993","42.06","166","3","0.76","27","0.94","9.9","1.1399999999999999","166.8","3.4","0.88"
"60","33",13,11,"PLA",163,"Lamesa",1410,"NG3348b2f",1,"4.21","0.85","1.0720000000000001","81.599999999999994","11.8","30.5","7.6","79.3","9","48.57","259","11","0.78","25","0.95","9","1.1499999999999999","153.9","5","0.83"
"60","34",13,11,"PLA",163,"Lamesa",1410,"NG3348b2f",2,"4.4400000000000004","0.86","1.052","82","10.3","28.6","7.4","78.8","8.9","45.44","180","11","0.76","25","0.93","8.9","1.1200000000000001","157.30000000000001","5","0.84"
"60","31",13,11,"PLA",163,"Lamesa",1411,"AT Epic rf",1,"4.8899999999999997","0.86","1.0469999999999999","81.8","11.2","28.2","9.1999999999999993","78.2","9.4","40.71","199","3","0.77","22","0.91","8","1.08","166.8","3.7","0.84"
"60","32",13,11,"PLA",163,"Lamesa",1411,"AT Epic rf",2,"4.47","0.85","1.099","82.1","10.4","29.5","9","78.3","9.6","46.98","188","4","0.81","21","0.97","7.4","1.1499999999999999","157.6","4.5","0.83"
"60","19",13,11,"PLA",163,"Lamesa",1412,"DP0912b2rf",1,"5.22","0.87","1.0209999999999999","80.099999999999994","13.5","27.5","8","78.900000000000006","9.1999999999999993","43.83","131","5","0.78","22","0.93","7.9","1.1000000000000001","176.3","3.2","0.87"
"60","20",13,11,"PLA",163,"Lamesa",1412,"DP0912b2rf",2,"5.1100000000000003","0.87","1.0549999999999999","80.400000000000006","11.8","30","8.3000000000000007","79.8","9.1","45.74","181","6","0.76","25","0.92","8.6999999999999993","1.0900000000000001","171.7","3.7","0.86"
"60","25",13,11,"PLA",163,"Lamesa",1426,"PHY725rf",1,"4.59","0.86","1.1479999999999999","82.3","8.9","34.5","8.5","79.400000000000006","9.1","56.9","222","6","0.83","21","0.99","7.2","1.2","153.9","3.7","0.86"
