"br","sam","yr","re_gcode","reg","lo_ccode","loc","varcode","var","rep","mic","mat","uhml","ui","sf","str","elong","rd","plus_b","yt","waste","nepct","scn_ct","l_n","sfc_n","l_w","sfc_w","uql_w","fine","ifc","mat_ratio"
60,5,15,11,"PLA",12,"Lubbock, TX",1404,"PHY 499wrf",1,4.23,0.85,1.2,84.6,6.9,35.3,8.5,76.5,8.4,78.86,"6.56",164,8,0.91,15,1,4.7,1.23,178,3.7,0.96
60,6,15,11,"PLA",12,"Lubbock, TX",1404,"PHY 499wrf",2,4.24,0.85,1.202,83,7.4,33.7,7.5,76.2,8.6,81.28,"6.57",214,21,0.89,17,1,5.3,1.23,172,3.6,0.97
60,1,15,11,"PLA",12,"Lubbock, TX",1412,"DP 0912B2RF",1,4.59,0.86,1.128,82.7,8.2,31.8,8.2,76.8,8.6,75.55,"6.61",174,12,0.84,18,0.9,6.2,1.14,186,3.7,0.98
60,2,15,11,"PLA",12,"Lubbock, TX",1412,"DP 0912B2RF",2,4.76,0.86,1.13,82.7,8,30.9,8,75.8,8.1,81.16,"6.08",196,10,0.84,16,0.9,5.6,1.14,191,3.2,0.99
60,7,15,11,"PLA",12,"Lubbock, TX",1426,"PHY 725RF",1,4.12,0.85,1.207,82.6,7.2,36.5,8,76.4,8.3,77.89,"5.83",229,17,0.91,15,1,4.8,1.26,174,3.3,0.99
60,8,15,11,"PLA",12,"Lubbock, TX",1426,"PHY 725RF",2,4.53,0.86,1.195,83.6,7.5,33.5,7.9,75.9,8.8,73.09,"4.32",261,10,0.9,16,1,5.1,1.24,178,3.3,0.99
60,17,15,11,"PLA",12,"Lubbock, TX",1427,"DP 1044B2RF",1,4.22,0.84,1.202,84,7.4,32.5,8.7,77.6,8.4,66.15,"6.3",245,7,0.94,15,1.1,4.6,1.29,178,4.3,0.93
60,18,15,11,"PLA",12,"Lubbock, TX",1427,"DP 1044B2RF",2,4.51,0.85,1.163,83.5,7.5,32.5,8.9,77.7,8.4,70.83,"5.74",208,7,0.88,17,1,5.8,1.22,179,4.5,0.93
60,13,15,11,"PLA",12,"Lubbock, TX",1438,"All-Tex Nitro 44B2RF",1,4.85,0.87,1.173,82.6,7.5,33.8,7.2,78.6,7.3,82.46,"5.21",169,8,0.93,14,1,4.2,1.24,185,2.8,1
60,14,15,11,"PLA",12,"Lubbock, TX",1438,"All-Tex Nitro 44B2RF",2,3.72,0.84,1.242,85,6.9,35.4,7.6,75.4,7.7,80.19,"7.78",258,10,0.99,13,1.1,3.9,1.35,160,4.4,0.95
60,3,15,11,"PLA",12,"Lubbock, TX",1441,"FM 2484B2F",1,3.89,0.85,1.24,83.3,7.3,34.8,6.6,80.8,7.7,80.72,"7.71",206,8,0.91,17,1,5.3,1.28,162,4.1,0.98
