"breeder","sample","yr","reg_code","reg","loccode","loc","varcode","var","rep","mic","mat","uhml","ui","sf","str","elg","rd","plusb","yt","waste","nep_cnt","scn_cnt","l_n","sfc_n","l_w","sfc_w","uql_w","fine","ifc","mat_rat"
"60","5",16,11,"PLA",12,"Lubbock, TX(irri)",1404,"PHY 499WRF",1,4.91,0.85,1.11,84.4,6.8,31.3,10.6,79.2,8.8,"86.9","8.77",188,20,0.86,16,1,5.4,1.16,190,2.5,1
"60","6",16,11,"PLA",12,"Lubbock, TX(irri)",1404,"PHY 499WRF",2,4.89,0.85,1.1,84.3,7.6,31.4,10.3,78.6,8.2,"91.2","4.96",134,8,0.87,16,1,5.1,1.15,191,2.2,1.02
"60","1",16,11,"PLA",12,"Lubbock, TX(irri)",1412,"DP 0912B2RF",1,5.26,0.86,1.08,84.5,7.1,31.2,9.6,79.7,8.2,"103.6","3.55",135,18,0.87,14,0.99,4.7,1.14,207,1.8,1.04
"60","2",16,11,"PLA",12,"Lubbock, TX(irri)",1412,"DP 0912B2RF",2,5.1,0.86,1.1,83.3,7.7,30.4,9.2,79.5,7.9,"113.9","5.7",120,9,0.87,15,1,4.7,1.15,205,2,1.05
"60","7",16,11,"PLA",12,"Lubbock, TX(irri)",1426,"Phy 725RF",1,4.88,0.85,1.16,84,7.3,33.8,9.7,78.3,9.1,"107.9","4.1100000000000003",252,35,0.89,16,1.03,5.4,1.22,185,2.2,1.03
"60","8",16,11,"PLA",12,"Lubbock, TX(irri)",1426,"Phy 725RF",2,4.7,0.85,1.2,84,7.5,35.7,10.6,78.4,8.9,"91.7","3.85",198,16,0.91,15,1.06,5,1.24,182,2.3,1.04
"60","17",16,11,"PLA",12,"Lubbock, TX(irri)",1427,"DP 1044B2RF",1,4.92,0.84,1.13,84.5,6.8,30.8,11.3,82.6,8.4,"81.7","4.83",146,5,0.88,16,1.03,5.2,1.2,200,2.6,0.99
"60","18",16,11,"PLA",12,"Lubbock, TX(irri)",1427,"DP 1044B2RF",2,4.81,0.85,1.1,84.8,7.1,30.9,10.2,80.2,8.4,"77.400000000000006","5.13",177,18,0.83,20,0.98,6.8,1.16,189,3.4,0.98
"60","13",16,11,"PLA",12,"Lubbock, TX(irri)",1438,"All-Tex Nitro 44B2RF",1,4.39,0.84,1.23,87,6.5,34,10.2,81.2,8.6,"84.5","6.06",162,8,0.97,13,1.12,3.9,1.3,180,2.2,1.02
"60","14",16,11,"PLA",12,"Lubbock, TX(irri)",1438,"All-Tex Nitro 44B2RF",2,4.52,0.85,1.16,84.1,7,33.5,9.1,80.6,8.5,"95.4","5.05",142,12,0.92,14,1.06,4.5,1.24,183,2.3,1.02
