"breeder","yr","regcode","reg","loc","loccode","name","vcode","rep","mic","mat","uhm","ui","sfc","str","elo","rd","hunterb","yt","card_loss"
"60-001",17,"011","PLAINS","LUBBOCK","012","PHY 499WRF*","1404","1",3.79,0.84,1.15,80.9,10.5,28.9,7.9,73.2,9.55,66.405148127995,20.9731543624161
"60-002",17,"011","PLAINS","LUBBOCK","012","PHY 499WRF*","1404","2",4.18,0.84,1.14,83.2,8.6,31.85,8.7,71.05,9.6,77.6777521046152,9.00083963056255
"60-003",17,"011","PLAINS","LUBBOCK","012","DP 1646B2XF*","1516","1",4.06,0.84,1.21,80.4,9.2,28.75,8.1,80.3,7.7,72.4942901569605,8.07287314056493
"60-004",17,"011","PLAINS","LUBBOCK","012","DP 1646B2XF*","1516","2",4.24,0.85,1.22,81,8.8,30.1,8,77,8.55,72.073269015069,8.05020920502092
"60-009",17,"011","PLAINS","LUBBOCK","012","FM 1911GLT","1519","1",3.75,0.85,1.19,81.2,8.8,31.8,6.5,80.8,7.65,NA,NA
"60-010",17,"011","PLAINS","LUBBOCK","012","FM 1911GLT","1519","2",3.65,0.85,1.18,81.4,9.6,32.85,6.8,77.1,7.95,NA,NA
"60-011",17,"011","PLAINS","LUBBOCK","012","DP 1612B2XF","1533","1",3.86,0.84,1.19,82.5,7.7,31.9,8.9,76.6,8.9,NA,NA
"60-012",17,"011","PLAINS","LUBBOCK","012","DP 1612B2XF","1533","2",3.45,0.83,1.18,81.4,9.5,32.55,8.3,76.65,8.5,NA,NA
"60-013",17,"011","PLAINS","LUBBOCK","012","PHY 300W3FE","1534","1",3.75,0.85,1.14,81.6,10.2,30.05,7,76.45,8.8,NA,NA
"60-014",17,"011","PLAINS","LUBBOCK","012","PHY 300W3FE","1534","2",3.85,0.84,1.11,80.3,10.6,31.3,7.8,75.35,9.2,NA,NA
"60-005",17,"011","PLAINS","LUBBOCK","012","NG 4545B2XF*","1535","1",4.07,0.86,1.15,81.8,8.8,33.5,6.5,77.5,8.5,70.675349698752,6.24790057104467
"60-006",17,"011","PLAINS","LUBBOCK","012","NG 4545B2XF*","1535","2",3.95,0.85,1.11,81.2,9.9,31.45,6.5,77,9.3,74.5362894780447,7.14285714285714
"60-007",17,"011","PLAINS","LUBBOCK","012","PHY 764WRF*","1536","1",3.54,0.84,1.14,80.4,10.7,33.7,7.3,73.1,8.9,70.8868142559834,6.4326503191132
"60-008",17,"011","PLAINS","LUBBOCK","012","PHY 764WRF*","1536","2",3.65,0.84,1.16,81.3,9.2,35.35,8.1,73.1,9.25,77.7648494366262,10.1655241598395
"60-015",17,"011","PLAINS","LEMESA","163","PHY 499WRF*","1404","1",5.09,0.86,1.06,82.1,8.5,33.7,9.5,79.5,8.75,91.4952472536758,6.44028103044497
"60-016",17,"011","PLAINS","LEMESA","163","PHY 499WRF*","1404","2",5.34,0.87,1.05,82.4,8.6,32.4,9.1,80.25,8.7,77.2736572026509,5.22275988653429
"60-017",17,"011","PLAINS","LEMESA","163","DP 1646B2XF*","1516","1",5.24,0.87,1.11,80.4,9.8,31.4,8.9,82.55,8.35,74.6766904770046,6.54801880456683
"60-018",17,"011","PLAINS","LEMESA","163","DP 1646B2XF*","1516","2",5.2,0.87,1.13,81.2,9,31.45,8.5,82.2,8.55,84.2303977208918,4.92851135407906
"60-023",17,"011","PLAINS","LEMESA","163","FM 1911GLT","1519","1",5.14,0.88,1.04,80.9,11.6,32.8,6.9,81,8.1,NA,NA
"60-024",17,"011","PLAINS","LEMESA","163","FM 1911GLT","1519","2",5.11,0.88,1.05,81.2,9.9,31.15,6.9,82.15,7.45,NA,NA
"60-025",17,"011","PLAINS","LEMESA","163","DP 1612B2XF","1533","1",5.3,0.87,1.05,82.1,9.1,33.65,9.4,78.85,8.6,NA,NA
"60-026",17,"011","PLAINS","LEMESA","163","DP 1612B2XF","1533","2",5.28,0.87,1.05,81.3,9.8,33.3,8.8,79.55,8.9,NA,NA
"60-027",17,"011","PLAINS","LEMESA","163","PHY 300W3FE","1534","1",5.13,0.88,1.05,80.4,10.6,31.7,7.5,79.6,9,NA,NA
"60-028",17,"011","PLAINS","LEMESA","163","PHY 300W3FE","1534","2",5.18,0.87,1.03,81.7,10.8,30.35,7.7,77.1,8,NA,NA
"60-019",17,"011","PLAINS","LEMESA","163","NG 4545B2XF*","1535","1",5.15,0.89,1.01,80.7,10.5,31,6.1,77.9,8.55,66.4319853658536,7.05331773357847
"60-020",17,"011","PLAINS","LEMESA","163","NG 4545B2XF*","1535","2",5.64,0.89,1.04,80.6,10.3,29.3,7.1,79.2,8.55,69.9760164433841,5.44206296048225
"60-021",17,"011","PLAINS","LEMESA","163","PHY 764WRF*","1536","1",4.67,0.86,1.05,82.2,9,35.8,8.2,79.15,8.6,82.6701360650186,5.84981562185718
"60-022",17,"011","PLAINS","LEMESA","163","PHY 764WRF*","1536","2",4.58,0.86,1.1,81.4,8.8,36.9,8,81.2,8.9,92.3826237306253,5.93163538873995
"26-055",17,"012","PLAINS","CHILLOCOTHE","015","PHY 499WRF*","1404","1",4.67,0.85,1.14,84.8,6.8,30.1,9.2,76.15,8.7,77.697779062006,8.02675585284281
"26-056",17,"012","PLAINS","CHILLOCOTHE","015","PHY 499WRF*","1404","2",4.42,0.85,1.16,84.9,6.4,31.8,9.4,77,8.35,85.1519470108695,9.14757412398922
"26-057",17,"012","PLAINS","CHILLOCOTHE","015","DP 1646B2XF*","1516","1",4.19,0.85,1.26,84.6,6.2,30.05,8,81.15,7.25,73.8015710337389,6.46029609690444
"26-058",17,"012","PLAINS","CHILLOCOTHE","015","DP 1646B2XF*","1516","2",4.54,0.85,1.31,84.9,5.1,29.4,8.4,79.95,7.15,71.8340917587086,7.52508361204013
"26-063",17,"012","PLAINS","CHILLOCOTHE","015","FM 1911GLT","1519","1",4.83,0.87,1.17,85.2,6.3,31.65,6.9,78.65,6.95,NA,NA
"26-064",17,"012","PLAINS","CHILLOCOTHE","015","FM 1911GLT","1519","2",4.46,0.86,1.21,83.8,6.2,31.4,7.3,79.45,7,NA,NA
"26-065",17,"012","PLAINS","CHILLOCOTHE","015","DP 1612B2XF","1533","1",4.01,0.84,1.19,86.1,6.2,32,8.7,75.3,7.45,NA,NA
"26-066",17,"012","PLAINS","CHILLOCOTHE","015","DP 1612B2XF","1533","2",4.26,0.84,1.19,85.2,6.1,31.7,9.5,76.75,8.05,NA,NA
"26-067",17,"012","PLAINS","CHILLOCOTHE","015","PHY 300W3FE","1534","1",4.56,0.86,1.11,84.1,8,30.05,8,76.35,9.1,NA,NA
"26-068",17,"012","PLAINS","CHILLOCOTHE","015","PHY 300W3FE","1534","2",4.49,0.85,1.16,84.5,7.4,30.6,8.5,78.7,9.1,NA,NA
"26-059",17,"012","PLAINS","CHILLOCOTHE","015","NG 4545B2XF*","1535","1",4.53,0.86,1.15,84.9,6.5,32,6.9,76.55,8.65,80.2971304347826,6.16185359301545
"26-060",17,"012","PLAINS","CHILLOCOTHE","015","NG 4545B2XF*","1535","2",3.81,0.85,1.18,85.5,6.6,34,7.4,78.3,8.25,81.3501621168008,10.4457527333894
"26-061",17,"012","PLAINS","CHILLOCOTHE","015","PHY 764WRF*","1536","1",3.67,0.83,1.16,84.9,6.2,32.5,8.5,76.85,8.4,84.8683173395102,11.7676767676768
"26-062",17,"012","PLAINS","CHILLOCOTHE","015","PHY 764WRF*","1536","2",3.71,0.84,1.2,85.3,5.7,34.6,8.5,76.7,8.65,73.5271627543568,15.6691324815064
"29-001",17,"012","PLAINS","ALTUS - I","016","PHY 499WRF*","1404","1",3.93414168983131,0.843126113488052,1.24718945518787,86.4414763840197,6.72338710704056,40.5599302333611,8.33687614355684,80.1978459473055,8.20296757086766,81.4584146850094,10.1272264631043
