"breeder","yr","reg","regcode","loc","loccode","var","varcode","rep","remarks","mic","mat","uhm","ui","sfc","str","elo","rd","hunterb","card_loss","yt"
"60-001","18","PLAINS","011","LUBBOCK-I","012","PHY 499WRF*","1404","1","NATL STD",4.94,0.85,1.12,83.2,8.5,29.25,10,78.45,7.25,"2.3725981620718493",65.9077720609763
"60-002","18","PLAINS","011","LUBBOCK-I","012","PHY 499WRF*","1404","2","""",4.91,0.85,1.11,81.7,9.6,31.05,9.8,77.8,7.75,"2.9697986577181261",61.9698795180723
"60-003","18","PLAINS","011","LUBBOCK-I","012","DP 1646B2XF*","1516","1","""",5.09,0.86,1.22,82.7,8.3,30.15,9.6,79.1,7.55,"2.779638312123236",65.0707710377695
"60-004","18","PLAINS","011","LUBBOCK-I","012","DP 1646B2XF*","1516","2","""",4.74,0.85,1.24,83.3,7.7,30.95,9.5,78.6,6.7,"2.545086802629358",88.8445983952703
"60-009","18","PLAINS","011","LUBBOCK-I","012","FM 1911GLT","1519","1","REGL STD",4.78,0.86,1.19,83.3,7.7,31.9,8.1,79.55,6.8,NA,NA
"60-010","18","PLAINS","011","LUBBOCK-I","012","FM 1911GLT","1519","2","""",4.8,0.86,1.17,81.6,8.6,32.75,8.1,79.2,7.2,NA,NA
"60-011","18","PLAINS","011","LUBBOCK-I","012","DP 1612B2XF","1533","1","""",4.27,0.83,1.15,82.9,7.7,30.55,10.3,78.1,7.9,NA,NA
"60-012","18","PLAINS","011","LUBBOCK-I","012","DP 1612B2XF","1533","2","""",5.07,0.85,1.12,81.7,8.3,28.25,10.2,77.3,7.85,NA,NA
"60-013","18","PLAINS","011","LUBBOCK-I","012","PHY 300W3FE","1534","1","""",4.92,0.86,1.11,81.8,9.4,29.85,8.8,75.8,7.75,NA,NA
"60-014","18","PLAINS","011","LUBBOCK-I","012","PHY 300W3FE","1534","2","""",4.97,0.86,1.1,82.3,8.8,29.2,8.9,77.65,7.7,NA,NA
"60-005","18","PLAINS","011","LUBBOCK-I","012","NG 4545B2XF*","1535","1","""",5.14,0.87,1.11,82.6,8.7,31.25,7.6,77.1,7.75,"3.8371313672922236",67.6002102180781
"60-006","18","PLAINS","011","LUBBOCK-I","012","NG 4545B2XF*","1535","2","""",5.31,0.88,1.07,81.7,8.9,30.55,7.7,78.8,8.15,"1.8518518518518541",68.3698962063046
"60-007","18","PLAINS","011","LUBBOCK-I","012","PHY 764WRF*","1536","1","""",4.62,0.86,1.15,82.8,8.6,34.5,8.7,76.3,7.9,"3.4996651038178102",85.1377714350522
"60-008","18","PLAINS","011","LUBBOCK-I","012","PHY 764WRF*","1536","2","""",4.38,0.85,1.13,83,8.6,36.1,8.8,78.05,7.95,"2.7982573726541582",76.6259969500141
"60-015","18","PLAINS","011","LAMESA-D","163","PHY 499WRF*","1404","1","NATL STD",5.11,0.86,1.1,83.8,8,30.85,9.9,76.2,7.7,"3.5630645700903352",70.6828976365985
"60-016","18","PLAINS","011","LAMESA-D","163","PHY 499WRF*","1404","2","""",4.87,0.85,1.13,83.6,7.9,31.5,9.9,77.15,8,"14.910669560861578",76.2652888814802
"60-017","18","PLAINS","011","LAMESA-D","163","DP 1646B2XF*","1516","1","""",4.85,0.86,1.18,81.1,8.4,29.8,9.3,81.2,7.95,"4.2795051822133106",62.8342283077949
"60-018","18","PLAINS","011","LAMESA-D","163","DP 1646B2XF*","1516","2","""",4.55,0.85,1.21,82.2,7.9,29.8,9.5,81.75,7.9,"5.8379466532460942",85.362379180925
"60-023","18","PLAINS","011","LAMESA-D","163","FM 1911GLT","1519","1","REGL STD",4.94,0.86,1.1,81.7,8.3,29.55,8.2,80.05,7.25,NA,NA
"60-024","18","PLAINS","011","LAMESA-D","163","FM 1911GLT","1519","2","""",4.55,0.85,1.15,81.5,8.9,31.95,8.7,80.7,7.5,NA,NA
"60-025","18","PLAINS","011","LAMESA-D","163","DP 1612B2XF","1533","1","""",4.96,0.86,1.12,83.6,7.5,31.35,9.8,78.05,7.7,NA,NA
"60-026","18","PLAINS","011","LAMESA-D","163","DP 1612B2XF","1533","2","""",4.9,0.86,1.06,81.5,9.2,30.15,9.3,76.25,7.75,NA,NA
"60-027","18","PLAINS","011","LAMESA-D","163","PHY 300W3FE","1534","1","""",5.05,0.87,1.09,81.7,8.8,31.1,8.7,77.3,8.3,NA,NA
"60-028","18","PLAINS","011","LAMESA-D","163","PHY 300W3FE","1534","2","""",4.08,0.84,1.11,81.8,9.2,29.9,8.9,78.65,8.7,NA,NA
"60-019","18","PLAINS","011","LAMESA-D","163","NG 4545B2XF*","1535","1","""",5.51,0.88,1.08,82.1,9.3,32.15,7.7,76.45,8.45,"2.9214237743452012",67.0543842178004
"60-020","18","PLAINS","011","LAMESA-D","163","NG 4545B2XF*","1535","2","""",5.73,0.89,1.03,81.6,9.4,30.3,7.8,77.85,8.85,"5.6113902847571211",60.0188634263908
