"sample","test","regcode","location","loccode","varcode","rep","mic","uhm","ui","str","elo","rd","b","cgrd","area_percent","sfc_percent","trash_cnt","leaf_code","maturity"
"60001","PLAINS","011","LUBBOCK-I","012","1404","1",4.61,1.1,82.1,32.5,9.17252252252252,74.3,8.7,"41-3",0.43,9.7,43,3.5,0.85
"60002","PLAINS","011","LUBBOCK-I","012","1404","2",4.65,1.11,83,33.2,8.82747747747748,76.95,8.85,"31-1",0.55,8.3,47,4,0.85
"60003","PLAINS","011","LUBBOCK-I","012","1516","1",4.36,1.15,81.4,30.4,9,80.55,8,"21-1",0.34,9,29,2.5,0.84
"60004","PLAINS","011","LUBBOCK-I","012","1516","2",4.52,1.18,83.6,30.8,8.65495495495496,77.2,7.9,"31-2",0.31,8.1,24,2.5,0.85
"60009","PLAINS","011","LUBBOCK-I","012","1519","1",4.39,1.15,82.4,33.35,6.92972972972973,78.15,7.8,"31-2",0.28,8.7,20,2.5,0.86
"60010","PLAINS","011","LUBBOCK-I","012","1519","2",4.08,1.13,82.3,30.45,7.27477477477477,79,8,"31-1",0.18,9.2,20,1.5,0.84
"60011","PLAINS","011","LUBBOCK-I","012","1533","1",4.41,1.12,82.6,31.45,8.65495495495496,78.7,8.55,"21-2",0.3,8.9,30,2.5,0.85
"60012","PLAINS","011","LUBBOCK-I","012","1533","2",4.62,1.12,82.8,32.6,8.82747747747748,76.05,9.2,"31-3",0.46,8.4,34,4,0.85
"60013","PLAINS","011","LUBBOCK-I","012","1534","1",4.3,1.12,81,31.05,7.4472972972973,75.85,8.6,"31-2",0.26,10.1,23,2.5,0.85
"60014","PLAINS","011","LUBBOCK-I","012","1534","2",4.44,1.1,81.7,31.8,7.10225225225225,77.6,8.65,"31-1",0.38,10.6,29,3.5,0.86
"60005","PLAINS","011","LUBBOCK-I","012","1535","1",5.02,1.1,81.8,30.5,5.8945945945946,77.9,8.3,"31-1",0.15,9.7,18,1,0.87
"60006","PLAINS","011","LUBBOCK-I","012","1535","2",4.5,1.12,81.7,31.35,7.10225225225225,78.6,8.7,"21-2",0.26,9.6,28,2,0.86
