"sample_number","test","code","location","loccode","varcode","variety","rep","mic","uhm","ui","str","elo","rd","hunters","cgrd","area_percent","sfc","trash_cnt","leaf_code","maturity"
"60-001","PLAINS","011","LUBBOCK-I","012","1516","DP 1646B2XF*","1",4.81,1.19,84,36.35,6.45652173913043,81.7,10.15,"11-3",0.24,5.2,13,2,0.88
"60-002","PLAINS","011","LUBBOCK-I","012","1516","DP 1646B2XF*","2",4.73,1.2,82.1,32.4,9.1695652173913,81.6,9.95,"11-1",0.11,6.4,9,1,0.86
"60-003","PLAINS","011","LUBBOCK-I","012","1536","PHY 764WRF*","1",4.16,1.12,83.4,36.45,8.15217391304348,77.45,8.8,"31-1",0.31,5.9,21,2.5,0.86
"60-004","PLAINS","011","LUBBOCK-I","012","1536","PHY 764WRF*","2",4.63,1.11,82.8,35.25,7.81304347826087,80.65,9.75,"11-1",0.22,6.8,15,2,0.87
"60-005","PLAINS","011","LUBBOCK-I","012","1598","DP 2012B3XF*","1",4.48,1.18,83.5,30.6,8.66086956521739,81.4,9.9,"11-3",0.23,5.9,15,2,0.86
"60-006","PLAINS","011","LUBBOCK-I","012","1598","DP 2012B3XF*","2",4.66,1.18,84.5,31.75,6.79565217391304,81.7,9.8,"11-1",0.19,6.6,7,2,0.87
"60-007","PLAINS","011","LUBBOCK-I","012","1592","DG 3520B3XF*","1",4.03,1.23,84.6,34.65,10.3565217391304,80.5,9.45,"11-1",0.25,4.5,18,2.5,0.84
"60-008","PLAINS","011","LUBBOCK-I","012","1592","DG 3520B3XF*","2",4.14,1.21,84.9,34.55,9.84782608695652,78.2,8.95,"21-2",1.42,5.2,33,6.5,0.85
"60-009","PLAINS","011","LUBBOCK-I","012","1503","FM 1830GLT*","1",4.68,1.21,84.9,33.65,6.28695652173913,83.1,9.15,"11-1",0.18,5.6,16,1.5,0.88
"60-010","PLAINS","011","LUBBOCK-I","012","1503","FM 1830GLT*","2",4.86,1.24,82.5,32.85,6.45652173913043,80.65,8.4,"21-1",0.19,5.1,14,1.5,0.88
"60-011","PLAINS","011","LUBBOCK-I","012","1595","NG 4936B3XF*","1",4.82,1.16,83.5,33.35,9.33913043478261,80.95,9.95,"11-3",0.21,6.1,14,2,0.87
"60-012","PLAINS","011","LUBBOCK-I","012","1595","NG 4936B3XF*","2",4.96,1.2,84.1,32.1,8.8304347826087,82.75,9.35,"11-1",0.07,5.7,7,1,0.87
"60-013","PLAINS","011","LUBBOCK-I","012","1599","PHY 400W3FE*","1",4.61,1.16,82.9,32.05,7.98260869565217,80.5,9.35,"11-1",0.18,7.1,10,1.5,0.87
"60-014","PLAINS","011","LUBBOCK-I","012","1599","PHY 400W3FE*","2",4.63,1.16,82.4,32.45,8.32173913043478,82.25,9.3,"11-1",0.13,7.3,8,1.5,0.87
"60-015","PLAINS","011","LUBBOCK-I","012","1593","ST 4550GLTP*","1",5.13,1.13,82.5,32.4,9.33913043478261,78.5,9.55,"21-3",0.21,6.1,12,1.5,0.87
