loc,yr,var,sample,breeder,mean_uhm,reg,mean_mic,mean_str,mean_ui,mean_rd,mean_b
"Altus, OK(irri)",80,NA,NA,NA,1.0627777777777778,PLA,5.091666666666667,22.583333333333332,66.13888888888889,67.86111111111111,10.533333333333333
"Ames Plantation, TN",80,NA,NA,NA,1.1732142857142858,EAS,4.660714285714286,24.678571428571427,65.83928571428571,68.31428571428572,11.757142857142856
"Artesia, NM(irri)",80,NA,NA,NA,1.1422222222222222,WES,4.2972222222222225,24.27777777777778,64.41666666666667,65.75,10.155555555555555
"Auburn, AL",80,NA,NA,NA,1.0225,EAS,4.851785714285715,22.357142857142858,62.892857142857146,67.17857142857143,9.92142857142857
"Beeville, TX",80,NA,NA,NA,1.0070000000000001,CEN,4.21,21.55,64.7,64.7,10.12
"Belle Mina, AL",80,NA,NA,NA,1.1894736842105262,RHQ,4.8355263157894735,26.236842105263158,64.78947368421052,72.17105263157895,10.889473684210527
"Bossier City, LA",80,NA,NA,NA,1.141,CEN,5.09,22.95,64.475,69.025,10.7
"Chickasha, OK(irri)",80,NA,NA,NA,1.0722222222222222,PLA,4.819444444444445,23.11111111111111,65.61111111111111,68.15277777777777,10.088888888888889
"Clarkedale, AR",80,NA,NA,NA,1.1913636363636364,DEL,4.8159090909090905,23.363636363636363,65.20454545454545,69.5,9.6
"College Station, TX",80,NA,NA,NA,1.1337931034482758,CEN,4.5525,24.879310344827587,66.34482758620689,64,11.213793103448277
"College Station, TX",80,NA,NA,NA,1.1337931034482758,RHQ,4.497368421052632,24.879310344827587,66.34482758620689,64,11.213793103448277
"Coolidge, AZ",80,NA,NA,NA,1.344642857142857,PIM,4.101785714285715,41.107142857142854,66.57142857142857,64.89285714285714,12.121428571428572
"El Paso, TX",80,NA,NA,NA,1.3355555555555556,PIM,4.398214285714285,39.214285714285715,67.17857142857143,65.07142857142857,12.242857142857144
"El Paso, TX(irri)",80,NA,NA,NA,1.191111111111111,WES,4.319444444444445,22.333333333333332,65.25,66.80555555555556,10.866666666666667
"Fabens, TX",80,NA,NA,NA,1.3557142857142856,PIM,4.432142857142857,38.642857142857146,67.89285714285714,64.89285714285714,12.271428571428572
"Florence, SC",80,NA,NA,NA,1.0298484848484848,EAS,5.398214285714285,24.09090909090909,64.43939393939394,67.93181818181819,9.406060606060606
"Florence, SC",80,NA,NA,NA,1.0298484848484848,RHQ,5.5,24.09090909090909,64.43939393939394,67.93181818181819,9.406060606060606
"Jackson, TN",80,NA,NA,NA,1.1913636363636364,EAS,4.0375,26.393939393939394,64.8409090909091,71.12878787878788,12.23030303030303
"Jackson, TN",80,NA,NA,NA,1.1913636363636364,RHQ,4.330263157894737,26.393939393939394,64.8409090909091,71.12878787878788,12.23030303030303
"Lamesa, TX(dry)",80,NA,NA,NA,0.9775,PLA,3.8402777777777777,24.166666666666668,63.25,73.27777777777777,11.855555555555556
"Lubbock, TX",80,NA,NA,NA,1.0383333333333333,PLA,4.106944444444444,24.61111111111111,62.888888888888886,73.65277777777777,11.327777777777778
"Mangum, OK(dry)",80,NA,NA,NA,1.0872222222222223,PLA,5.008333333333334,24.02777777777778,65.93055555555556,68.31944444444444,10.4
"Marana, AZ",80,NA,NA,NA,1.3419607843137256,PIM,4.5375,37.357142857142854,67.36036036036036,63.375,12.039285714285715
"Marianna, AR",80,NA,NA,NA,1.1054545454545455,DEL,5.3545454545454545,22.954545454545453,65.22727272727273,70.63636363636364,11.227272727272727
"Maricopa, CA",80,NA,NA,NA,1.088,San Joaquin,4.165,23,62.55,73.25,11.62
"Milan, TN",80,NA,NA,NA,1.1821428571428572,EAS,4.210714285714285,24.428571428571427,64.07142857142857,71.64285714285714,13.092857142857143
"Pecos, TX(irri)",80,NA,NA,NA,1.065,WES,4.491666666666666,22.38888888888889,63.888888888888886,64.25,9.333333333333334
"Phoenix, AZ",80,NA,NA,NA,1.4081481481481481,PIM,4.382142857142857,38.357142857142854,67.67857142857143,66.23214285714286,12
"Portageville, MO",80,NA,NA,NA,1.1386666666666667,DEL,4.629545454545455,25.683333333333334,62.84166666666667,65.925,9.693333333333333
"Portageville, MO",80,NA,NA,NA,1.1386666666666667,RHQ,4.79078947368421,25.683333333333334,62.84166666666667,65.925,9.693333333333333
"Ridgley, TN",80,NA,NA,NA,1.149090909090909,DEL,4.952272727272727,25.681818181818183,65.36363636363636,71.8409090909091,11.327272727272728
