loc,yr,var,sample,breeder,regcode,reg,loccode,vcode,rep,mean_mic,mean_rd,mean_str,mean_uhm,mean_ui
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,498,1,3.8499999999999996,76.5,28,1.16,65.5
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,498,2,3.9,75.5,30,1.14,63.5
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,254,1,3.8,78,24,1.14,60.5
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,254,2,4.25,76.5,24,1.1,62.5
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,499,1,4.15,71.5,24,1.02,61.5
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,499,2,3.8499999999999996,75.5,24,0.99,62.5
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,80,1,3.7,75,25,1.06,61
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,80,2,3.95,76.5,26,1.11,62.5
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,402,1,4,63,25,1.13,60.5
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,402,2,4,75.5,25,1.1,61
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,544,1,4.6,73,24,1.03,62
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,544,2,4.25,65,27,1.05,63
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,399,1,4.35,76,28,1.14,63.5
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,399,2,4.5,76.5,28,1.16,64.5
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,566,1,4.15,67.5,24,0.96,63.5
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,566,2,4.199999999999999,75,23,1.04,63
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,400,1,4.4,76,23,1.06,63.5
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,400,2,4.4,75,23,1.03,63.5
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,532,1,3.95,71,22,1,62
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,532,2,3.6500000000000004,72,23,1.01,62.5
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,529,1,3.9,76,24,0.99,67
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,529,2,4.2,75,28,1.03,65.5
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,569,1,4.8,71,23,0.9,64.5
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,569,2,4.5,70.5,24,0.94,65
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,568,1,3.9,73,24,1.01,63
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,568,2,4.05,75,24,1.06,63
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,567,1,5.3,70,21,0.94,64
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,567,2,5.25,73.5,22,0.91,65
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,152,1,3.6,74.5,25,1.04,61
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,152,2,3.9,75,26,1.08,62.5
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,571,1,3.6,75,23,1.04,62
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,571,2,3.6500000000000004,78.5,24,1.02,61.5
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,572,1,3.75,75,25,1.01,61.5
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,572,2,4,71.5,24,1.02,61
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,573,1,3.6500000000000004,73.5,23,0.96,63
"Lubbock, TX",80,NA,NA,NA,11,PLA,12,573,2,3.9,74,26,1,62.5
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,498,1,3.45,77,28,1.11,65
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,498,2,3.4,77,27,1.03,64
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,254,1,4.1,76.5,23,1.06,62.5
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,254,2,3.8,76.5,22,1.03,62.5
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,499,1,4.05,71,23,0.99,63.5
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,499,2,3.8499999999999996,74,24,0.92,62.5
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,80,1,3.75,75,23,1.05,63
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,80,2,3.9000000000000004,73,27,0.99,66
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,402,1,3.95,74,24,1.06,62
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,402,2,3.8499999999999996,70.5,23,1.04,62.5
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,544,1,4.1,68,24,0.97,64
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,544,2,4.05,75,26,1.02,64
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,399,1,3.9,67.5,28,1.09,62.5
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,399,2,4.25,76.5,29,1.1,64
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,566,1,4.45,68.5,24,0.97,65
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,566,2,4.1,71.5,23,0.94,64.5
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,400,1,3.3499999999999996,73,25,1,63
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,400,2,4,75,23,0.95,63
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,532,1,3.3,64.5,22,0.92,62
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,532,2,3.7,73.5,24,1,62.5
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,529,1,3.6500000000000004,76.5,26,0.95,65
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,529,2,3.7,74.5,25,0.93,65.5
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,569,1,4.2,68.5,22,0.86,65
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,569,2,4.15,73.5,23,0.84,64
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,568,1,3.8499999999999996,71,23,1,64
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,568,2,3.8,76,25,0.96,63
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,567,1,4.45,73,22,0.89,63
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,567,2,4.65,76,24,0.85,64.5
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,152,1,3.45,74.5,24,0.96,62.5
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,152,2,3.2,73.5,24,0.95,61.5
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,571,1,3.75,76.5,23,0.98,62
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,571,2,3.8499999999999996,74.5,24,1.01,63
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,572,1,3.55,76.5,23,0.99,61.5
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,572,2,3.75,72.5,24,0.98,61.5
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,573,1,3.5,76,23,0.89,61.5
"Lamesa, TX(dry)",80,NA,NA,NA,11,PLA,163,573,2,3.45,67.5,23,0.91,61.5
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,498,1,4.65,72,25,1.2,65.5
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,498,2,4.35,68,28,1.14,66
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,254,1,4.85,69.5,25,1.23,66
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,254,2,4.949999999999999,68,24,1.09,65
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,499,1,4.85,68.5,23,1.1,65
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,499,2,4.699999999999999,68,22,1.05,65.5
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,80,1,5,70.5,20,1.12,65
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,80,2,5,68,25,1.13,65.5
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,402,1,4.4,71,26,1.18,64.5
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,402,2,5,68,24,1.14,64.5
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,544,1,5.05,69.5,24,1.16,65.5
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,544,2,5.1,68,22,1.07,64.5
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,399,1,4.2,70.5,24,1.15,67
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,399,2,4.6,70.5,29,1.1,65
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,567,1,5.75,70,21,0.9,66.5
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,567,2,5.9,67,19,0.93,67
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,566,1,4.65,69,22,1.04,65.5
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,566,2,4.95,65.5,20,0.94,66
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,400,1,4.85,68.5,26,1.13,65.5
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,400,2,5.45,69.5,21,1.03,64.5
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,568,1,4.45,72,27,1.15,66
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,568,2,5.4,62,22,1.05,66.5
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,532,1,4.25,69.5,24,1.06,65
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,532,2,4.65,59.5,19,0.98,65
"Chickasha, OK(irri)",80,NA,NA,NA,12,PLA,41,529,1,4.85,67,20,1.05,68
